,datetime,configfile,mode,a,t,kobj,ksce,kobjsce,xdiscr,adiscr,lam,s,l,acc
0,2021-08-02 12:46:41,ucf-101-fasttext.config,o,compositions,101,10,5,250,0,0,0.75,1,English,0.3425675675675676
1,2021-08-02 12:47:24,ucf-101-fasttext.config,o,compositions,101,50,5,250,0,0,0.75,1,English,0.3459459459459461
2,2021-08-02 12:48:08,ucf-101-fasttext.config,o,compositions,101,100,5,250,0,0,0.75,1,English,0.33588588588588586
3,2021-08-02 12:48:49,ucf-101-fasttext.config,s,compositions,101,100,3,250,0,0,0.75,1,English,0.16126126126126125
4,2021-08-02 12:49:30,ucf-101-fasttext.config,s,compositions,101,100,5,250,0,0,0.75,1,English,0.16441441441441446
5,2021-08-02 12:50:11,ucf-101-fasttext.config,s,compositions,101,100,10,250,0,0,0.75,1,English,0.16111111111111112
6,2021-08-02 12:50:57,ucf-101-fasttext.config,os,simple,101,10,3,250,0,0,0.75,1,English,0.27695195195195194
7,2021-08-02 12:51:43,ucf-101-fasttext.config,os,simple,101,10,5,250,0,0,0.75,1,English,0.2840090090090089
8,2021-08-02 12:52:29,ucf-101-fasttext.config,os,simple,101,10,10,250,0,0,0.75,1,English,0.2711711711711712
9,2021-08-02 12:53:17,ucf-101-fasttext.config,os,simple,101,50,3,250,0,0,0.75,1,English,0.2988738738738739
10,2021-08-02 12:54:04,ucf-101-fasttext.config,os,simple,101,50,5,250,0,0,0.75,1,English,0.2984984984984985
11,2021-08-02 12:54:50,ucf-101-fasttext.config,os,simple,101,50,10,250,0,0,0.75,1,English,0.2873123123123123
12,2021-08-02 12:55:39,ucf-101-fasttext.config,os,simple,101,100,3,250,0,0,0.75,1,English,0.29234234234234235
13,2021-08-02 12:56:26,ucf-101-fasttext.config,os,simple,101,100,5,250,0,0,0.75,1,English,0.2915915915915916
14,2021-08-02 12:57:14,ucf-101-fasttext.config,os,simple,101,100,10,250,0,0,0.75,1,English,0.28325825825825823
15,2021-08-02 13:04:23,ucf-101-fasttext.config,os,compositions,101,100,5,100,0,0,0.75,1,English,0.3692192192192192
16,2021-08-02 13:10:43,ucf-101-fasttext.config,os,compositions,101,100,5,100,0,0,1.0,1,English,0.3629129129129129
17,2021-08-02 13:22:08,ucf-101-fasttext.config,os,compositions,101,100,5,250,0,0,0.75,1,English,0.38828828828828826
18,2021-08-02 13:32:53,ucf-101-fasttext.config,os,compositions,101,100,5,250,0,0,1.0,1,English,0.3844594594594595
19,2021-08-02 13:53:58,ucf-101-fasttext.config,os,compositions,101,100,5,500,0,0,0.75,1,English,0.3801801801801802
20,2021-08-02 14:13:03,ucf-101-fasttext.config,os,compositions,101,100,5,500,0,0,1.0,1,English,0.3780780780780781
21,2021-08-02 14:13:35,ucf-101-fasttext.config,o,compositions,25,10,5,250,0,0,0.75,1,English,0.4299182903834067
22,2021-08-02 14:13:39,ucf-101-fasttext.config,o,compositions,25,50,5,250,0,0,0.75,1,English,0.4098051539912005
23,2021-08-02 14:13:42,ucf-101-fasttext.config,o,compositions,25,100,5,250,0,0,0.75,1,English,0.4217473287240729
24,2021-08-02 14:13:46,ucf-101-fasttext.config,s,compositions,25,100,3,250,0,0,0.75,1,English,0.2900691389063482
25,2021-08-02 14:13:49,ucf-101-fasttext.config,s,compositions,25,100,5,250,0,0,0.75,1,English,0.29698302954116906
26,2021-08-02 14:13:53,ucf-101-fasttext.config,s,compositions,25,100,10,250,0,0,0.75,1,English,0.26147077309868005
27,2021-08-02 14:13:57,ucf-101-fasttext.config,os,simple,25,10,3,250,0,0,0.75,1,English,0.4010056568196103
28,2021-08-02 14:14:00,ucf-101-fasttext.config,os,simple,25,10,5,250,0,0,0.75,1,English,0.3925204274041483
29,2021-08-02 14:14:04,ucf-101-fasttext.config,os,simple,25,10,10,250,0,0,0.75,1,English,0.3422375864236329
30,2021-08-02 14:14:08,ucf-101-fasttext.config,os,simple,25,50,3,250,0,0,0.75,1,English,0.4135763670647392
31,2021-08-02 14:14:12,ucf-101-fasttext.config,os,simple,25,50,5,250,0,0,0.75,1,English,0.4041483343808925
32,2021-08-02 14:14:16,ucf-101-fasttext.config,os,simple,25,50,10,250,0,0,0.75,1,English,0.360779384035198
33,2021-08-02 14:14:20,ucf-101-fasttext.config,os,simple,25,100,3,250,0,0,0.75,1,English,0.4220615964802011
34,2021-08-02 14:14:24,ucf-101-fasttext.config,os,simple,25,100,5,250,0,0,0.75,1,English,0.40760527969830296
35,2021-08-02 14:14:28,ucf-101-fasttext.config,os,simple,25,100,10,250,0,0,0.75,1,English,0.3714644877435575
36,2021-08-02 14:15:17,ucf-101-fasttext.config,os,compositions,25,100,5,100,0,0,0.75,1,English,0.4484600879949717
37,2021-08-02 14:16:01,ucf-101-fasttext.config,os,compositions,25,100,5,100,0,0,1.0,1,English,0.4541169076052797
38,2021-08-02 14:17:12,ucf-101-fasttext.config,os,compositions,25,100,5,250,0,0,0.75,1,English,0.4487743557510999
39,2021-08-02 14:18:15,ucf-101-fasttext.config,os,compositions,25,100,5,250,0,0,1.0,1,English,0.4670018856065368
40,2021-08-02 14:20:21,ucf-101-fasttext.config,os,compositions,25,100,5,500,0,0,0.75,1,English,0.4717159019484601
41,2021-08-02 14:21:53,ucf-101-fasttext.config,os,compositions,25,100,5,500,0,0,1.0,1,English,0.4682589566310497
42,2021-08-02 14:21:56,ucf-101-fasttext.config,o,compositions,25,10,5,250,0,0,0.75,2,English,0.42693582404338654
43,2021-08-02 14:22:00,ucf-101-fasttext.config,o,compositions,25,50,5,250,0,0,0.75,2,English,0.43085266646580295
44,2021-08-02 14:22:04,ucf-101-fasttext.config,o,compositions,25,100,5,250,0,0,0.75,2,English,0.4233202771919253
45,2021-08-02 14:22:07,ucf-101-fasttext.config,s,compositions,25,100,3,250,0,0,0.75,2,English,0.28442301898162103
46,2021-08-02 14:22:11,ucf-101-fasttext.config,s,compositions,25,100,5,250,0,0,0.75,2,English,0.2633323290147635
47,2021-08-02 14:22:14,ucf-101-fasttext.config,s,compositions,25,100,10,250,0,0,0.75,2,English,0.25308827960228986
48,2021-08-02 14:22:18,ucf-101-fasttext.config,os,simple,25,10,3,250,0,0,0.75,2,English,0.3922868333835493
49,2021-08-02 14:22:22,ucf-101-fasttext.config,os,simple,25,10,5,250,0,0,0.75,2,English,0.3721000301295571
50,2021-08-02 14:22:26,ucf-101-fasttext.config,os,simple,25,10,10,250,0,0,0.75,2,English,0.35793913829466706
51,2021-08-02 14:22:30,ucf-101-fasttext.config,os,simple,25,50,3,250,0,0,0.75,2,English,0.4106658632118108
52,2021-08-02 14:22:34,ucf-101-fasttext.config,os,simple,25,50,5,250,0,0,0.75,2,English,0.3895751732449533
53,2021-08-02 14:22:38,ucf-101-fasttext.config,os,simple,25,50,10,250,0,0,0.75,2,English,0.3808376016872552
