,precision,recall,f1-score,support
brush_hair,0.27884615384615385,0.7073170731707317,0.39999999999999997,41.0
catch,0.0,0.0,0.0,48.0
clap,0.0,0.0,0.0,44.0
climb_stairs,0.1968503937007874,0.625,0.29940119760479045,40.0
golf,0.2781456953642384,1.0,0.4352331606217616,42.0
jump,0.25,0.1794871794871795,0.208955223880597,39.0
kick_ball,0.11428571428571428,0.1111111111111111,0.11267605633802817,36.0
pick,0.07692307692307693,0.025,0.03773584905660378,40.0
pour,0.9032258064516129,0.509090909090909,0.6511627906976745,55.0
pullup,0.0,0.0,0.0,55.0
push,0.10869565217391304,0.11904761904761904,0.11363636363636362,42.0
run,0.2,0.05,0.08000000000000002,40.0
shoot_ball,0.0,0.0,0.0,40.0
shoot_bow,0.8958333333333334,0.8113207547169812,0.8514851485148515,53.0
shoot_gun,0.40384615384615385,0.7636363636363637,0.5283018867924528,55.0
sit,0.38235294117647056,0.3333333333333333,0.35616438356164387,39.0
stand,0.08108108108108109,0.08333333333333333,0.08219178082191782,36.0
swing_baseball,0.26744186046511625,0.42592592592592593,0.32857142857142857,54.0
throw,0.0,0.0,0.0,46.0
walk,0.05128205128205128,0.04878048780487805,0.05,41.0
wave,0.0,0.0,0.0,42.0
accuracy,0.28987068965517243,0.28987068965517243,0.28987068965517243,0.28987068965517243
macro avg,0.21375285304427155,0.27582781384087457,0.2159769176237197,928.0
weighted avg,0.23086043762829792,0.28987068965517243,0.23166490947134025,928.0
