,precision,recall,f1-score,support
brush_hair,0.29411764705882354,0.36585365853658536,0.32608695652173914,41.0
catch,0.0,0.0,0.0,48.0
clap,0.0,0.0,0.0,44.0
climb_stairs,0.6470588235294118,0.825,0.7252747252747253,40.0
golf,0.2692307692307692,1.0,0.42424242424242425,42.0
jump,0.23333333333333334,0.1794871794871795,0.20289855072463772,39.0
kick_ball,0.25,0.08333333333333333,0.125,36.0
pick,0.14285714285714285,0.1,0.11764705882352941,40.0
pour,0.8888888888888888,0.43636363636363634,0.5853658536585366,55.0
pullup,0.0,0.0,0.0,55.0
push,0.0,0.0,0.0,42.0
run,0.047619047619047616,0.025,0.03278688524590165,40.0
shoot_ball,0.6,0.075,0.13333333333333333,40.0
shoot_bow,0.8666666666666667,0.24528301886792453,0.3823529411764706,53.0
shoot_gun,0.19444444444444445,0.7636363636363637,0.30996309963099633,55.0
sit,0.24,0.15384615384615385,0.18750000000000003,39.0
stand,0.12,0.25,0.16216216216216217,36.0
swing_baseball,0.21212121212121213,0.3888888888888889,0.27450980392156865,54.0
throw,0.0,0.0,0.0,46.0
walk,0.13131313131313133,0.3170731707317073,0.18571428571428572,41.0
wave,0.2,0.023809523809523808,0.0425531914893617,42.0
accuracy,0.25538793103448276,0.25538793103448276,0.25538793103448276,0.25538793103448276
macro avg,0.2541738622410892,0.24917023464291893,0.2008281558056987,928.0
weighted avg,0.2622876798517012,0.25538793103448276,0.20565264648777185,928.0
