,precision,recall,f1-score,support
brush_hair,0.2556390977443609,0.8292682926829268,0.3908045977011494,41.0
catch,0.0,0.0,0.0,48.0
clap,0.4444444444444444,0.09090909090909091,0.1509433962264151,44.0
climb_stairs,0.1968503937007874,0.625,0.29940119760479045,40.0
golf,0.24,1.0,0.3870967741935484,42.0
jump,0.08333333333333333,0.05128205128205128,0.06349206349206349,39.0
kick_ball,0.0,0.0,0.0,36.0
pick,0.1111111111111111,0.025,0.04081632653061225,40.0
pour,0.6666666666666666,0.2909090909090909,0.40506329113924044,55.0
pullup,0.0967741935483871,0.05454545454545454,0.06976744186046512,55.0
push,0.13333333333333333,0.047619047619047616,0.07017543859649122,42.0
run,0.0,0.0,0.0,40.0
shoot_ball,0.0,0.0,0.0,40.0
shoot_bow,0.7567567567567568,0.5283018867924528,0.6222222222222221,53.0
shoot_gun,0.5344827586206896,0.5636363636363636,0.5486725663716814,55.0
sit,0.1956521739130435,0.23076923076923078,0.21176470588235294,39.0
stand,0.0,0.0,0.0,36.0
swing_baseball,0.3617021276595745,0.6296296296296297,0.4594594594594595,54.0
throw,0.0,0.0,0.0,46.0
walk,0.075,0.07317073170731707,0.07407407407407407,41.0
wave,0.125,0.023809523809523808,0.04,42.0
accuracy,0.25323275862068967,0.25323275862068967,0.25323275862068967,0.25323275862068967
macro avg,0.2036545900396423,0.24113573306153238,0.1825596931121222,928.0
weighted avg,0.2244250814394935,0.25323275862068967,0.19936632859801867,928.0
