,precision,recall,f1-score,support
brush_hair,0.3246753246753247,0.6097560975609756,0.423728813559322,41.0
catch,0.0,0.0,0.0,48.0
clap,0.25,0.06818181818181818,0.10714285714285714,44.0
climb_stairs,0.24806201550387597,0.8,0.378698224852071,40.0
golf,0.32786885245901637,0.9523809523809523,0.4878048780487805,42.0
jump,0.0,0.0,0.0,39.0
kick_ball,0.07692307692307693,0.027777777777777776,0.04081632653061225,36.0
pick,0.0,0.0,0.0,40.0
pour,0.7,0.38181818181818183,0.49411764705882355,55.0
pullup,0.0,0.0,0.0,55.0
push,0.0,0.0,0.0,42.0
run,0.0,0.0,0.0,40.0
shoot_ball,0.5,0.025,0.047619047619047616,40.0
shoot_bow,0.3157894736842105,0.11320754716981132,0.16666666666666666,53.0
shoot_gun,0.0,0.0,0.0,55.0
sit,0.12871287128712872,0.3333333333333333,0.18571428571428572,39.0
stand,0.021739130434782608,0.027777777777777776,0.024390243902439025,36.0
swing_baseball,0.2459016393442623,0.5555555555555556,0.3409090909090909,54.0
throw,0.0,0.0,0.0,46.0
walk,0.05555555555555555,0.07317073170731707,0.06315789473684211,41.0
wave,0.1111111111111111,0.023809523809523808,0.0392156862745098,42.0
accuracy,0.19073275862068967,0.19073275862068967,0.19073275862068967,0.19073275862068967
macro avg,0.15744471671325452,0.1900842522415726,0.13333246014358802,928.0
weighted avg,0.16383219531735,0.19073275862068967,0.13779459468098912,928.0
