,precision,recall,f1-score,support
brush_hair,0.24778761061946902,0.6829268292682927,0.36363636363636365,41.0
catch,0.0,0.0,0.0,48.0
clap,0.4,0.09090909090909091,0.14814814814814814,44.0
climb_stairs,0.24761904761904763,0.65,0.3586206896551724,40.0
golf,0.23295454545454544,0.9761904761904762,0.37614678899082565,42.0
jump,0.0,0.0,0.0,39.0
kick_ball,0.0,0.0,0.0,36.0
pick,0.0,0.0,0.0,40.0
pour,0.3684210526315789,0.2545454545454545,0.30107526881720426,55.0
pullup,0.10638297872340426,0.09090909090909091,0.09803921568627451,55.0
push,0.0,0.0,0.0,42.0
run,0.03225806451612903,0.025,0.028169014084507043,40.0
shoot_ball,0.0,0.0,0.0,40.0
shoot_bow,0.15384615384615385,0.07547169811320754,0.10126582278481013,53.0
shoot_gun,0.0,0.0,0.0,55.0
sit,0.07547169811320754,0.10256410256410256,0.08695652173913043,39.0
stand,0.057971014492753624,0.1111111111111111,0.07619047619047618,36.0
swing_baseball,0.3711340206185567,0.6666666666666666,0.47682119205298024,54.0
throw,0.0,0.0,0.0,46.0
walk,0.07246376811594203,0.12195121951219512,0.09090909090909093,41.0
wave,0.09090909090909091,0.023809523809523808,0.03773584905660377,42.0
accuracy,0.18642241379310345,0.18642241379310345,0.18642241379310345,0.18642241379310345
macro avg,0.1170104307457085,0.18438358398091487,0.12112925913102797,928.0
weighted avg,0.12377944125081698,0.18642241379310345,0.12630434506389204,928.0
