,precision,recall,f1-score,support
brush_hair,0.2702702702702703,0.4878048780487805,0.34782608695652173,41.0
catch,0.0,0.0,0.0,48.0
clap,0.0,0.0,0.0,44.0
climb_stairs,0.20535714285714285,0.575,0.3026315789473684,40.0
golf,0.37168141592920356,1.0,0.5419354838709677,42.0
jump,0.12745098039215685,0.3333333333333333,0.18439716312056736,39.0
kick_ball,0.25,0.027777777777777776,0.049999999999999996,36.0
pick,0.0,0.0,0.0,40.0
pour,0.5227272727272727,0.41818181818181815,0.4646464646464646,55.0
pullup,0.0,0.0,0.0,55.0
push,0.11764705882352941,0.047619047619047616,0.06779661016949151,42.0
run,0.16666666666666666,0.025,0.04347826086956522,40.0
shoot_ball,0.5769230769230769,0.375,0.45454545454545453,40.0
shoot_bow,0.6666666666666666,0.7169811320754716,0.6909090909090909,53.0
shoot_gun,0.5125,0.7454545454545455,0.6074074074074074,55.0
sit,0.11904761904761904,0.1282051282051282,0.12345679012345678,39.0
stand,0.16666666666666666,0.3055555555555556,0.21568627450980393,36.0
swing_baseball,0.5384615384615384,0.6481481481481481,0.588235294117647,54.0
throw,0.0,0.0,0.0,46.0
walk,0.047619047619047616,0.04878048780487805,0.04819277108433735,41.0
wave,0.08333333333333333,0.023809523809523808,0.037037037037037035,42.0
accuracy,0.2941810344827586,0.2941810344827586,0.2941810344827586,0.2941810344827586
macro avg,0.22585803601829477,0.28126911314352415,0.22705627468167527,928.0
weighted avg,0.23815122329672408,0.2941810344827586,0.2417501607562426,928.0
