,precision,recall,f1-score,support
brush_hair,0.22,0.2682926829268293,0.2417582417582418,41.0
catch,0.0,0.0,0.0,48.0
clap,0.25,0.09090909090909091,0.13333333333333333,44.0
climb_stairs,0.6153846153846154,0.8,0.6956521739130435,40.0
golf,0.2896551724137931,1.0,0.4491978609625668,42.0
jump,0.23076923076923078,0.23076923076923078,0.23076923076923078,39.0
kick_ball,0.7777777777777778,0.19444444444444445,0.3111111111111111,36.0
pick,0.17857142857142858,0.125,0.14705882352941174,40.0
pour,0.875,0.2545454545454545,0.3943661971830986,55.0
pullup,0.0,0.0,0.0,55.0
push,0.10714285714285714,0.07142857142857142,0.08571428571428572,42.0
run,0.2,0.125,0.15384615384615385,40.0
shoot_ball,0.5454545454545454,0.15,0.2352941176470588,40.0
shoot_bow,0.64,0.3018867924528302,0.4102564102564102,53.0
shoot_gun,0.21893491124260356,0.6727272727272727,0.33035714285714285,55.0
sit,0.21875,0.1794871794871795,0.19718309859154928,39.0
stand,0.15584415584415584,0.3333333333333333,0.21238938053097345,36.0
swing_baseball,0.5833333333333334,0.5185185185185185,0.5490196078431373,54.0
throw,0.03125,0.021739130434782608,0.02564102564102564,46.0
walk,0.13392857142857142,0.36585365853658536,0.19607843137254904,41.0
wave,0.3333333333333333,0.023809523809523808,0.044444444444444446,42.0
accuracy,0.27478448275862066,0.27478448275862066,0.27478448275862066,0.27478448275862066
macro avg,0.3145299967950593,0.2727497563963641,0.24016528910975085,928.0
weighted avg,0.3188777715249,0.27478448275862066,0.24287831448551223,928.0
