,precision,recall,f1-score,support
brush_hair,0.25,0.2926829268292683,0.2696629213483146,41.0
catch,0.0,0.0,0.0,48.0
clap,0.21428571428571427,0.06818181818181818,0.10344827586206896,44.0
climb_stairs,0.38666666666666666,0.725,0.5043478260869565,40.0
golf,0.3,1.0,0.4615384615384615,42.0
jump,0.16666666666666666,0.1282051282051282,0.14492753623188406,39.0
kick_ball,0.75,0.16666666666666666,0.27272727272727276,36.0
pick,0.3333333333333333,0.1,0.15384615384615383,40.0
pour,0.9166666666666666,0.2,0.3283582089552239,55.0
pullup,0.0,0.0,0.0,55.0
push,0.0,0.0,0.0,42.0
run,0.05555555555555555,0.025,0.03448275862068966,40.0
shoot_ball,0.5,0.175,0.25925925925925924,40.0
shoot_bow,0.6363636363636364,0.2641509433962264,0.3733333333333333,53.0
shoot_gun,0.1878453038674033,0.6181818181818182,0.288135593220339,55.0
sit,0.23809523809523808,0.1282051282051282,0.16666666666666666,39.0
stand,0.13636363636363635,0.25,0.1764705882352941,36.0
swing_baseball,0.6666666666666666,0.5555555555555556,0.606060606060606,54.0
throw,0.0,0.0,0.0,46.0
walk,0.08461538461538462,0.2682926829268293,0.1286549707602339,41.0
wave,0.125,0.023809523809523808,0.04,42.0
accuracy,0.2413793103448276,0.2413793103448276,0.2413793103448276,0.2413793103448276
macro avg,0.2832440223403128,0.23756819961704584,0.205329544416798,928.0
weighted avg,0.2911532981912459,0.2413793103448276,0.20988061253535617,928.0
