,precision,recall,f1-score,support
brush_hair,0.33707865168539325,0.7317073170731707,0.4615384615384615,41.0
catch,0.0,0.0,0.0,48.0
clap,0.21739130434782608,0.11363636363636363,0.1492537313432836,44.0
climb_stairs,0.1513157894736842,0.575,0.23958333333333331,40.0
golf,0.375,1.0,0.5454545454545454,42.0
jump,0.11688311688311688,0.23076923076923078,0.15517241379310345,39.0
kick_ball,0.5384615384615384,0.3888888888888889,0.45161290322580644,36.0
pick,0.2,0.025,0.04444444444444445,40.0
pour,0.5909090909090909,0.7090909090909091,0.6446280991735537,55.0
pullup,0.0,0.0,0.0,55.0
push,0.1,0.023809523809523808,0.038461538461538464,42.0
run,0.16666666666666666,0.025,0.04347826086956522,40.0
shoot_ball,0.5483870967741935,0.425,0.47887323943661964,40.0
shoot_bow,0.7333333333333333,0.6226415094339622,0.673469387755102,53.0
shoot_gun,0.6829268292682927,0.509090909090909,0.5833333333333334,55.0
sit,0.11538461538461539,0.15384615384615385,0.13186813186813184,39.0
stand,0.025,0.027777777777777776,0.026315789473684213,36.0
swing_baseball,0.6290322580645161,0.7222222222222222,0.6724137931034483,54.0
throw,0.0,0.0,0.0,46.0
walk,0.09803921568627451,0.12195121951219512,0.10869565217391304,41.0
wave,0.07692307692307693,0.023809523809523808,0.03636363636363636,42.0
accuracy,0.31788793103448276,0.31788793103448276,0.31788793103448276,0.31788793103448276
macro avg,0.2715586944696009,0.3061543594743253,0.2611886045307383,928.0
weighted avg,0.28607655437053586,0.31788793103448276,0.27607305775956226,928.0
