,precision,recall,f1-score,support
brush_hair,0.5208333333333334,0.6097560975609756,0.5617977528089888,41.0
catch,0.0,0.0,0.0,48.0
clap,0.17647058823529413,0.20454545454545456,0.18947368421052632,44.0
climb_stairs,0.14906832298136646,0.6,0.23880597014925375,40.0
golf,0.30597014925373134,0.9761904761904762,0.4659090909090909,42.0
jump,0.09375,0.07692307692307693,0.08450704225352113,39.0
kick_ball,0.29545454545454547,0.3611111111111111,0.325,36.0
pick,0.09302325581395349,0.1,0.09638554216867469,40.0
pour,0.5660377358490566,0.5454545454545454,0.5555555555555556,55.0
pullup,0.09090909090909091,0.01818181818181818,0.0303030303030303,55.0
push,0.0,0.0,0.0,42.0
run,0.0,0.0,0.0,40.0
shoot_ball,0.15,0.075,0.1,40.0
shoot_bow,0.0,0.0,0.0,53.0
shoot_gun,0.0,0.0,0.0,55.0
sit,0.20588235294117646,0.358974358974359,0.26168224299065423,39.0
stand,0.046511627906976744,0.05555555555555555,0.050632911392405056,36.0
swing_baseball,0.5740740740740741,0.5740740740740741,0.5740740740740741,54.0
throw,0.0,0.0,0.0,46.0
walk,0.0875,0.17073170731707318,0.11570247933884296,41.0
wave,0.05263157894736842,0.023809523809523808,0.03278688524590164,42.0
accuracy,0.22413793103448276,0.22413793103448276,0.22413793103448276,0.22413793103448276
macro avg,0.16229126931904606,0.22620513331895448,0.17536267911431044,928.0
weighted avg,0.1665730902615274,0.22413793103448276,0.17749313822351584,928.0
