,precision,recall,f1-score,support
brush_hair,0.4444444444444444,0.7804878048780488,0.5663716814159292,41.0
catch,0.0,0.0,0.0,48.0
clap,0.16666666666666666,0.11363636363636363,0.13513513513513511,44.0
climb_stairs,0.13291139240506328,0.525,0.21212121212121213,40.0
golf,0.3106060606060606,0.9761904761904762,0.47126436781609193,42.0
jump,0.08333333333333333,0.05128205128205128,0.06349206349206349,39.0
kick_ball,0.3191489361702128,0.4166666666666667,0.3614457831325302,36.0
pick,0.09090909090909091,0.05,0.06451612903225806,40.0
pour,0.4057971014492754,0.509090909090909,0.45161290322580644,55.0
pullup,0.05555555555555555,0.01818181818181818,0.0273972602739726,55.0
push,0.0,0.0,0.0,42.0
run,0.0,0.0,0.0,40.0
shoot_ball,0.48484848484848486,0.4,0.4383561643835617,40.0
shoot_bow,0.0,0.0,0.0,53.0
shoot_gun,0.0,0.0,0.0,55.0
sit,0.1590909090909091,0.1794871794871795,0.16867469879518074,39.0
stand,0.0,0.0,0.0,36.0
swing_baseball,0.6078431372549019,0.5740740740740741,0.5904761904761905,54.0
throw,0.0,0.0,0.0,46.0
walk,0.07042253521126761,0.12195121951219512,0.08928571428571427,41.0
wave,0.037037037037037035,0.023809523809523808,0.028985507246376812,42.0
accuracy,0.22306034482758622,0.22306034482758622,0.22306034482758622,0.22306034482758622
macro avg,0.16041022309439543,0.22570752794330035,0.1747207052777154,928.0
weighted avg,0.16221172524831542,0.22306034482758622,0.17536202515516597,928.0
