,precision,recall,f1-score,support
abseiling,0.1111111111111111,0.011538461538461539,0.020905923344947737,260.0
air_drumming,0.0,0.0,0.0,260.0
answering_questions,0.0,0.0,0.0,260.0
applauding,0.06896551724137931,0.023076923076923078,0.034582132564841495,260.0
applying_cream,0.0,0.0,0.0,260.0
archery,0.18253968253968253,0.17692307692307693,0.17968750000000003,260.0
arm_wrestling,0.0,0.0,0.0,260.0
arranging_flowers,0.8461538461538461,0.04230769230769231,0.08058608058608059,260.0
assembling_computer,0.1527777777777778,0.04230769230769231,0.06626506024096385,260.0
auctioning,0.0,0.0,0.0,260.0
baby_waking_up,0.21574344023323616,0.2846153846153846,0.2454394693200663,260.0
baking_cookies,0.2629310344827586,0.23461538461538461,0.24796747967479676,260.0
balloon_blowing,0.06390328151986183,0.1423076923076923,0.08820023837902263,260.0
bandaging,0.14516129032258066,0.06923076923076923,0.09375000000000001,260.0
barbequing,0.3474576271186441,0.1576923076923077,0.21693121693121692,260.0
bartending,0.12,0.12692307692307692,0.1233644859813084,260.0
beatboxing,0.01818181818181818,0.007692307692307693,0.010810810810810811,260.0
bee_keeping,1.0,0.007692307692307693,0.015267175572519085,260.0
belly_dancing,0.15789473684210525,0.011538461538461539,0.02150537634408602,260.0
bench_pressing,0.0,0.0,0.0,260.0
bending_back,0.0,0.0,0.0,260.0
bending_metal,0.0,0.0,0.0,260.0
biking_through_snow,0.23076923076923078,0.023076923076923078,0.04195804195804197,260.0
blasting_sand,0.0,0.0,0.0,260.0
blowing_glass,0.009569377990430622,0.007692307692307693,0.008528784648187633,260.0
blowing_leaves,0.0,0.0,0.0,260.0
blowing_nose,0.0,0.0,0.0,260.0
blowing_out_candles,0.01994750656167979,0.2923076923076923,0.03734643734643735,260.0
bobsledding,0.5268817204301075,0.18846153846153846,0.27762039660056653,260.0
bookbinding,0.09302325581395349,0.015384615384615385,0.026402640264026403,260.0
bouncing_on_trampoline,0.1437371663244353,0.2692307692307692,0.18741633199464527,260.0
bowling,0.44634146341463415,0.7038461538461539,0.5462686567164179,260.0
braiding_hair,0.3269230769230769,0.06538461538461539,0.10897435897435898,260.0
breading_or_breadcrumbing,0.0,0.0,0.0,260.0
breakdancing,0.0,0.0,0.0,260.0
brush_painting,0.0,0.0,0.0,260.0
brushing_hair,0.039473684210526314,0.011538461538461539,0.017857142857142856,260.0
brushing_teeth,0.072992700729927,0.038461538461538464,0.05037783375314862,260.0
building_cabinet,0.02666666666666667,0.015384615384615385,0.01951219512195122,260.0
building_shed,0.3053435114503817,0.3076923076923077,0.3065134099616858,260.0
bungee_jumping,0.34328358208955223,0.17692307692307693,0.23350253807106597,260.0
busking,0.2857142857142857,0.023076923076923078,0.042704626334519574,260.0
canoeing_or_kayaking,0.6493506493506493,0.19230769230769232,0.2967359050445104,260.0
capoeira,0.0790273556231003,0.1,0.08828522920203737,260.0
carrying_baby,0.0,0.0,0.0,260.0
cartwheeling,0.0,0.0,0.0,260.0
carving_pumpkin,0.7419354838709677,0.17692307692307693,0.2857142857142857,260.0
catching_fish,0.24,0.023076923076923078,0.042105263157894736,260.0
catching_or_throwing_baseball,0.1111111111111111,0.023076923076923078,0.03821656050955414,260.0
catching_or_throwing_frisbee,0.13043478260869565,0.011538461538461539,0.02120141342756184,260.0
catching_or_throwing_softball,0.0,0.0,0.0,260.0
celebrating,0.0,0.0,0.0,260.0
changing_oil,0.21428571428571427,0.011538461538461539,0.021897810218978103,260.0
