,precision,recall,f1-score,support
abseiling,0.0,0.0,0.0,260.0
air_drumming,0.0,0.0,0.0,260.0
answering_questions,0.0,0.0,0.0,260.0
applauding,0.08,0.007692307692307693,0.014035087719298246,260.0
applying_cream,0.0,0.0,0.0,260.0
archery,0.21052631578947367,0.06153846153846154,0.09523809523809523,260.0
arm_wrestling,0.0,0.0,0.0,260.0
arranging_flowers,0.5033333333333333,0.5807692307692308,0.5392857142857143,260.0
assembling_computer,0.03125,0.007692307692307693,0.01234567901234568,260.0
auctioning,0.0,0.0,0.0,260.0
baby_waking_up,0.016578249336870028,0.09615384615384616,0.02828054298642534,260.0
baking_cookies,0.16927083333333334,0.25,0.20186335403726707,260.0
balloon_blowing,0.08588957055214724,0.05384615384615385,0.066193853427896,260.0
bandaging,0.10135135135135136,0.057692307692307696,0.07352941176470588,260.0
barbequing,0.06422018348623854,0.026923076923076925,0.037940379403794036,260.0
bartending,0.28,0.4576923076923077,0.34744525547445265,260.0
beatboxing,0.0,0.0,0.0,260.0
bee_keeping,1.0,0.026923076923076925,0.05243445692883896,260.0
belly_dancing,0.0,0.0,0.0,260.0
bench_pressing,0.0,0.0,0.0,260.0
bending_back,0.0,0.0,0.0,260.0
bending_metal,0.0,0.0,0.0,260.0
biking_through_snow,0.0915032679738562,0.05384615384615385,0.06779661016949153,260.0
blasting_sand,0.0,0.0,0.0,260.0
blowing_glass,0.0,0.0,0.0,260.0
blowing_leaves,0.0,0.0,0.0,260.0
blowing_nose,0.0,0.0,0.0,260.0
blowing_out_candles,0.04390243902439024,0.06923076923076923,0.05373134328358209,260.0
bobsledding,0.7727272727272727,0.06538461538461539,0.12056737588652483,260.0
bookbinding,0.024096385542168676,0.007692307692307693,0.011661807580174929,260.0
bouncing_on_trampoline,0.3217391304347826,0.1423076923076923,0.1973333333333333,260.0
bowling,0.4270833333333333,0.9461538461538461,0.5885167464114832,260.0
braiding_hair,0.04979757085020243,0.47307692307692306,0.09010989010989011,260.0
breading_or_breadcrumbing,0.0,0.0,0.0,260.0
breakdancing,0.07692307692307693,0.007692307692307693,0.013986013986013988,260.0
brush_painting,0.023558082859463852,0.11153846153846154,0.038900067069081154,260.0
brushing_hair,0.0,0.0,0.0,260.0
brushing_teeth,0.0038022813688212928,0.0038461538461538464,0.003824091778202677,260.0
building_cabinet,0.0214190093708166,0.06153846153846154,0.031777557100297914,260.0
building_shed,0.38645418326693226,0.3730769230769231,0.3796477495107632,260.0
bungee_jumping,0.1678832116788321,0.08846153846153847,0.11586901763224182,260.0
busking,0.15384615384615385,0.015384615384615385,0.027972027972027975,260.0
canoeing_or_kayaking,0.30434782608695654,0.05384615384615385,0.0915032679738562,260.0
capoeira,0.050513022888713496,0.24615384615384617,0.08382449246889326,260.0
carrying_baby,0.0,0.0,0.0,260.0
cartwheeling,0.0,0.0,0.0,260.0
carving_pumpkin,1.0,0.07692307692307693,0.14285714285714288,260.0
catching_fish,0.36082474226804123,0.1346153846153846,0.196078431372549,260.0
catching_or_throwing_baseball,0.0,0.0,0.0,260.0
catching_or_throwing_frisbee,0.0,0.0,0.0,260.0
catching_or_throwing_softball,0.0,0.0,0.0,260.0
celebrating,0.0,0.0,0.0,260.0
changing_oil,0.15384615384615385,0.007692307692307693,0.014652014652014654,260.0
changing_wheel,0.0782608695652174,0.03461538461538462,0.048,260.0
checking_tires,0.5612244897959183,0.21153846153846154,0.3072625698324022,260.0
cheerleading,1.0,0.0038461538461538464,0.007662835249042146,260.0
chopping_wood,0.05128205128205128,0.007692307692307693,0.013377926421404682,260.0
clapping,0.0,0.0,0.0,260.0
clay_pottery_making,0.014519056261343012,0.03076923076923077,0.01972872996300863,260.0
clean_and_jerk,0.0,0.0,0.0,260.0
cleaning_floor,0.006982543640897756,0.05384615384615385,0.012362030905077263,260.0
cleaning_gutters,0.007751937984496124,0.0038461538461538464,0.005141388174807198,260.0
cleaning_pool,0.1925233644859813,0.39615384615384613,0.2591194968553459,260.0
cleaning_shoes,0.16094986807387862,0.23461538461538461,0.19092331768388107,260.0
cleaning_toilet,0.2236180904522613,0.6846153846153846,0.3371212121212121,260.0
cleaning_windows,0.11352657004830918,0.18076923076923077,0.1394658753709199,260.0
climbing_a_rope,0.0228310502283105,0.038461538461538464,0.028653295128939826,260.0
climbing_ladder,0.07317073170731707,0.023076923076923078,0.03508771929824561,260.0
climbing_tree,0.0410958904109589,0.011538461538461539,0.018018018018018018,260.0
contact_juggling,0.0,0.0,0.0,260.0
cooking_chicken,0.043478260869565216,0.06153846153846154,0.05095541401273885,260.0
cooking_egg,0.3,0.03461538461538462,0.062068965517241385,260.0
cooking_on_campfire,0.012345679012345678,0.0038461538461538464,0.005865102639296188,260.0
cooking_sausages,0.07803468208092486,0.10384615384615385,0.08910891089108912,260.0
counting_money,0.0,0.0,0.0,260.0
country_line_dancing,0.0,0.0,0.0,260.0
cracking_neck,0.0,0.0,0.0,260.0
crawling_baby,0.029315960912052116,0.45,0.055045871559633024,260.0
crossing_river,0.245014245014245,0.33076923076923076,0.2815057283142389,260.0
crying,0.0,0.0,0.0,260.0
curling_hair,0.010309278350515464,0.011538461538461539,0.01088929219600726,260.0
cutting_nails,0.0,0.0,0.0,260.0
cutting_pineapple,0.625,0.019230769230769232,0.03731343283582089,260.0
cutting_watermelon,0.6,0.011538461538461539,0.022641509433962266,260.0
dancing_ballet,0.0647887323943662,0.2653846153846154,0.10415094339622641,260.0
dancing_charleston,0.0,0.0,0.0,260.0
dancing_gangnam_style,0.0055248618784530384,0.007692307692307693,0.006430868167202572,260.0
dancing_macarena,0.04782608695652174,0.04230769230769231,0.04489795918367347,260.0
deadlifting,0.3153153153153153,0.1346153846153846,0.18867924528301888,260.0
decorating_the_christmas_tree,0.0,0.0,0.0,260.0
digging,0.16602687140115163,0.6653846153846154,0.2657450076804916,260.0
dining,0.07321772639691715,0.14615384615384616,0.0975609756097561,260.0
disc_golfing,0.0,0.0,0.0,260.0
diving_cliff,0.14630872483221477,0.41923076923076924,0.21691542288557217,260.0
dodgeball,0.006211180124223602,0.0038461538461538464,0.004750593824228029,260.0
doing_aerobics,0.0,0.0,0.0,260.0
doing_laundry,0.15517241379310345,0.2423076923076923,0.1891891891891892,260.0
doing_nails,0.5,0.011538461538461539,0.02255639097744361,260.0
drawing,0.2972972972972973,0.16923076923076924,0.21568627450980393,260.0
dribbling_basketball,0.328125,0.08076923076923077,0.12962962962962965,260.0
drinking,0.024390243902439025,0.0038461538461538464,0.00664451827242525,260.0
drinking_beer,0.06769230769230769,0.08461538461538462,0.07521367521367521,260.0
drinking_shots,0.0,0.0,0.0,260.0
driving_car,0.15177713736791545,0.6076923076923076,0.24289008455034586,260.0
driving_tractor,0.8181818181818182,0.13846153846153847,0.2368421052631579,260.0
drop_kicking,0.0,0.0,0.0,260.0
drumming_fingers,0.0,0.0,0.0,260.0
dunking_basketball,0.11578947368421053,0.12692307692307692,0.12110091743119267,260.0
dying_hair,0.0,0.0,0.0,260.0
eating_burger,0.043010752688172046,0.015384615384615385,0.0226628895184136,260.0
eating_cake,0.0,0.0,0.0,260.0
eating_carrots,0.0,0.0,0.0,260.0
eating_chips,0.0,0.0,0.0,260.0
eating_doughnuts,0.06164383561643835,0.03461538461538462,0.04433497536945813,260.0
eating_hotdog,0.0,0.0,0.0,260.0
eating_ice_cream,0.039792387543252594,0.2653846153846154,0.06920762286860582,260.0
eating_spaghetti,1.0,0.0038461538461538464,0.007662835249042146,260.0
eating_watermelon,0.10256410256410256,0.015384615384615385,0.026755852842809364,260.0
egg_hunting,0.0,0.0,0.0,260.0
exercising_arm,0.0,0.0,0.0,260.0
exercising_with_an_exercise_ball,0.0,0.0,0.0,260.0
extinguishing_fire,0.06458191706322229,0.36538461538461536,0.1097631426920855,260.0
faceplanting,0.0,0.0,0.0,260.0
feeding_birds,0.006329113924050633,0.0038461538461538464,0.004784688995215312,260.0
feeding_fish,0.16666666666666666,0.38461538461538464,0.2325581395348837,260.0
feeding_goats,0.2692307692307692,0.026923076923076925,0.04895104895104895,260.0
filling_eyebrows,0.0,0.0,0.0,260.0
finger_snapping,0.13333333333333333,0.007692307692307693,0.014545454545454545,260.0
fixing_hair,0.0,0.0,0.0,260.0
flipping_pancake,0.0,0.0,0.0,260.0
flying_kite,0.09436008676789588,0.3346153846153846,0.14720812182741116,260.0
folding_clothes,0.0827250608272506,0.13076923076923078,0.10134128166915052,260.0
folding_napkins,0.078125,0.019230769230769232,0.0308641975308642,260.0
folding_paper,0.11235955056179775,0.038461538461538464,0.05730659025787966,260.0
front_raises,0.0,0.0,0.0,260.0
frying_vegetables,0.08974358974358974,0.05384615384615385,0.06730769230769232,260.0
garbage_collecting,0.15808823529411764,0.16538461538461538,0.16165413533834586,260.0
gargling,0.0,0.0,0.0,260.0
