,precision,recall,f1-score,support
abseiling,0.5,0.0038461538461538464,0.0076335877862595426,260.0
air_drumming,0.0,0.0,0.0,260.0
answering_questions,0.09090909090909091,0.0038461538461538464,0.007380073800738008,260.0
applauding,0.02287581699346405,0.026923076923076925,0.024734982332155476,260.0
applying_cream,0.06666666666666667,0.0038461538461538464,0.007272727272727273,260.0
archery,0.24,0.13846153846153847,0.17560975609756097,260.0
arm_wrestling,0.0,0.0,0.0,260.0
arranging_flowers,0.75,0.011538461538461539,0.02272727272727273,260.0
assembling_computer,0.043478260869565216,0.023076923076923078,0.030150753768844223,260.0
auctioning,0.023255813953488372,0.0038461538461538464,0.006600660066006601,260.0
baby_waking_up,0.2777777777777778,0.09615384615384616,0.14285714285714288,260.0
baking_cookies,0.4533333333333333,0.13076923076923078,0.20298507462686566,260.0
balloon_blowing,0.3,0.023076923076923078,0.042857142857142864,260.0
bandaging,0.1836734693877551,0.03461538461538462,0.05825242718446602,260.0
barbequing,0.0,0.0,0.0,260.0
bartending,0.005050505050505051,0.023076923076923078,0.008287292817679558,260.0
beatboxing,0.0,0.0,0.0,260.0
bee_keeping,0.8,0.046153846153846156,0.08727272727272727,260.0
belly_dancing,0.0625,0.0038461538461538464,0.007246376811594203,260.0
bench_pressing,0.0,0.0,0.0,260.0
bending_back,0.0,0.0,0.0,260.0
bending_metal,0.0,0.0,0.0,260.0
biking_through_snow,0.56,0.05384615384615385,0.09824561403508772,260.0
blasting_sand,0.0,0.0,0.0,260.0
blowing_glass,0.05581395348837209,0.13846153846153847,0.07955801104972375,260.0
blowing_leaves,0.0,0.0,0.0,260.0
blowing_nose,0.0,0.0,0.0,260.0
blowing_out_candles,0.0099448708247757,0.35384615384615387,0.019346020397434553,260.0
bobsledding,0.3815789473684211,0.11153846153846154,0.17261904761904764,260.0
bookbinding,0.0,0.0,0.0,260.0
bouncing_on_trampoline,0.4270833333333333,0.1576923076923077,0.23033707865168537,260.0
bowling,0.44086021505376344,0.47307692307692306,0.45640074211502785,260.0
braiding_hair,0.2692307692307692,0.05384615384615385,0.08974358974358976,260.0
breading_or_breadcrumbing,0.02857142857142857,0.0038461538461538464,0.006779661016949153,260.0
breakdancing,0.0,0.0,0.0,260.0
brush_painting,0.0,0.0,0.0,260.0
brushing_hair,0.0,0.0,0.0,260.0
brushing_teeth,0.00306634454562349,0.12692307692307692,0.005988023952095809,260.0
building_cabinet,0.1016949152542373,0.046153846153846156,0.0634920634920635,260.0
building_shed,0.18421052631578946,0.026923076923076925,0.04697986577181209,260.0
bungee_jumping,0.48214285714285715,0.10384615384615385,0.17088607594936708,260.0
busking,0.0,0.0,0.0,260.0
canoeing_or_kayaking,0.72,0.13846153846153847,0.23225806451612904,260.0
capoeira,0.0,0.0,0.0,260.0
carrying_baby,0.019204389574759947,0.05384615384615385,0.028311425682507586,260.0
cartwheeling,0.001310615989515072,0.0038461538461538464,0.0019550342130987292,260.0
carving_pumpkin,0.7647058823529411,0.05,0.09386281588447654,260.0
catching_fish,0.11764705882352941,0.03076923076923077,0.04878048780487805,260.0
catching_or_throwing_baseball,0.0,0.0,0.0,260.0
catching_or_throwing_frisbee,0.16666666666666666,0.0038461538461538464,0.007518796992481203,260.0
catching_or_throwing_softball,0.6666666666666666,0.007692307692307693,0.015209125475285173,260.0
celebrating,0.0028122901276024176,0.25769230769230766,0.00556385982394951,260.0
changing_oil,0.5,0.007692307692307693,0.015151515151515154,260.0
changing_wheel,0.1746987951807229,0.11153846153846154,0.13615023474178406,260.0
checking_tires,0.5370370370370371,0.11153846153846154,0.18471337579617833,260.0
cheerleading,0.5714285714285714,0.015384615384615385,0.029962546816479405,260.0
chopping_wood,0.0,0.0,0.0,260.0
clapping,0.0,0.0,0.0,260.0
clay_pottery_making,0.75,0.03461538461538462,0.0661764705882353,260.0
clean_and_jerk,0.0,0.0,0.0,260.0
cleaning_floor,0.04176904176904177,0.06538461538461539,0.050974512743628186,260.0
cleaning_gutters,0.0,0.0,0.0,260.0
cleaning_pool,0.04285714285714286,0.03461538461538462,0.03829787234042553,260.0
cleaning_shoes,0.0,0.0,0.0,260.0
cleaning_toilet,0.3333333333333333,0.25,0.28571428571428575,260.0
cleaning_windows,0.037267080745341616,0.046153846153846156,0.041237113402061855,260.0
climbing_a_rope,0.0,0.0,0.0,260.0
climbing_ladder,0.05263157894736842,0.0038461538461538464,0.007168458781362007,260.0
climbing_tree,0.38461538461538464,0.038461538461538464,0.06993006993006992,260.0
contact_juggling,0.022222222222222223,0.0038461538461538464,0.006557377049180329,260.0
cooking_chicken,0.09090909090909091,0.015384615384615385,0.026315789473684213,260.0
cooking_egg,0.25663716814159293,0.11153846153846154,0.15549597855227884,260.0
cooking_on_campfire,0.06299212598425197,0.12307692307692308,0.08333333333333333,260.0
cooking_sausages,0.0,0.0,0.0,260.0
counting_money,0.05263157894736842,0.0038461538461538464,0.007168458781362007,260.0
country_line_dancing,0.0,0.0,0.0,260.0
cracking_neck,0.0,0.0,0.0,260.0
crawling_baby,0.09917355371900827,0.046153846153846156,0.06299212598425197,260.0
crossing_river,0.044444444444444446,0.007692307692307693,0.013114754098360657,260.0
crying,0.0,0.0,0.0,260.0
curling_hair,0.5,0.015384615384615385,0.029850746268656723,260.0
cutting_nails,0.06451612903225806,0.015384615384615385,0.02484472049689441,260.0
cutting_pineapple,0.8695652173913043,0.07692307692307693,0.14134275618374556,260.0
cutting_watermelon,0.8333333333333334,0.019230769230769232,0.03759398496240601,260.0
dancing_ballet,0.1092436974789916,0.15,0.12641815235008105,260.0
dancing_charleston,0.08333333333333333,0.0038461538461538464,0.007352941176470589,260.0
dancing_gangnam_style,0.0,0.0,0.0,260.0
dancing_macarena,0.0,0.0,0.0,260.0
deadlifting,0.0,0.0,0.0,260.0
decorating_the_christmas_tree,0.0,0.0,0.0,260.0
digging,0.03773584905660377,0.007692307692307693,0.012779552715654953,260.0
dining,0.08947368421052632,0.06538461538461539,0.07555555555555557,260.0
disc_golfing,0.03571428571428571,0.0038461538461538464,0.006944444444444445,260.0
diving_cliff,0.5,0.019230769230769232,0.037037037037037035,260.0
dodgeball,0.0017441860465116279,0.011538461538461539,0.0030303030303030303,260.0
doing_aerobics,0.0,0.0,0.0,260.0
doing_laundry,0.3129251700680272,0.17692307692307693,0.22604422604422605,260.0
doing_nails,0.0,0.0,0.0,260.0
drawing,0.30434782608695654,0.08076923076923077,0.12765957446808512,260.0
dribbling_basketball,0.016666666666666666,0.0038461538461538464,0.00625,260.0
drinking,0.03875968992248062,0.019230769230769232,0.02570694087403599,260.0
drinking_beer,0.2558139534883721,0.04230769230769231,0.07260726072607261,260.0
drinking_shots,0.0,0.0,0.0,260.0
driving_car,0.1813186813186813,0.12692307692307692,0.1493212669683258,260.0
driving_tractor,0.7169811320754716,0.14615384615384616,0.2428115015974441,260.0
drop_kicking,0.0,0.0,0.0,260.0
drumming_fingers,0.0,0.0,0.0,260.0
dunking_basketball,0.0,0.0,0.0,260.0
dying_hair,0.06666666666666667,0.0038461538461538464,0.007272727272727273,260.0
eating_burger,0.6,0.011538461538461539,0.022641509433962266,260.0
eating_cake,0.0,0.0,0.0,260.0
eating_carrots,0.0,0.0,0.0,260.0
eating_chips,0.0,0.0,0.0,260.0
eating_doughnuts,0.0,0.0,0.0,260.0
eating_hotdog,0.0,0.0,0.0,260.0
