,precision,recall,f1-score,support
abseiling,0.07692307692307693,0.0038461538461538464,0.007326007326007327,260.0
air_drumming,0.0,0.0,0.0,260.0
answering_questions,0.0,0.0,0.0,260.0
applauding,0.007728638900815801,0.13846153846153847,0.014640097600650671,260.0
applying_cream,0.0,0.0,0.0,260.0
archery,0.22330097087378642,0.17692307692307693,0.19742489270386265,260.0
arm_wrestling,0.0,0.0,0.0,260.0
arranging_flowers,0.8571428571428571,0.046153846153846156,0.08759124087591241,260.0
assembling_computer,0.3870967741935484,0.046153846153846156,0.08247422680412371,260.0
auctioning,0.0,0.0,0.0,260.0
baby_waking_up,0.2553191489361702,0.13846153846153847,0.17955112219451372,260.0
baking_cookies,0.2719665271966527,0.25,0.2605210420841683,260.0
balloon_blowing,0.05238828967642527,0.13076923076923078,0.0748074807480748,260.0
bandaging,0.125,0.03076923076923077,0.04938271604938272,260.0
barbequing,0.04081632653061224,0.007692307692307693,0.012944983818770227,260.0
bartending,0.027510316368638238,0.38461538461538464,0.05134788189987162,260.0
beatboxing,0.0,0.0,0.0,260.0
bee_keeping,1.0,0.0038461538461538464,0.007662835249042146,260.0
belly_dancing,0.0,0.0,0.0,260.0
bench_pressing,0.0,0.0,0.0,260.0
bending_back,0.0,0.0,0.0,260.0
bending_metal,0.0,0.0,0.0,260.0
biking_through_snow,0.6962025316455697,0.21153846153846154,0.3244837758112094,260.0
blasting_sand,0.0,0.0,0.0,260.0
blowing_glass,0.07806691449814127,0.08076923076923077,0.07939508506616257,260.0
blowing_leaves,0.0,0.0,0.0,260.0
blowing_nose,0.0,0.0,0.0,260.0
blowing_out_candles,0.015077481502163897,0.4153846153846154,0.029098747137276035,260.0
bobsledding,0.5581395348837209,0.18461538461538463,0.27745664739884396,260.0
bookbinding,0.03571428571428571,0.007692307692307693,0.012658227848101266,260.0
bouncing_on_trampoline,0.17752808988764046,0.3038461538461538,0.22411347517730495,260.0
bowling,0.31158455392809586,0.9,0.4629080118694362,260.0
braiding_hair,0.15217391304347827,0.08076923076923077,0.10552763819095479,260.0
breading_or_breadcrumbing,0.0,0.0,0.0,260.0
breakdancing,0.025,0.0038461538461538464,0.006666666666666667,260.0
brush_painting,0.0,0.0,0.0,260.0
brushing_hair,0.004629629629629629,0.0038461538461538464,0.004201680672268907,260.0
brushing_teeth,0.0,0.0,0.0,260.0
building_cabinet,0.025373134328358207,0.06538461538461539,0.03655913978494624,260.0
building_shed,0.5447154471544715,0.25769230769230766,0.3498694516971279,260.0
bungee_jumping,0.3188405797101449,0.16923076923076924,0.22110552763819094,260.0
busking,0.058823529411764705,0.0038461538461538464,0.007220216606498195,260.0
canoeing_or_kayaking,0.7384615384615385,0.18461538461538463,0.2953846153846154,260.0
capoeira,0.0,0.0,0.0,260.0
carrying_baby,0.0,0.0,0.0,260.0
cartwheeling,0.0,0.0,0.0,260.0
carving_pumpkin,0.48672566371681414,0.21153846153846154,0.2949061662198391,260.0
catching_fish,0.21428571428571427,0.08076923076923077,0.11731843575418995,260.0
catching_or_throwing_baseball,0.16477272727272727,0.11153846153846154,0.1330275229357798,260.0
catching_or_throwing_frisbee,0.07368421052631578,0.026923076923076925,0.03943661971830986,260.0
catching_or_throwing_softball,0.3018867924528302,0.06153846153846154,0.10223642172523963,260.0
celebrating,0.009575170592119745,0.3346153846153846,0.018617590413010913,260.0
changing_oil,0.0,0.0,0.0,260.0
changing_wheel,0.06484641638225255,0.2923076923076923,0.10614525139664804,260.0
checking_tires,0.45588235294117646,0.3576923076923077,0.40086206896551724,260.0
cheerleading,0.4375,0.026923076923076925,0.05072463768115942,260.0
chopping_wood,0.0,0.0,0.0,260.0
clapping,0.0,0.0,0.0,260.0
clay_pottery_making,0.75,0.023076923076923078,0.04477611940298507,260.0
clean_and_jerk,0.0,0.0,0.0,260.0
cleaning_floor,0.058759521218716,0.2076923076923077,0.09160305343511452,260.0
cleaning_gutters,0.0,0.0,0.0,260.0
cleaning_pool,0.1360381861575179,0.21923076923076923,0.16789396170839468,260.0
cleaning_shoes,0.15625,0.019230769230769232,0.03424657534246576,260.0
cleaning_toilet,0.1961904761904762,0.39615384615384613,0.2624203821656051,260.0
cleaning_windows,0.03636363636363636,0.05384615384615385,0.043410852713178294,260.0
climbing_a_rope,0.024844720496894408,0.015384615384615385,0.019002375296912115,260.0
climbing_ladder,0.08108108108108109,0.023076923076923078,0.03592814371257485,260.0
climbing_tree,0.03372381966631168,0.36538461538461536,0.061748456288592796,260.0
contact_juggling,0.036231884057971016,0.057692307692307696,0.04451038575667656,260.0
cooking_chicken,0.0,0.0,0.0,260.0
cooking_egg,0.10404624277456648,0.06923076923076923,0.08314087759815243,260.0
cooking_on_campfire,0.17763157894736842,0.2076923076923077,0.1914893617021277,260.0
cooking_sausages,0.21212121212121213,0.05384615384615385,0.08588957055214724,260.0
counting_money,0.0,0.0,0.0,260.0
country_line_dancing,0.0,0.0,0.0,260.0
cracking_neck,0.09090909090909091,0.007692307692307693,0.014184397163120569,260.0
crawling_baby,0.03293084522502744,0.11538461538461539,0.05123825789923142,260.0
crossing_river,0.3564356435643564,0.13846153846153847,0.19944598337950137,260.0
crying,0.0,0.0,0.0,260.0
curling_hair,0.3333333333333333,0.023076923076923078,0.04316546762589929,260.0
cutting_nails,0.0,0.0,0.0,260.0
cutting_pineapple,0.9375,0.11538461538461539,0.2054794520547945,260.0
cutting_watermelon,0.8392857142857143,0.18076923076923077,0.2974683544303797,260.0
dancing_ballet,0.1523809523809524,0.12307692307692308,0.13617021276595745,260.0
dancing_charleston,0.07377049180327869,0.03461538461538462,0.04712041884816754,260.0
dancing_gangnam_style,0.04081632653061224,0.007692307692307693,0.012944983818770227,260.0
dancing_macarena,0.0,0.0,0.0,260.0
deadlifting,0.0,0.0,0.0,260.0
decorating_the_christmas_tree,0.01804123711340206,0.026923076923076925,0.021604938271604937,260.0
digging,0.2727272727272727,0.17307692307692307,0.21176470588235294,260.0
dining,0.25196850393700787,0.12307692307692308,0.165374677002584,260.0
disc_golfing,0.06216505894962487,0.2230769230769231,0.0972338642078793,260.0
diving_cliff,0.36923076923076925,0.09230769230769231,0.1476923076923077,260.0
dodgeball,0.0,0.0,0.0,260.0
doing_aerobics,0.02158273381294964,0.011538461538461539,0.015037593984962405,260.0
doing_laundry,0.10616438356164383,0.11923076923076924,0.11231884057971016,260.0
doing_nails,0.125,0.0038461538461538464,0.007462686567164181,260.0
drawing,0.09737827715355805,0.2,0.13098236775818642,260.0
dribbling_basketball,0.1978021978021978,0.06923076923076923,0.10256410256410256,260.0
drinking,0.03488372093023256,0.011538461538461539,0.017341040462427747,260.0
drinking_beer,0.3235294117647059,0.04230769230769231,0.07482993197278912,260.0
drinking_shots,0.17391304347826086,0.015384615384615385,0.028268551236749116,260.0
driving_car,0.27245508982035926,0.35,0.3063973063973064,260.0
driving_tractor,0.9074074074074074,0.18846153846153846,0.31210191082802546,260.0
drop_kicking,0.0,0.0,0.0,260.0
drumming_fingers,0.0,0.0,0.0,260.0
dunking_basketball,0.5,0.007692307692307693,0.015151515151515154,260.0
dying_hair,0.058823529411764705,0.0038461538461538464,0.007220216606498195,260.0
eating_burger,0.6666666666666666,0.015384615384615385,0.03007518796992481,260.0
eating_cake,0.0,0.0,0.0,260.0
eating_carrots,0.0,0.0,0.0,260.0
eating_chips,0.1111111111111111,0.0038461538461538464,0.007434944237918216,260.0
eating_doughnuts,0.0,0.0,0.0,260.0
eating_hotdog,0.0,0.0,0.0,260.0
eating_ice_cream,0.08187134502923976,0.05384615384615385,0.06496519721577727,260.0
eating_spaghetti,1.0,0.015384615384615385,0.030303030303030307,260.0
eating_watermelon,0.22727272727272727,0.019230769230769232,0.03546099290780142,260.0
egg_hunting,0.0,0.0,0.0,260.0
exercising_arm,0.018867924528301886,0.0038461538461538464,0.006389776357827477,260.0
exercising_with_an_exercise_ball,0.031041388518024033,0.3576923076923077,0.05712530712530713,260.0
extinguishing_fire,0.2894736842105263,0.12692307692307692,0.1764705882352941,260.0
faceplanting,0.0,0.0,0.0,260.0
feeding_birds,0.17647058823529413,0.011538461538461539,0.021660649819494587,260.0
feeding_fish,0.6304347826086957,0.11153846153846154,0.18954248366013074,260.0
feeding_goats,0.42857142857142855,0.06923076923076923,0.11920529801324503,260.0
filling_eyebrows,0.2982456140350877,0.06538461538461539,0.10725552050473187,260.0
finger_snapping,0.024096385542168676,0.015384615384615385,0.018779342723004695,260.0
fixing_hair,0.06097560975609756,0.019230769230769232,0.029239766081871347,260.0
flipping_pancake,0.0784313725490196,0.1076923076923077,0.0907617504051864,260.0
flying_kite,0.6,0.057692307692307696,0.10526315789473685,260.0
folding_clothes,0.11206896551724138,0.05,0.06914893617021278,260.0
folding_napkins,0.03529411764705882,0.011538461538461539,0.017391304347826087,260.0
folding_paper,0.02074272331883573,0.23846153846153847,0.03816558941212681,260.0
front_raises,0.0,0.0,0.0,260.0
frying_vegetables,0.1935483870967742,0.023076923076923078,0.041237113402061855,260.0
garbage_collecting,0.41379310344827586,0.09230769230769231,0.1509433962264151,260.0
gargling,0.0,0.0,0.0,260.0
getting_a_haircut,0.16228070175438597,0.1423076923076923,0.15163934426229508,260.0
getting_a_tattoo,0.20512820512820512,0.03076923076923077,0.05351170568561873,260.0
giving_or_receiving_award,0.3684210526315789,0.026923076923076925,0.05017921146953405,260.0
golf_chipping,0.19047619047619047,0.015384615384615385,0.028469750889679717,260.0
golf_driving,0.03278688524590164,0.03076923076923077,0.031746031746031744,260.0
golf_putting,0.19170984455958548,0.5692307692307692,0.28682170542635654,260.0
grinding_meat,0.7619047619047619,0.12307692307692308,0.2119205298013245,260.0
grooming_dog,0.1716867469879518,0.43846153846153846,0.24675324675324672,260.0
grooming_horse,0.224,0.1076923076923077,0.14545454545454545,260.0
gymnastics_tumbling,0.07394366197183098,0.08076923076923077,0.07720588235294118,260.0
hammer_throw,0.0,0.0,0.0,260.0
headbanging,0.0,0.0,0.0,260.0
headbutting,0.0,0.0,0.0,260.0
high_jump,0.34,0.06538461538461539,0.10967741935483873,260.0
high_kick,0.05263157894736842,0.0038461538461538464,0.007168458781362007,260.0
hitting_baseball,0.4230769230769231,0.16923076923076924,0.24175824175824173,260.0
hockey_stop,0.1625,0.05,0.07647058823529411,260.0
holding_snake,0.3888888888888889,0.026923076923076925,0.050359712230215826,260.0
hopscotch,0.0,0.0,0.0,260.0
hoverboarding,0.017543859649122806,0.0038461538461538464,0.006309148264984227,260.0
