,precision,recall,f1-score,support
abseiling,0.037037037037037035,0.0038461538461538464,0.006968641114982578,260.0
air_drumming,0.0,0.0,0.0,260.0
answering_questions,0.0,0.0,0.0,260.0
applauding,0.0009635237439779766,0.026923076923076925,0.0018604651162790697,260.0
applying_cream,0.0,0.0,0.0,260.0
archery,0.1902834008097166,0.18076923076923077,0.1854043392504931,260.0
arm_wrestling,0.008064516129032258,0.0038461538461538464,0.005208333333333333,260.0
arranging_flowers,0.8461538461538461,0.04230769230769231,0.08058608058608059,260.0
assembling_computer,0.45454545454545453,0.038461538461538464,0.07092198581560284,260.0
auctioning,0.0,0.0,0.0,260.0
baby_waking_up,0.2679738562091503,0.1576923076923077,0.19854721549636803,260.0
baking_cookies,0.2689075630252101,0.24615384615384617,0.25702811244979923,260.0
balloon_blowing,0.04190919674039581,0.13846153846153847,0.064343163538874,260.0
bandaging,0.1276595744680851,0.023076923076923078,0.03908794788273615,260.0
barbequing,0.04878048780487805,0.015384615384615385,0.023391812865497078,260.0
bartending,0.04361370716510903,0.2153846153846154,0.07253886010362694,260.0
beatboxing,0.0,0.0,0.0,260.0
bee_keeping,0.0,0.0,0.0,260.0
belly_dancing,0.0,0.0,0.0,260.0
bench_pressing,0.0,0.0,0.0,260.0
bending_back,0.0,0.0,0.0,260.0
bending_metal,0.0,0.0,0.0,260.0
biking_through_snow,0.6626506024096386,0.21153846153846154,0.3206997084548105,260.0
blasting_sand,0.0,0.0,0.0,260.0
blowing_glass,0.06374501992031872,0.06153846153846154,0.06262230919765167,260.0
blowing_leaves,0.0,0.0,0.0,260.0
blowing_nose,0.0,0.0,0.0,260.0
blowing_out_candles,0.014518368892816564,0.4423076923076923,0.02811392250336145,260.0
bobsledding,0.5,0.19615384615384615,0.281767955801105,260.0
bookbinding,0.047619047619047616,0.011538461538461539,0.018575851393188854,260.0
bouncing_on_trampoline,0.1529175050301811,0.2923076923076923,0.20079260237780713,260.0
bowling,0.3277310924369748,0.6,0.42391304347826086,260.0
braiding_hair,0.14935064935064934,0.08846153846153847,0.1111111111111111,260.0
breading_or_breadcrumbing,0.0,0.0,0.0,260.0
breakdancing,0.031914893617021274,0.011538461538461539,0.01694915254237288,260.0
brush_painting,0.0,0.0,0.0,260.0
brushing_hair,0.0040650406504065045,0.0038461538461538464,0.003952569169960474,260.0
brushing_teeth,0.009615384615384616,0.007692307692307693,0.008547008547008548,260.0
building_cabinet,0.03314917127071823,0.06923076923076923,0.0448318804483188,260.0
building_shed,0.5238095238095238,0.21153846153846154,0.3013698630136986,260.0
bungee_jumping,0.33076923076923076,0.16538461538461538,0.22051282051282048,260.0
busking,0.09523809523809523,0.007692307692307693,0.014234875444839859,260.0
canoeing_or_kayaking,0.7162162162162162,0.20384615384615384,0.31736526946107785,260.0
capoeira,0.0,0.0,0.0,260.0
carrying_baby,0.0,0.0,0.0,260.0
cartwheeling,0.0,0.0,0.0,260.0
carving_pumpkin,0.55,0.21153846153846154,0.3055555555555555,260.0
catching_fish,0.1487603305785124,0.06923076923076923,0.09448818897637797,260.0
catching_or_throwing_baseball,0.12074303405572756,0.15,0.13379073756432247,260.0
catching_or_throwing_frisbee,0.07407407407407407,0.038461538461538464,0.05063291139240507,260.0
catching_or_throwing_softball,0.3333333333333333,0.03461538461538462,0.06271777003484322,260.0
celebrating,0.010407905803195963,0.38076923076923075,0.020261972984036022,260.0
changing_oil,0.0,0.0,0.0,260.0
changing_wheel,0.035908596300326445,0.25384615384615383,0.06291706387035272,260.0
checking_tires,0.3949579831932773,0.36153846153846153,0.37751004016064255,260.0
cheerleading,0.47058823529411764,0.03076923076923077,0.05776173285198556,260.0
chopping_wood,0.0,0.0,0.0,260.0
clapping,0.0,0.0,0.0,260.0
clay_pottery_making,0.7142857142857143,0.019230769230769232,0.03745318352059925,260.0
clean_and_jerk,0.0,0.0,0.0,260.0
cleaning_floor,0.07786259541984733,0.19615384615384615,0.11147540983606558,260.0
cleaning_gutters,0.0,0.0,0.0,260.0
cleaning_pool,0.12947658402203857,0.18076923076923077,0.1508828250401284,260.0
cleaning_shoes,0.09375,0.011538461538461539,0.020547945205479454,260.0
cleaning_toilet,0.16640986132511557,0.4153846153846154,0.2376237623762376,260.0
cleaning_windows,0.023316062176165803,0.03461538461538462,0.027863777089783284,260.0
climbing_a_rope,0.02531645569620253,0.015384615384615385,0.019138755980861247,260.0
climbing_ladder,0.07758620689655173,0.03461538461538462,0.047872340425531915,260.0
climbing_tree,0.0296269202633504,0.31153846153846154,0.05410821643286572,260.0
contact_juggling,0.04526748971193416,0.04230769230769231,0.0437375745526839,260.0
cooking_chicken,0.0,0.0,0.0,260.0
cooking_egg,0.11428571428571428,0.07692307692307693,0.09195402298850576,260.0
cooking_on_campfire,0.1746031746031746,0.21153846153846154,0.191304347826087,260.0
cooking_sausages,0.14285714285714285,0.0038461538461538464,0.007490636704119851,260.0
counting_money,0.0,0.0,0.0,260.0
country_line_dancing,0.0028089887640449437,0.0038461538461538464,0.0032467532467532465,260.0
cracking_neck,0.05405405405405406,0.007692307692307693,0.013468013468013467,260.0
crawling_baby,0.037162162162162164,0.08461538461538462,0.05164319248826291,260.0
crossing_river,0.44680851063829785,0.16153846153846155,0.23728813559322037,260.0
crying,0.0,0.0,0.0,260.0
curling_hair,0.3076923076923077,0.015384615384615385,0.029304029304029307,260.0
cutting_nails,0.0,0.0,0.0,260.0
cutting_pineapple,0.9615384615384616,0.09615384615384616,0.17482517482517484,260.0
cutting_watermelon,0.75,0.10384615384615385,0.18243243243243243,260.0
dancing_ballet,0.15736040609137056,0.11923076923076924,0.13566739606126915,260.0
dancing_charleston,0.0650887573964497,0.08461538461538462,0.07357859531772576,260.0
dancing_gangnam_style,0.020833333333333332,0.08076923076923077,0.033123028391167195,260.0
dancing_macarena,0.07692307692307693,0.011538461538461539,0.020066889632107024,260.0
deadlifting,0.0,0.0,0.0,260.0
decorating_the_christmas_tree,0.0,0.0,0.0,260.0
digging,0.29927007299270075,0.1576923076923077,0.20654911838790932,260.0
dining,0.21212121212121213,0.1076923076923077,0.14285714285714288,260.0
disc_golfing,0.047872340425531915,0.06923076923076923,0.05660377358490566,260.0
diving_cliff,0.3950617283950617,0.12307692307692308,0.187683284457478,260.0
dodgeball,0.0,0.0,0.0,260.0
doing_aerobics,0.0,0.0,0.0,260.0
doing_laundry,0.19788918205804748,0.28846153846153844,0.23474178403755866,260.0
doing_nails,0.0,0.0,0.0,260.0
drawing,0.08244274809160305,0.2076923076923077,0.11803278688524592,260.0
dribbling_basketball,0.1392757660167131,0.19230769230769232,0.16155088852988692,260.0
drinking,0.041666666666666664,0.015384615384615385,0.02247191011235955,260.0
drinking_beer,0.23333333333333334,0.05384615384615385,0.08750000000000002,260.0
drinking_shots,0.2222222222222222,0.023076923076923078,0.041811846689895474,260.0
driving_car,0.27522935779816515,0.34615384615384615,0.30664395229982966,260.0
driving_tractor,0.8846153846153846,0.17692307692307693,0.2948717948717949,260.0
drop_kicking,0.0,0.0,0.0,260.0
drumming_fingers,0.0,0.0,0.0,260.0
dunking_basketball,0.26666666666666666,0.015384615384615385,0.02909090909090909,260.0
dying_hair,0.0,0.0,0.0,260.0
eating_burger,0.5714285714285714,0.015384615384615385,0.029962546816479405,260.0
eating_cake,0.0,0.0,0.0,260.0
eating_carrots,0.0,0.0,0.0,260.0
eating_chips,0.125,0.0038461538461538464,0.007462686567164181,260.0
eating_doughnuts,0.0,0.0,0.0,260.0
eating_hotdog,0.0,0.0,0.0,260.0
eating_ice_cream,0.05517241379310345,0.03076923076923077,0.03950617283950617,260.0
eating_spaghetti,0.8,0.015384615384615385,0.030188679245283023,260.0
eating_watermelon,0.1568627450980392,0.03076923076923077,0.05144694533762058,260.0
egg_hunting,0.0,0.0,0.0,260.0
exercising_arm,0.0,0.0,0.0,260.0
exercising_with_an_exercise_ball,0.025591314462970142,0.25384615384615383,0.046495244804508624,260.0
extinguishing_fire,0.15476190476190477,0.05,0.07558139534883722,260.0
faceplanting,0.0,0.0,0.0,260.0
feeding_birds,0.13333333333333333,0.007692307692307693,0.014545454545454545,260.0
feeding_fish,0.5454545454545454,0.023076923076923078,0.04428044280442804,260.0
feeding_goats,0.38636363636363635,0.06538461538461539,0.1118421052631579,260.0
filling_eyebrows,0.41025641025641024,0.06153846153846154,0.10702341137123746,260.0
finger_snapping,0.023668639053254437,0.015384615384615385,0.01864801864801865,260.0
fixing_hair,0.0,0.0,0.0,260.0
flipping_pancake,0.08250825082508251,0.09615384615384616,0.08880994671403199,260.0
flying_kite,0.38,0.07307692307692308,0.12258064516129033,260.0
folding_clothes,0.14492753623188406,0.038461538461538464,0.060790273556231005,260.0
folding_napkins,0.017699115044247787,0.007692307692307693,0.010723860589812333,260.0
folding_paper,0.022764227642276424,0.16153846153846155,0.03990498812351544,260.0
front_raises,0.0,0.0,0.0,260.0
frying_vegetables,0.06201550387596899,0.03076923076923077,0.04113110539845758,260.0
garbage_collecting,0.29411764705882354,0.07692307692307693,0.12195121951219513,260.0
gargling,0.0,0.0,0.0,260.0
getting_a_haircut,0.12244897959183673,0.13846153846153847,0.12996389891696752,260.0
getting_a_tattoo,0.20408163265306123,0.038461538461538464,0.06472491909385114,260.0
giving_or_receiving_award,0.3157894736842105,0.046153846153846156,0.08053691275167786,260.0
golf_chipping,0.02631578947368421,0.0038461538461538464,0.006711409395973154,260.0
golf_driving,0.04669260700389105,0.046153846153846156,0.04642166344294004,260.0
golf_putting,0.1758130081300813,0.6653846153846154,0.27813504823151125,260.0
grinding_meat,0.7446808510638298,0.1346153846153846,0.22801302931596093,260.0
grooming_dog,0.14935988620199148,0.40384615384615385,0.2180685358255452,260.0
grooming_horse,0.3088235294117647,0.08076923076923077,0.12804878048780488,260.0
gymnastics_tumbling,0.05980861244019139,0.09615384615384616,0.0737463126843658,260.0
hammer_throw,0.0,0.0,0.0,260.0
headbanging,0.05,0.0038461538461538464,0.0071428571428571435,260.0
headbutting,0.025,0.0038461538461538464,0.006666666666666667,260.0
high_jump,0.3269230769230769,0.06538461538461539,0.10897435897435898,260.0
high_kick,0.05263157894736842,0.0038461538461538464,0.007168458781362007,260.0
hitting_baseball,0.390625,0.09615384615384616,0.154320987654321,260.0
hockey_stop,0.24324324324324326,0.03461538461538462,0.06060606060606061,260.0
holding_snake,0.4,0.023076923076923078,0.04363636363636363,260.0
hopscotch,0.0,0.0,0.0,260.0
hoverboarding,0.011111111111111112,0.0038461538461538464,0.005714285714285715,260.0
hugging,0.045454545454545456,0.011538461538461539,0.01840490797546012,260.0
hula_hooping,0.09432048681541583,0.3576923076923077,0.1492776886035313,260.0
hurdling,0.0,0.0,0.0,260.0
hurling_sport,1.0,0.057692307692307696,0.1090909090909091,260.0
ice_climbing,0.15254237288135594,0.06923076923076923,0.09523809523809525,260.0
ice_fishing,0.3103448275862069,0.06923076923076923,0.11320754716981131,260.0
ice_skating,0.13562091503267973,0.3192307692307692,0.19036697247706422,260.0
ironing,0.2619047619047619,0.12692307692307692,0.17098445595854922,260.0
javelin_throw,0.3111111111111111,0.05384615384615385,0.09180327868852459,260.0
jetskiing,0.0,0.0,0.0,260.0
jogging,0.05084745762711865,0.023076923076923078,0.03174603174603175,260.0
juggling_balls,0.016,0.007692307692307693,0.010389610389610391,260.0
juggling_fire,0.04844061048440611,0.28076923076923077,0.08262591963780419,260.0
juggling_soccer_ball,0.07246376811594203,0.019230769230769232,0.030395136778115502,260.0
jumping_into_pool,0.14537444933920704,0.25384615384615383,0.18487394957983191,260.0
jumpstyle_dancing,0.0,0.0,0.0,260.0
kicking_field_goal,0.06661619984859955,0.3384615384615385,0.11132194813409235,260.0
kicking_soccer_ball,0.13291139240506328,0.08076923076923077,0.10047846889952154,260.0
kissing,0.0,0.0,0.0,260.0
kitesurfing,0.07236842105263158,0.08461538461538462,0.07801418439716312,260.0
knitting,0.4,0.24615384615384617,0.3047619047619048,260.0
krumping,0.0,0.0,0.0,260.0
laughing,0.0,0.0,0.0,260.0
laying_bricks,0.6896551724137931,0.07692307692307693,0.13840830449826994,260.0
long_jump,0.09523809523809523,0.007692307692307693,0.014234875444839859,260.0
lunge,0.0,0.0,0.0,260.0
making_a_cake,0.01639344262295082,0.0038461538461538464,0.006230529595015577,260.0
making_a_sandwich,0.6666666666666666,0.007692307692307693,0.015209125475285173,260.0
making_bed,0.20569620253164558,0.25,0.22569444444444448,260.0
making_jewelry,0.32989690721649484,0.24615384615384617,0.28193832599118945,260.0
making_pizza,0.4864864864864865,0.06923076923076923,0.12121212121212122,260.0
making_snowman,0.047619047619047616,0.0038461538461538464,0.007117437722419929,260.0
making_sushi,0.23529411764705882,0.015384615384615385,0.02888086642599278,260.0
making_tea,0.6129032258064516,0.07307692307692308,0.13058419243986255,260.0
marching,0.6666666666666666,0.038461538461538464,0.07272727272727274,260.0
massaging_back,0.0,0.0,0.0,260.0
massaging_feet,0.128,0.06153846153846154,0.08311688311688313,260.0
massaging_legs,0.125,0.007692307692307693,0.014492753623188406,260.0
massaging_persons_head,0.05357142857142857,0.023076923076923078,0.03225806451612903,260.0
milking_cow,0.4852941176470588,0.12692307692307692,0.20121951219512194,260.0
mopping_floor,0.3,0.011538461538461539,0.022222222222222223,260.0
motorcycling,0.6842105263157895,0.1,0.17449664429530204,260.0
moving_furniture,0.09482758620689655,0.04230769230769231,0.05851063829787234,260.0
mowing_lawn,0.3162393162393162,0.2846153846153846,0.29959514170040485,260.0
news_anchoring,0.22340425531914893,0.16153846153846155,0.1875,260.0
opening_bottle,0.27692307692307694,0.06923076923076923,0.11076923076923079,260.0
opening_present,0.0,0.0,0.0,260.0
paragliding,0.0,0.0,0.0,260.0
parasailing,0.6521739130434783,0.28846153846153844,0.39999999999999997,260.0
parkour,0.009259259259259259,0.0038461538461538464,0.005434782608695652,260.0
passing_American_football_in_game,0.2706611570247934,0.5038461538461538,0.35215053763440857,260.0
passing_American_football_not_in_game,0.0,0.0,0.0,260.0
peeling_apples,0.05405405405405406,0.007692307692307693,0.013468013468013467,260.0
peeling_potatoes,0.5,0.011538461538461539,0.02255639097744361,260.0
petting_animal_not_cat,0.16666666666666666,0.05384615384615385,0.0813953488372093,260.0
petting_cat,0.6846846846846847,0.2923076923076923,0.4097035040431267,260.0
picking_fruit,0.8518518518518519,0.08846153846153847,0.16027874564459932,260.0
planting_trees,0.08527131782945736,0.12692307692307692,0.10200927357032459,260.0
plastering,0.29411764705882354,0.038461538461538464,0.06802721088435375,260.0
playing_accordion,0.8314606741573034,0.2846153846153846,0.42406876790830944,260.0
playing_badminton,0.20430107526881722,0.36538461538461536,0.2620689655172414,260.0
playing_bagpipes,0.5555555555555556,0.038461538461538464,0.07194244604316546,260.0
