,precision,recall,f1-score,support
abseiling,0.0,0.0,0.0,260.0
air_drumming,0.013793103448275862,0.007692307692307693,0.009876543209876543,260.0
answering_questions,0.06862745098039216,0.05384615384615385,0.0603448275862069,260.0
applauding,0.036613272311212815,0.06153846153846154,0.04591104734576758,260.0
applying_cream,0.0,0.0,0.0,260.0
archery,0.425,0.06538461538461539,0.11333333333333334,260.0
arm_wrestling,0.0034083162917518746,0.019230769230769232,0.005790387955993051,260.0
arranging_flowers,0.4738562091503268,0.5576923076923077,0.5123674911660778,260.0
assembling_computer,0.07975460122699386,0.05,0.06146572104018913,260.0
auctioning,0.0,0.0,0.0,260.0
baby_waking_up,0.2413793103448276,0.026923076923076925,0.04844290657439447,260.0
baking_cookies,0.21223021582733814,0.22692307692307692,0.2193308550185874,260.0
balloon_blowing,0.2727272727272727,0.011538461538461539,0.02214022140221402,260.0
bandaging,0.18181818181818182,0.007692307692307693,0.014760147601476016,260.0
barbequing,0.00423728813559322,0.0038461538461538464,0.004032258064516129,260.0
bartending,0.0216998191681736,0.09230769230769231,0.03513909224011714,260.0
beatboxing,0.0,0.0,0.0,260.0
bee_keeping,0.29411764705882354,0.019230769230769232,0.03610108303249098,260.0
belly_dancing,0.0,0.0,0.0,260.0
bench_pressing,0.0,0.0,0.0,260.0
bending_back,0.0,0.0,0.0,260.0
bending_metal,0.052830188679245285,0.05384615384615385,0.05333333333333334,260.0
biking_through_snow,0.8695652173913043,0.07692307692307693,0.14134275618374556,260.0
blasting_sand,0.0,0.0,0.0,260.0
blowing_glass,0.10215053763440861,0.07307692307692308,0.08520179372197309,260.0
blowing_leaves,0.0,0.0,0.0,260.0
blowing_nose,0.0,0.0,0.0,260.0
blowing_out_candles,0.013456090651558074,0.14615384615384616,0.024643320363164724,260.0
bobsledding,0.68,0.06538461538461539,0.1192982456140351,260.0
bookbinding,0.019342359767891684,0.038461538461538464,0.025740025740025742,260.0
bouncing_on_trampoline,0.5573770491803278,0.13076923076923078,0.21183800623052962,260.0
bowling,0.4412296564195298,0.9384615384615385,0.6002460024600246,260.0
braiding_hair,0.07220216606498195,0.07692307692307693,0.074487895716946,260.0
breading_or_breadcrumbing,0.03164556962025317,0.019230769230769232,0.023923444976076555,260.0
breakdancing,0.020833333333333332,0.0038461538461538464,0.006493506493506494,260.0
brush_painting,0.011853448275862068,0.04230769230769231,0.018518518518518514,260.0
brushing_hair,0.0,0.0,0.0,260.0
brushing_teeth,0.0028538812785388126,0.038461538461538464,0.005313496280552604,260.0
building_cabinet,0.026530612244897958,0.05,0.034666666666666665,260.0
building_shed,0.35064935064935066,0.31153846153846154,0.32993890020366595,260.0
bungee_jumping,0.16049382716049382,0.05,0.07624633431085046,260.0
busking,0.0,0.0,0.0,260.0
canoeing_or_kayaking,0.4423076923076923,0.17692307692307693,0.25274725274725274,260.0
capoeira,0.0,0.0,0.0,260.0
carrying_baby,0.020895522388059702,0.026923076923076925,0.023529411764705885,260.0
cartwheeling,0.005291005291005291,0.0038461538461538464,0.0044543429844098,260.0
carving_pumpkin,0.4375,0.026923076923076925,0.05072463768115942,260.0
catching_fish,0.12162162162162163,0.06923076923076923,0.08823529411764706,260.0
catching_or_throwing_baseball,0.15757575757575756,0.2,0.176271186440678,260.0
catching_or_throwing_frisbee,0.0,0.0,0.0,260.0
catching_or_throwing_softball,0.1069182389937107,0.06538461538461539,0.08114558472553698,260.0
celebrating,0.0034620991253644317,0.07307692307692308,0.006610995128740431,260.0
changing_oil,0.15384615384615385,0.007692307692307693,0.014652014652014654,260.0
changing_wheel,0.1206896551724138,0.026923076923076925,0.04402515723270441,260.0
checking_tires,0.2014519056261343,0.4269230769230769,0.27373612823674476,260.0
cheerleading,0.1282051282051282,0.019230769230769232,0.03344481605351171,260.0
chopping_wood,0.5,0.007692307692307693,0.015151515151515154,260.0
clapping,0.0,0.0,0.0,260.0
clay_pottery_making,0.43478260869565216,0.038461538461538464,0.07067137809187278,260.0
clean_and_jerk,0.0,0.0,0.0,260.0
cleaning_floor,0.01951451689671585,0.1576923076923077,0.03473104616687844,260.0
cleaning_gutters,0.011904761904761904,0.0038461538461538464,0.005813953488372093,260.0
cleaning_pool,0.10141509433962265,0.49615384615384617,0.16840731070496084,260.0
cleaning_shoes,0.18446601941747573,0.14615384615384616,0.1630901287553648,260.0
cleaning_toilet,0.4535809018567639,0.6576923076923077,0.5368916797488226,260.0
cleaning_windows,0.034482758620689655,0.011538461538461539,0.017291066282420747,260.0
climbing_a_rope,0.039473684210526314,0.03461538461538462,0.036885245901639344,260.0
climbing_ladder,0.04113924050632911,0.05,0.04513888888888889,260.0
climbing_tree,0.23140495867768596,0.1076923076923077,0.14698162729658792,260.0
contact_juggling,0.0,0.0,0.0,260.0
cooking_chicken,0.0,0.0,0.0,260.0
cooking_egg,0.32432432432432434,0.046153846153846156,0.08080808080808081,260.0
cooking_on_campfire,0.10199556541019955,0.17692307692307693,0.12939521800281295,260.0
cooking_sausages,0.11538461538461539,0.011538461538461539,0.020979020979020983,260.0
counting_money,0.0,0.0,0.0,260.0
country_line_dancing,0.0,0.0,0.0,260.0
cracking_neck,0.0,0.0,0.0,260.0
crawling_baby,0.026467203682393557,0.08846153846153847,0.04074402125775022,260.0
crossing_river,0.3151750972762646,0.31153846153846154,0.31334622823984526,260.0
crying,0.0,0.0,0.0,260.0
curling_hair,0.0,0.0,0.0,260.0
cutting_nails,0.15384615384615385,0.007692307692307693,0.014652014652014654,260.0
cutting_pineapple,0.9,0.03461538461538462,0.06666666666666667,260.0
cutting_watermelon,1.0,0.023076923076923078,0.04511278195488722,260.0
dancing_ballet,0.10236220472440945,0.15,0.12168486739469578,260.0
dancing_charleston,0.0,0.0,0.0,260.0
dancing_gangnam_style,0.0,0.0,0.0,260.0
dancing_macarena,0.0,0.0,0.0,260.0
deadlifting,0.0,0.0,0.0,260.0
decorating_the_christmas_tree,0.0,0.0,0.0,260.0
digging,0.1690929451287794,0.5807692307692308,0.2619254119687771,260.0
dining,0.15980230642504117,0.3730769230769231,0.223760092272203,260.0
disc_golfing,0.07052896725440806,0.1076923076923077,0.08523592085235922,260.0
diving_cliff,0.38311688311688313,0.22692307692307692,0.28502415458937197,260.0
dodgeball,0.0,0.0,0.0,260.0
doing_aerobics,0.0,0.0,0.0,260.0
doing_laundry,0.5062240663900415,0.46923076923076923,0.4870259481037924,260.0
doing_nails,0.0,0.0,0.0,260.0
drawing,0.10387596899224806,0.5153846153846153,0.1729032258064516,260.0
dribbling_basketball,0.0,0.0,0.0,260.0
drinking,0.07692307692307693,0.019230769230769232,0.03076923076923077,260.0
drinking_beer,0.065625,0.08076923076923077,0.07241379310344828,260.0
drinking_shots,0.0,0.0,0.0,260.0
driving_car,0.16685979142526072,0.5538461538461539,0.25645592163846836,260.0
driving_tractor,0.8,0.1076923076923077,0.18983050847457628,260.0
drop_kicking,0.0,0.0,0.0,260.0
drumming_fingers,0.0,0.0,0.0,260.0
dunking_basketball,0.25862068965517243,0.11538461538461539,0.1595744680851064,260.0
dying_hair,0.0,0.0,0.0,260.0
eating_burger,0.5,0.0038461538461538464,0.0076335877862595426,260.0
eating_cake,0.0,0.0,0.0,260.0
eating_carrots,0.0,0.0,0.0,260.0
eating_chips,0.0,0.0,0.0,260.0
eating_doughnuts,0.0,0.0,0.0,260.0
eating_hotdog,0.0,0.0,0.0,260.0
eating_ice_cream,0.051821862348178135,0.24615384615384617,0.08561872909698996,260.0
eating_spaghetti,1.0,0.007692307692307693,0.015267175572519085,260.0
eating_watermelon,0.16666666666666666,0.015384615384615385,0.028169014084507043,260.0
egg_hunting,0.0,0.0,0.0,260.0
exercising_arm,0.0,0.0,0.0,260.0
exercising_with_an_exercise_ball,0.21568627450980393,0.08461538461538462,0.12154696132596685,260.0
extinguishing_fire,0.1399548532731377,0.23846153846153847,0.1763869132290185,260.0
faceplanting,0.0,0.0,0.0,260.0
feeding_birds,0.42857142857142855,0.011538461538461539,0.02247191011235955,260.0
feeding_fish,0.182648401826484,0.15384615384615385,0.16701461377870563,260.0
feeding_goats,0.09090909090909091,0.019230769230769232,0.03174603174603175,260.0
filling_eyebrows,0.0,0.0,0.0,260.0
finger_snapping,0.2222222222222222,0.007692307692307693,0.014869888475836432,260.0
fixing_hair,0.038461538461538464,0.0038461538461538464,0.006993006993006994,260.0
flipping_pancake,0.05286343612334802,0.046153846153846156,0.04928131416837783,260.0
flying_kite,0.19101123595505617,0.06538461538461539,0.09742120343839542,260.0
folding_clothes,0.09059233449477352,0.1,0.09506398537477148,260.0
folding_napkins,0.0,0.0,0.0,260.0
folding_paper,0.028169014084507043,0.015384615384615385,0.01990049751243781,260.0
front_raises,0.0,0.0,0.0,260.0
frying_vegetables,0.14285714285714285,0.011538461538461539,0.021352313167259787,260.0
garbage_collecting,0.1534526854219949,0.23076923076923078,0.18433179723502302,260.0
gargling,0.0,0.0,0.0,260.0
getting_a_haircut,0.045590115040477205,0.4115384615384615,0.0820866896816264,260.0
getting_a_tattoo,0.2727272727272727,0.011538461538461539,0.02214022140221402,260.0
giving_or_receiving_award,0.0,0.0,0.0,260.0
golf_chipping,0.0,0.0,0.0,260.0
golf_driving,0.017857142857142856,0.0038461538461538464,0.006329113924050633,260.0
golf_putting,0.1372804163955758,0.8115384615384615,0.23483583750695605,260.0
grinding_meat,0.4463276836158192,0.3038461538461538,0.3615560640732265,260.0
grooming_dog,0.10385064177362893,0.6846153846153846,0.18034447821681865,260.0
grooming_horse,0.29508196721311475,0.06923076923076923,0.11214953271028039,260.0
gymnastics_tumbling,0.018518518518518517,0.0038461538461538464,0.006369426751592356,260.0
hammer_throw,0.0,0.0,0.0,260.0
headbanging,0.017142857142857144,0.046153846153846156,0.025,260.0
headbutting,0.0,0.0,0.0,260.0
high_jump,0.02,0.0038461538461538464,0.0064516129032258064,260.0
high_kick,0.022727272727272728,0.007692307692307693,0.01149425287356322,260.0
hitting_baseball,0.2537878787878788,0.25769230769230766,0.25572519083969464,260.0
hockey_stop,0.0,0.0,0.0,260.0
holding_snake,0.2857142857142857,0.015384615384615385,0.029197080291970805,260.0
hopscotch,0.0,0.0,0.0,260.0
hoverboarding,0.0,0.0,0.0,260.0
hugging,0.0,0.0,0.0,260.0
hula_hooping,0.7192982456140351,0.1576923076923077,0.2586750788643533,260.0
hurdling,0.0,0.0,0.0,260.0
hurling_sport,0.0,0.0,0.0,260.0
ice_climbing,0.3576158940397351,0.2076923076923077,0.26277372262773724,260.0
ice_fishing,0.11992619926199262,0.25,0.16209476309226933,260.0
ice_skating,0.10501419110690634,0.8538461538461538,0.18702611625947768,260.0
ironing,0.5161290322580645,0.06153846153846154,0.10996563573883161,260.0
javelin_throw,0.038461538461538464,0.0038461538461538464,0.006993006993006994,260.0
jetskiing,0.0,0.0,0.0,260.0
