,precision,recall,f1-score,support
abseiling,0.0,0.0,0.0,260.0
air_drumming,0.006896551724137931,0.007692307692307693,0.007272727272727273,260.0
answering_questions,0.0469208211143695,0.06153846153846154,0.05324459234608985,260.0
applauding,0.0,0.0,0.0,260.0
applying_cream,0.0022675736961451248,0.0038461538461538464,0.002853067047075607,260.0
archery,0.0,0.0,0.0,260.0
arm_wrestling,0.006132461161079314,0.057692307692307696,0.011086474501108648,260.0
arranging_flowers,0.3981264637002342,0.6538461538461539,0.4949053857350801,260.0
assembling_computer,0.0502092050209205,0.046153846153846156,0.048096192384769546,260.0
auctioning,0.0,0.0,0.0,260.0
baby_waking_up,0.0,0.0,0.0,260.0
baking_cookies,0.1048158640226629,0.1423076923076923,0.12071778140293637,260.0
balloon_blowing,0.0,0.0,0.0,260.0
bandaging,0.0,0.0,0.0,260.0
barbequing,0.0024691358024691358,0.0038461538461538464,0.0030075187969924814,260.0
bartending,0.027607361963190184,0.03461538461538462,0.030716723549488054,260.0
beatboxing,0.0,0.0,0.0,260.0
bee_keeping,0.0,0.0,0.0,260.0
belly_dancing,0.0,0.0,0.0,260.0
bench_pressing,0.0,0.0,0.0,260.0
bending_back,0.0,0.0,0.0,260.0
bending_metal,0.038135593220338986,0.06923076923076923,0.04918032786885246,260.0
biking_through_snow,0.0,0.0,0.0,260.0
blasting_sand,0.0,0.0,0.0,260.0
blowing_glass,0.0,0.0,0.0,260.0
blowing_leaves,0.0,0.0,0.0,260.0
blowing_nose,0.0,0.0,0.0,260.0
blowing_out_candles,0.0,0.0,0.0,260.0
bobsledding,0.0,0.0,0.0,260.0
bookbinding,0.01425438596491228,0.05,0.02218430034129693,260.0
bouncing_on_trampoline,0.0,0.0,0.0,260.0
bowling,0.4069767441860465,0.9423076923076923,0.568445475638051,260.0
braiding_hair,0.043478260869565216,0.0038461538461538464,0.007067137809187279,260.0
breading_or_breadcrumbing,0.02512562814070352,0.019230769230769232,0.021786492374727674,260.0
breakdancing,0.028985507246376812,0.007692307692307693,0.012158054711246199,260.0
brush_painting,0.008849557522123894,0.0038461538461538464,0.005361930294906166,260.0
brushing_hair,0.0,0.0,0.0,260.0
brushing_teeth,0.0,0.0,0.0,260.0
building_cabinet,0.01293103448275862,0.03461538461538462,0.01882845188284519,260.0
building_shed,0.2376237623762376,0.36923076923076925,0.2891566265060241,260.0
bungee_jumping,0.046511627906976744,0.023076923076923078,0.03084832904884319,260.0
busking,0.0,0.0,0.0,260.0
canoeing_or_kayaking,0.2916666666666667,0.1076923076923077,0.15730337078651688,260.0
capoeira,0.0,0.0,0.0,260.0
carrying_baby,0.06896551724137931,0.007692307692307693,0.013840830449826992,260.0
cartwheeling,0.0,0.0,0.0,260.0
carving_pumpkin,0.0,0.0,0.0,260.0
catching_fish,0.08426966292134831,0.057692307692307696,0.0684931506849315,260.0
catching_or_throwing_baseball,0.14587737843551796,0.2653846153846154,0.18826739427012276,260.0
catching_or_throwing_frisbee,0.0,0.0,0.0,260.0
catching_or_throwing_softball,0.0797872340425532,0.057692307692307696,0.06696428571428573,260.0
celebrating,0.008547008547008548,0.0038461538461538464,0.005305039787798409,260.0
changing_oil,0.0,0.0,0.0,260.0
changing_wheel,0.0,0.0,0.0,260.0
checking_tires,0.12975098296199214,0.38076923076923075,0.1935483870967742,260.0
cheerleading,0.0962962962962963,0.05,0.06582278481012659,260.0
chopping_wood,0.2857142857142857,0.007692307692307693,0.014981273408239702,260.0
clapping,0.0,0.0,0.0,260.0
clay_pottery_making,0.05555555555555555,0.007692307692307693,0.013513513513513514,260.0
clean_and_jerk,0.0,0.0,0.0,260.0
cleaning_floor,0.010700389105058366,0.12692307692307692,0.01973684210526316,260.0
cleaning_gutters,0.017241379310344827,0.011538461538461539,0.013824884792626727,260.0
cleaning_pool,0.09448818897637795,0.5076923076923077,0.15932407966203982,260.0
cleaning_shoes,0.135678391959799,0.2076923076923077,0.16413373860182373,260.0
cleaning_toilet,0.4312169312169312,0.6269230769230769,0.5109717868338558,260.0
cleaning_windows,0.38461538461538464,0.019230769230769232,0.03663003663003663,260.0
climbing_a_rope,0.03558718861209965,0.038461538461538464,0.036968576709796676,260.0
climbing_ladder,0.026690391459074734,0.057692307692307696,0.03649635036496351,260.0
climbing_tree,0.2138364779874214,0.13076923076923078,0.16229116945107397,260.0
contact_juggling,0.0,0.0,0.0,260.0
cooking_chicken,0.0,0.0,0.0,260.0
cooking_egg,0.0,0.0,0.0,260.0
cooking_on_campfire,0.09846153846153846,0.12307692307692308,0.1094017094017094,260.0
cooking_sausages,0.0625,0.0038461538461538464,0.007246376811594203,260.0
counting_money,0.0625,0.007692307692307693,0.013698630136986302,260.0
country_line_dancing,0.0,0.0,0.0,260.0
cracking_neck,0.0,0.0,0.0,260.0
crawling_baby,0.022388059701492536,0.09230769230769231,0.036036036036036036,260.0
crossing_river,0.2944606413994169,0.38846153846153847,0.33499170812603646,260.0
crying,0.005952380952380952,0.0038461538461538464,0.004672897196261682,260.0
curling_hair,0.0,0.0,0.0,260.0
cutting_nails,0.0,0.0,0.0,260.0
cutting_pineapple,0.0,0.0,0.0,260.0
cutting_watermelon,0.0,0.0,0.0,260.0
dancing_ballet,0.02608695652173913,0.023076923076923078,0.024489795918367346,260.0
dancing_charleston,0.0,0.0,0.0,260.0
dancing_gangnam_style,0.0,0.0,0.0,260.0
dancing_macarena,0.0,0.0,0.0,260.0
deadlifting,0.0,0.0,0.0,260.0
decorating_the_christmas_tree,0.0,0.0,0.0,260.0
digging,0.14261460101867574,0.6461538461538462,0.23365785813630044,260.0
dining,0.13402061855670103,0.4,0.2007722007722008,260.0
disc_golfing,0.05909090909090909,0.1,0.07428571428571429,260.0
diving_cliff,0.32195121951219513,0.25384615384615383,0.2838709677419355,260.0
dodgeball,0.0,0.0,0.0,260.0
doing_aerobics,0.0,0.0,0.0,260.0
doing_laundry,0.39925373134328357,0.4115384615384615,0.40530303030303033,260.0
doing_nails,0.0,0.0,0.0,260.0
drawing,0.0605607476635514,0.6230769230769231,0.11039182282793868,260.0
