,precision,recall,f1-score,support
ApplyEyeMakeup,0.44155844155844154,0.7034482758620689,0.5425531914893617,145.0
ApplyLipstick,0.75,0.02631578947368421,0.05084745762711864,114.0
Archery,0.551948051948052,0.5862068965517241,0.568561872909699,145.0
BabyCrawling,0.7058823529411765,0.2727272727272727,0.39344262295081966,132.0
BalanceBeam,0.24669603524229075,0.5185185185185185,0.3343283582089552,108.0
BandMarching,0.6428571428571429,0.5225806451612903,0.5765124555160143,155.0
BaseballPitch,0.409375,0.8733333333333333,0.5574468085106382,150.0
Basketball,0.15206185567010308,0.44029850746268656,0.2260536398467433,134.0
BasketballDunk,0.0,0.0,0.0,131.0
BenchPress,0.0,0.0,0.0,160.0
Biking,0.9069767441860465,0.8731343283582089,0.8897338403041826,134.0
Billiards,0.13178294573643412,0.11333333333333333,0.12186379928315412,150.0
BlowDryHair,0.07142857142857142,0.007633587786259542,0.01379310344827586,131.0
BlowingCandles,0.611764705882353,0.47706422018348627,0.5360824742268041,109.0
BodyWeightSquats,0.10909090909090909,0.42857142857142855,0.17391304347826086,112.0
Bowling,0.8128342245989305,0.9806451612903225,0.888888888888889,155.0
BoxingPunchingBag,0.1419753086419753,0.1411042944785276,0.14153846153846153,163.0
BoxingSpeedBag,0.015544041450777202,0.022388059701492536,0.01834862385321101,134.0
BreastStroke,0.0,0.0,0.0,101.0
BrushingTeeth,0.31851851851851853,0.3282442748091603,0.32330827067669177,131.0
CleanAndJerk,0.0,0.0,0.0,112.0
CliffDiving,0.6578947368421053,0.36231884057971014,0.4672897196261682,138.0
CricketBowling,0.3118811881188119,0.45323741007194246,0.36950146627565983,139.0
CricketShot,0.0,0.0,0.0,167.0
CuttingInKitchen,0.049019607843137254,0.045454545454545456,0.04716981132075471,110.0
Diving,0.17763157894736842,0.54,0.26732673267326734,150.0
Drumming,0.35294117647058826,0.782608695652174,0.48648648648648657,161.0
Fencing,0.6198347107438017,0.6756756756756757,0.646551724137931,111.0
FieldHockeyPenalty,0.18421052631578946,0.16666666666666666,0.175,126.0
FloorGymnastics,0.07913669064748201,0.176,0.10918114143920594,125.0
FrisbeeCatch,0.0,0.0,0.0,126.0
FrontCrawl,0.0,0.0,0.0,137.0
GolfSwing,0.2904761904761905,0.8776978417266187,0.4364937388193203,139.0
Haircut,0.2184873949579832,0.4,0.28260869565217395,130.0
HammerThrow,0.0,0.0,0.0,150.0
Hammering,0.6666666666666666,0.014285714285714285,0.027972027972027972,140.0
HandstandPushups,0.17857142857142858,0.0390625,0.06410256410256411,128.0
HandstandWalking,0.08823529411764706,0.05405405405405406,0.0670391061452514,111.0
HeadMassage,0.12871287128712872,0.08843537414965986,0.10483870967741936,147.0
HighJump,0.3155080213903743,0.4796747967479675,0.38064516129032255,123.0
HorseRace,0.7013888888888888,0.8145161290322581,0.753731343283582,124.0
HorseRiding,0.8010204081632653,0.9573170731707317,0.8722222222222221,164.0
HulaHoop,0.609375,0.312,0.4126984126984127,125.0
IceDancing,0.38403990024937656,0.9746835443037974,0.5509838998211091,158.0
JavelinThrow,0.42857142857142855,0.07692307692307693,0.13043478260869565,117.0
JugglingBalls,0.29411764705882354,0.04132231404958678,0.07246376811594203,121.0
JumpRope,0.0,0.0,0.0,144.0
JumpingJack,0.0,0.0,0.0,123.0
Kayaking,0.39603960396039606,0.28368794326241137,0.3305785123966942,141.0
Knitting,0.7156862745098039,0.5934959349593496,0.648888888888889,123.0
LongJump,0.05263157894736842,0.007633587786259542,0.013333333333333334,131.0
Lunges,0.0,0.0,0.0,127.0
MilitaryParade,0.275,0.44,0.3384615384615385,125.0
Mixing,0.819672131147541,0.36764705882352944,0.5076142131979696,136.0
MoppingFloor,0.11855670103092783,0.20909090909090908,0.1513157894736842,110.0
Nunchucks,0.1111111111111111,0.015151515151515152,0.02666666666666667,132.0
ParallelBars,0.2661064425770308,0.8333333333333334,0.4033970276008493,114.0
PizzaTossing,0.0,0.0,0.0,113.0
PlayingCello,0.7222222222222222,0.7926829268292683,0.7558139534883721,164.0
PlayingDaf,0.0,0.0,0.0,151.0
PlayingDhol,0.0,0.0,0.0,164.0
PlayingFlute,0.6149732620320856,0.7419354838709677,0.672514619883041,155.0
PlayingGuitar,0.7243589743589743,0.70625,0.7151898734177217,160.0
PlayingPiano,0.47619047619047616,0.9523809523809523,0.634920634920635,105.0
PlayingSitar,0.8176470588235294,0.8853503184713376,0.8501529051987767,157.0
PlayingTabla,0.7407407407407407,0.36036036036036034,0.4848484848484848,111.0
PlayingViolin,0.29130434782608694,0.67,0.406060606060606,100.0
PoleVault,0.54,0.18120805369127516,0.271356783919598,149.0
PommelHorse,0.8240740740740741,0.7235772357723578,0.7705627705627707,123.0
PullUps,0.0,0.0,0.0,100.0
Punch,0.0,0.0,0.0,160.0
PushUps,0.0,0.0,0.0,102.0
Rafting,0.6666666666666666,0.018018018018018018,0.03508771929824561,111.0
RockClimbingIndoor,0.5,0.09027777777777778,0.15294117647058822,144.0
RopeClimbing,0.12173913043478261,0.11764705882352941,0.11965811965811966,119.0
Rowing,0.3473389355742297,0.9051094890510949,0.5020242914979758,137.0
SalsaSpin,0.0,0.0,0.0,133.0
ShavingBeard,0.5725190839694656,0.4658385093167702,0.5136986301369864,161.0
Shotput,0.0,0.0,0.0,144.0
SkateBoarding,0.19883040935672514,0.85,0.3222748815165877,120.0
Skiing,0.4357976653696498,0.8296296296296296,0.5714285714285714,135.0
Skijet,0.0,0.0,0.0,100.0
SkyDiving,0.0,0.0,0.0,110.0
SoccerJuggling,0.07142857142857142,0.006802721088435374,0.012422360248447206,147.0
SoccerPenalty,0.29523809523809524,0.45255474452554745,0.35734870317002887,137.0
StillRings,0.0,0.0,0.0,112.0
SumoWrestling,0.4406779661016949,0.896551724137931,0.5909090909090909,116.0
Surfing,0.7633587786259542,0.7936507936507936,0.7782101167315175,126.0
Swing,0.6185567010309279,0.4580152671755725,0.5263157894736843,131.0
TableTennisShot,0.3123209169054441,0.7785714285714286,0.4458077709611452,140.0
TaiChi,0.0,0.0,0.0,100.0
TennisSwing,0.19246298788694483,0.8614457831325302,0.3146314631463147,166.0
ThrowDiscus,0.0,0.0,0.0,130.0
TrampolineJumping,0.6015625,0.6470588235294118,0.6234817813765183,119.0
Typing,0.7466666666666667,0.8235294117647058,0.7832167832167831,136.0
UnevenBars,0.0,0.0,0.0,104.0
VolleyballSpiking,1.0,0.15517241379310345,0.26865671641791045,116.0
WalkingWithDog,0.625,0.36585365853658536,0.4615384615384615,123.0
WallPushups,0.10810810810810811,0.06153846153846154,0.0784313725490196,130.0
WritingOnBoard,0.5588235294117647,0.25,0.34545454545454546,152.0
YoYo,0.0,0.0,0.0,128.0
accuracy,0.3493993993993994,0.3493993993993994,0.3493993993993994,0.3493993993993994
macro avg,0.3192220585980997,0.3389953812672488,0.28581359776877197,13320.0
weighted avg,0.3251041358603426,0.3493993993993994,0.29461361521549445,13320.0
