,precision,recall,f1-score,support
ApplyEyeMakeup,0.5655172413793104,0.5655172413793104,0.5655172413793104,145.0
ApplyLipstick,0.6666666666666666,0.15789473684210525,0.25531914893617025,114.0
Archery,0.5324675324675324,0.5655172413793104,0.5484949832775919,145.0
BabyCrawling,0.3333333333333333,0.030303030303030304,0.05555555555555555,132.0
BalanceBeam,0.20327868852459016,0.5740740740740741,0.3002421307506053,108.0
BandMarching,0.47668393782383417,0.5935483870967742,0.5287356321839081,155.0
BaseballPitch,0.36633663366336633,0.24666666666666667,0.2948207171314741,150.0
Basketball,0.233201581027668,0.44029850746268656,0.3049095607235142,134.0
BasketballDunk,0.5,0.32061068702290074,0.39069767441860465,131.0
BenchPress,0.023668639053254437,0.025,0.0243161094224924,160.0
Biking,0.875,0.835820895522388,0.8549618320610687,134.0
Billiards,0.25333333333333335,0.25333333333333335,0.25333333333333335,150.0
BlowDryHair,0.08333333333333333,0.007633587786259542,0.013986013986013986,131.0
BlowingCandles,0.75,0.4954128440366973,0.5966850828729281,109.0
BodyWeightSquats,0.09893048128342247,0.33035714285714285,0.15226337448559674,112.0
Bowling,0.6428571428571429,0.9870967741935484,0.7786259541984732,155.0
BoxingPunchingBag,0.19230769230769232,0.2147239263803681,0.2028985507246377,163.0
BoxingSpeedBag,0.07017543859649122,0.05970149253731343,0.06451612903225805,134.0
BreastStroke,0.0,0.0,0.0,101.0
BrushingTeeth,0.464,0.44274809160305345,0.45312500000000006,131.0
CleanAndJerk,0.0,0.0,0.0,112.0
CliffDiving,0.8809523809523809,0.26811594202898553,0.4111111111111111,138.0
CricketBowling,0.23734177215189872,0.539568345323741,0.32967032967032966,139.0
CricketShot,0.0,0.0,0.0,167.0
CuttingInKitchen,0.0,0.0,0.0,110.0
Diving,0.18067226890756302,0.5733333333333334,0.2747603833865815,150.0
Drumming,0.4214876033057851,0.6335403726708074,0.5062034739454094,161.0
Fencing,0.44654088050314467,0.6396396396396397,0.5259259259259259,111.0
FieldHockeyPenalty,0.2857142857142857,0.2222222222222222,0.25,126.0
FloorGymnastics,0.06716417910447761,0.216,0.10246679316888047,125.0
