,precision,recall,f1-score,support
ApplyEyeMakeup,0.45454545454545453,0.6896551724137931,0.547945205479452,145.0
ApplyLipstick,0.6,0.02631578947368421,0.050420168067226885,114.0
Archery,0.5454545454545454,0.5793103448275863,0.5618729096989966,145.0
BabyCrawling,0.7142857142857143,0.26515151515151514,0.3867403314917127,132.0
BalanceBeam,0.271356783919598,0.5,0.3517915309446254,108.0
BandMarching,0.65,0.5032258064516129,0.5672727272727273,155.0
BaseballPitch,0.44551282051282054,0.9266666666666666,0.6017316017316017,150.0
Basketball,0.20044543429844097,0.6716417910447762,0.30874785591766724,134.0
BasketballDunk,0.0,0.0,0.0,131.0
BenchPress,0.008403361344537815,0.00625,0.007168458781362008,160.0
Biking,0.8057553956834532,0.835820895522388,0.8205128205128205,134.0
Billiards,0.5136986301369864,1.0,0.6787330316742082,150.0
BlowDryHair,0.0,0.0,0.0,131.0
BlowingCandles,0.6363636363636364,0.44954128440366975,0.5268817204301075,109.0
BodyWeightSquats,0.13141025641025642,0.36607142857142855,0.19339622641509432,112.0
Bowling,0.8378378378378378,1.0,0.911764705882353,155.0
BoxingPunchingBag,0.2691029900332226,0.49693251533742333,0.34913793103448276,163.0
BoxingSpeedBag,0.04285714285714286,0.022388059701492536,0.029411764705882353,134.0
BreastStroke,0.0,0.0,0.0,101.0
BrushingTeeth,0.4827586206896552,0.32061068702290074,0.3853211009174312,131.0
CleanAndJerk,0.0,0.0,0.0,112.0
CliffDiving,0.7121212121212122,0.34057971014492755,0.4607843137254902,138.0
CricketBowling,0.3651685393258427,0.4676258992805755,0.41009463722397477,139.0
CricketShot,0.0,0.0,0.0,167.0
CuttingInKitchen,0.19047619047619047,0.2909090909090909,0.23021582733812948,110.0
Diving,0.2096317280453258,0.49333333333333335,0.29423459244532807,150.0
Drumming,0.34770114942528735,0.7515527950310559,0.47544204322200395,161.0
Fencing,0.5755395683453237,0.7207207207207207,0.6399999999999999,111.0
FieldHockeyPenalty,0.41919191919191917,0.6587301587301587,0.5123456790123456,126.0
FloorGymnastics,0.06666666666666667,0.224,0.10275229357798164,125.0
FrisbeeCatch,0.0,0.0,0.0,126.0
FrontCrawl,0.0,0.0,0.0,137.0
GolfSwing,0.27056277056277056,0.8992805755395683,0.4159733777038269,139.0
Haircut,0.3448275862068966,0.9230769230769231,0.5020920502092051,130.0
HammerThrow,0.0,0.0,0.0,150.0
Hammering,0.0,0.0,0.0,140.0
HandstandPushups,0.12121212121212122,0.03125,0.04968944099378882,128.0
HandstandWalking,0.1076923076923077,0.06306306306306306,0.07954545454545454,111.0
HeadMassage,0.0873015873015873,0.07482993197278912,0.08058608058608058,147.0
HighJump,0.3825503355704698,0.4634146341463415,0.4191176470588236,123.0
HorseRace,0.8053691275167785,0.967741935483871,0.8791208791208791,124.0
HorseRiding,0.7910447761194029,0.9695121951219512,0.8712328767123286,164.0
HulaHoop,0.6851851851851852,0.296,0.4134078212290503,125.0
IceDancing,0.35585585585585583,1.0,0.5249169435215947,158.0
JavelinThrow,0.5625,0.07692307692307693,0.13533834586466167,117.0
JugglingBalls,0.22580645161290322,0.05785123966942149,0.09210526315789475,121.0
JumpRope,0.18181818181818182,0.013888888888888888,0.025806451612903222,144.0
JumpingJack,0.0,0.0,0.0,123.0
Kayaking,0.5074626865671642,0.24113475177304963,0.3269230769230769,141.0
Knitting,0.8020833333333334,0.6260162601626016,0.7031963470319634,123.0
LongJump,0.0,0.0,0.0,131.0
Lunges,0.0,0.0,0.0,127.0
MilitaryParade,0.3157894736842105,0.432,0.36486486486486486,125.0
Mixing,0.71875,0.3382352941176471,0.45999999999999996,136.0
MoppingFloor,0.12686567164179105,0.15454545454545454,0.13934426229508196,110.0
Nunchucks,0.1111111111111111,0.015151515151515152,0.02666666666666667,132.0
ParallelBars,0.26900584795321636,0.8070175438596491,0.40350877192982454,114.0
PizzaTossing,0.4117647058823529,0.061946902654867256,0.1076923076923077,113.0
PlayingCello,0.5836909871244635,0.8292682926829268,0.6851385390428211,164.0
PlayingDaf,0.0,0.0,0.0,151.0
PlayingDhol,0.0,0.0,0.0,164.0
PlayingFlute,0.6368715083798883,0.7354838709677419,0.6826347305389221,155.0
PlayingGuitar,0.7160493827160493,0.725,0.7204968944099378,160.0
PlayingPiano,0.5376344086021505,0.9523809523809523,0.6872852233676976,105.0
PlayingSitar,0.852760736196319,0.8853503184713376,0.86875,157.0
PlayingTabla,0.4423076923076923,0.4144144144144144,0.42790697674418604,111.0
PlayingViolin,0.2569444444444444,0.37,0.3032786885245901,100.0
PoleVault,0.546875,0.2348993288590604,0.32863849765258213,149.0
PommelHorse,0.7787610619469026,0.7154471544715447,0.7457627118644069,123.0
PullUps,0.0,0.0,0.0,100.0
Punch,0.0,0.0,0.0,160.0
PushUps,0.0,0.0,0.0,102.0
Rafting,0.9545454545454546,0.9459459459459459,0.9502262443438914,111.0
RockClimbingIndoor,0.5333333333333333,0.1111111111111111,0.1839080459770115,144.0
RopeClimbing,0.11818181818181818,0.1092436974789916,0.11353711790393013,119.0
Rowing,0.3950617283950617,0.9343065693430657,0.5553145336225597,137.0
SalsaSpin,0.0,0.0,0.0,133.0
ShavingBeard,0.6495726495726496,0.4720496894409938,0.5467625899280576,161.0
Shotput,0.5172413793103449,0.10416666666666667,0.17341040462427748,144.0
SkateBoarding,0.23059360730593606,0.8416666666666667,0.36200716845878134,120.0
Skiing,0.6021505376344086,0.8296296296296296,0.6978193146417445,135.0
Skijet,0.0,0.0,0.0,100.0
SkyDiving,0.8686868686868687,0.7818181818181819,0.8229665071770336,110.0
SoccerJuggling,0.0,0.0,0.0,147.0
SoccerPenalty,0.5361702127659574,0.9197080291970803,0.6774193548387096,137.0
