,precision,recall,f1-score,support
ApplyEyeMakeup,0.39543726235741444,0.7172413793103448,0.5098039215686275,145.0
ApplyLipstick,0.3225806451612903,0.08771929824561403,0.13793103448275862,114.0
Archery,0.6517857142857143,0.503448275862069,0.5680933852140078,145.0
BabyCrawling,0.5,0.3181818181818182,0.3888888888888889,132.0
BalanceBeam,0.2631578947368421,0.4166666666666667,0.3225806451612903,108.0
BandMarching,0.5035460992907801,0.45806451612903226,0.4797297297297297,155.0
BaseballPitch,0.5555555555555556,0.9333333333333333,0.6965174129353234,150.0
Basketball,0.2265193370165746,0.6119402985074627,0.33064516129032256,134.0
BasketballDunk,0.4868421052631579,0.2824427480916031,0.35748792270531404,131.0
BenchPress,0.2974683544303797,0.29375,0.29559748427672955,160.0
Biking,0.8201438848920863,0.8507462686567164,0.8351648351648351,134.0
Billiards,0.5654205607476636,0.8066666666666666,0.6648351648351649,150.0
BlowDryHair,0.38095238095238093,0.061068702290076333,0.10526315789473685,131.0
BlowingCandles,0.6883116883116883,0.48623853211009177,0.5698924731182796,109.0
BodyWeightSquats,0.12034383954154727,0.375,0.1822125813449024,112.0
Bowling,0.7345971563981043,1.0,0.8469945355191257,155.0
BoxingPunchingBag,0.26229508196721313,0.49079754601226994,0.3418803418803419,163.0
BoxingSpeedBag,0.1125,0.06716417910447761,0.08411214953271028,134.0
BreastStroke,0.0,0.0,0.0,101.0
BrushingTeeth,0.5263157894736842,0.3053435114503817,0.38647342995169087,131.0
CleanAndJerk,0.0,0.0,0.0,112.0
CliffDiving,0.8846153846153846,0.3333333333333333,0.4842105263157894,138.0
CricketBowling,0.463768115942029,0.460431654676259,0.4620938628158845,139.0
CricketShot,0.0,0.0,0.0,167.0
CuttingInKitchen,0.25308641975308643,0.37272727272727274,0.3014705882352941,110.0
Diving,0.21588089330024815,0.58,0.31464737793851716,150.0
Drumming,0.29055690072639223,0.7453416149068323,0.41811846689895465,161.0
Fencing,0.6697247706422018,0.6576576576576577,0.6636363636363636,111.0
FieldHockeyPenalty,0.36879432624113473,0.4126984126984127,0.38951310861423216,126.0
FloorGymnastics,0.07246376811594203,0.08,0.07604562737642585,125.0
FrisbeeCatch,0.0,0.0,0.0,126.0
FrontCrawl,0.0,0.0,0.0,137.0
GolfSwing,0.2653927813163482,0.8992805755395683,0.4098360655737705,139.0
Haircut,0.3049645390070922,0.33076923076923076,0.3173431734317343,130.0
HammerThrow,0.0,0.0,0.0,150.0
Hammering,0.7272727272727273,0.05714285714285714,0.10596026490066225,140.0
HandstandPushups,0.18705035971223022,0.203125,0.1947565543071161,128.0
HandstandWalking,0.14545454545454545,0.07207207207207207,0.09638554216867469,111.0
