,precision,recall,f1-score,support
ApplyEyeMakeup,0.36551724137931035,0.36551724137931035,0.3655172413793104,145.0
ApplyLipstick,0.0,0.0,0.0,114.0
Archery,0.7014925373134329,0.32413793103448274,0.44339622641509435,145.0
BabyCrawling,0.5555555555555556,0.1893939393939394,0.2824858757062147,132.0
BalanceBeam,0.5344827586206896,0.28703703703703703,0.3734939759036144,108.0
BandMarching,0.7258064516129032,0.2903225806451613,0.4147465437788019,155.0
BaseballPitch,0.3246445497630332,0.9133333333333333,0.47902097902097907,150.0
Basketball,0.11982082866741321,0.7985074626865671,0.20837390457643623,134.0
BasketballDunk,0.0,0.0,0.0,131.0
BenchPress,0.0,0.0,0.0,160.0
Biking,0.8135593220338984,0.7164179104477612,0.761904761904762,134.0
Billiards,0.46875,1.0,0.6382978723404256,150.0
BlowDryHair,0.0,0.0,0.0,131.0
BlowingCandles,0.8333333333333334,0.22935779816513763,0.3597122302158274,109.0
BodyWeightSquats,0.09195402298850575,0.07142857142857142,0.08040201005025126,112.0
Bowling,0.7673267326732673,1.0,0.8683473389355743,155.0
BoxingPunchingBag,0.15472779369627507,0.3312883435582822,0.21093749999999997,163.0
BoxingSpeedBag,0.0,0.0,0.0,134.0
BreastStroke,0.0,0.0,0.0,101.0
BrushingTeeth,0.75,0.022900763358778626,0.044444444444444446,131.0
CleanAndJerk,0.0,0.0,0.0,112.0
CliffDiving,0.3711340206185567,0.5217391304347826,0.43373493975903615,138.0
CricketBowling,0.36538461538461536,0.1366906474820144,0.19895287958115185,139.0
CricketShot,0.0,0.0,0.0,167.0
CuttingInKitchen,0.08016877637130802,0.34545454545454546,0.13013698630136988,110.0
Diving,0.13839285714285715,0.20666666666666667,0.1657754010695187,150.0
Drumming,0.27218934911242604,0.2857142857142857,0.2787878787878788,161.0
Fencing,0.27439024390243905,0.40540540540540543,0.32727272727272727,111.0
FieldHockeyPenalty,0.09578947368421052,0.7222222222222222,0.1691449814126394,126.0
FloorGymnastics,0.023088023088023088,0.256,0.04235605559232296,125.0
FrisbeeCatch,0.0,0.0,0.0,126.0
FrontCrawl,0.0,0.0,0.0,137.0
GolfSwing,0.27472527472527475,0.8992805755395683,0.42087542087542085,139.0
Haircut,0.25721153846153844,0.823076923076923,0.3919413919413919,130.0
HammerThrow,0.0,0.0,0.0,150.0
Hammering,0.0,0.0,0.0,140.0
HandstandPushups,0.0,0.0,0.0,128.0
HandstandWalking,0.0784313725490196,0.036036036036036036,0.04938271604938271,111.0
HeadMassage,0.022988505747126436,0.013605442176870748,0.017094017094017092,147.0
HighJump,0.36363636363636365,0.032520325203252036,0.05970149253731344,123.0
HorseRace,0.5846153846153846,0.9193548387096774,0.7147335423197493,124.0
HorseRiding,0.7571428571428571,0.6463414634146342,0.6973684210526315,164.0
HulaHoop,0.4444444444444444,0.032,0.059701492537313425,125.0
IceDancing,0.2687074829931973,1.0,0.4235924932975872,158.0
