,precision,recall,f1-score,support
ApplyEyeMakeup,0.5538461538461539,0.2482758620689655,0.34285714285714286,145.0
ApplyLipstick,1.0,0.017543859649122806,0.034482758620689655,114.0
Archery,0.7971014492753623,0.3793103448275862,0.514018691588785,145.0
BabyCrawling,0.4787234042553192,0.3409090909090909,0.39823008849557523,132.0
BalanceBeam,0.38345864661654133,0.4722222222222222,0.4232365145228215,108.0
BandMarching,0.45045045045045046,0.3225806451612903,0.3759398496240602,155.0
BaseballPitch,0.2902542372881356,0.9133333333333333,0.44051446945337625,150.0
Basketball,0.210412147505423,0.7238805970149254,0.32605042016806723,134.0
BasketballDunk,0.0,0.0,0.0,131.0
BenchPress,0.0,0.0,0.0,160.0
Biking,0.7720588235294118,0.7835820895522388,0.7777777777777778,134.0
Billiards,0.5901639344262295,0.96,0.7309644670050761,150.0
BlowDryHair,0.0,0.0,0.0,131.0
BlowingCandles,0.8536585365853658,0.3211009174311927,0.4666666666666667,109.0
BodyWeightSquats,0.07142857142857142,0.09821428571428571,0.08270676691729321,112.0
Bowling,0.7013574660633484,1.0,0.8244680851063829,155.0
BoxingPunchingBag,0.12348993288590604,0.5644171779141104,0.20264317180616737,163.0
BoxingSpeedBag,0.027777777777777776,0.007462686567164179,0.011764705882352941,134.0
BreastStroke,0.0,0.0,0.0,101.0
BrushingTeeth,0.2857142857142857,0.030534351145038167,0.05517241379310344,131.0
CleanAndJerk,0.0,0.0,0.0,112.0
CliffDiving,0.7125,0.41304347826086957,0.5229357798165138,138.0
CricketBowling,0.25,0.050359712230215826,0.08383233532934131,139.0
CricketShot,0.0,0.0,0.0,167.0
CuttingInKitchen,0.0891089108910891,0.32727272727272727,0.14007782101167315,110.0
Diving,0.1,0.16666666666666666,0.125,150.0
Drumming,0.33544303797468356,0.6583850931677019,0.4444444444444445,161.0
Fencing,0.375,0.2702702702702703,0.31413612565445026,111.0
FieldHockeyPenalty,0.1,0.5634920634920635,0.16985645933014354,126.0
FloorGymnastics,0.003683241252302026,0.016,0.005988023952095809,125.0
FrisbeeCatch,0.0,0.0,0.0,126.0
FrontCrawl,0.0,0.0,0.0,137.0
GolfSwing,0.22727272727272727,0.8992805755395683,0.36284470246734396,139.0
Haircut,0.17595307917888564,0.9230769230769231,0.29556650246305416,130.0
HammerThrow,0.0,0.0,0.0,150.0
Hammering,0.0,0.0,0.0,140.0
HandstandPushups,0.17857142857142858,0.0390625,0.06410256410256411,128.0
HandstandWalking,0.06796116504854369,0.06306306306306306,0.06542056074766354,111.0
HeadMassage,0.006896551724137931,0.006802721088435374,0.00684931506849315,147.0
HighJump,0.48148148148148145,0.10569105691056911,0.17333333333333334,123.0
HorseRace,0.612565445026178,0.9435483870967742,0.742857142857143,124.0
HorseRiding,0.900990099009901,0.5548780487804879,0.6867924528301886,164.0
HulaHoop,0.6,0.12,0.19999999999999998,125.0
IceDancing,0.20899470899470898,1.0,0.3457330415754923,158.0
JavelinThrow,0.0,0.0,0.0,117.0
JugglingBalls,0.15384615384615385,0.03305785123966942,0.05442176870748299,121.0
JumpRope,0.0,0.0,0.0,144.0
JumpingJack,0.0,0.0,0.0,123.0
Kayaking,0.35135135135135137,0.09219858156028368,0.14606741573033707,141.0
Knitting,0.47058823529411764,0.06504065040650407,0.11428571428571428,123.0
