,precision,recall,f1-score,support
ApplyEyeMakeup,0.3113207547169811,0.6827586206896552,0.427645788336933,145.0
ApplyLipstick,0.7142857142857143,0.043859649122807015,0.08264462809917354,114.0
Archery,0.6470588235294118,0.45517241379310347,0.5344129554655871,145.0
BabyCrawling,0.631578947368421,0.09090909090909091,0.15894039735099338,132.0
BalanceBeam,0.2125984251968504,0.5,0.29834254143646405,108.0
BandMarching,0.7297297297297297,0.5225806451612903,0.6090225563909775,155.0
BaseballPitch,0.4308176100628931,0.9133333333333333,0.5854700854700855,150.0
Basketball,0.22395833333333334,0.6417910447761194,0.33204633204633205,134.0
BasketballDunk,0.0,0.0,0.0,131.0
BenchPress,0.11764705882352941,0.1,0.1081081081081081,160.0
Biking,0.816,0.7611940298507462,0.7876447876447876,134.0
Billiards,0.47058823529411764,0.4266666666666667,0.4475524475524476,150.0
BlowDryHair,0.0,0.0,0.0,131.0
BlowingCandles,0.8823529411764706,0.5504587155963303,0.6779661016949153,109.0
BodyWeightSquats,0.11071428571428571,0.2767857142857143,0.15816326530612243,112.0
Bowling,0.6768558951965066,1.0,0.8072916666666667,155.0
BoxingPunchingBag,0.06324110671936758,0.09815950920245399,0.07692307692307691,163.0
BoxingSpeedBag,0.07079646017699115,0.11940298507462686,0.08888888888888888,134.0
BreastStroke,0.0,0.0,0.0,101.0
BrushingTeeth,0.46808510638297873,0.16793893129770993,0.24719101123595502,131.0
CleanAndJerk,0.0,0.0,0.0,112.0
CliffDiving,0.734375,0.34057971014492755,0.46534653465346537,138.0
CricketBowling,0.47058823529411764,0.11510791366906475,0.18497109826589594,139.0
CricketShot,0.0,0.0,0.0,167.0
CuttingInKitchen,0.2857142857142857,0.41818181818181815,0.33948339483394835,110.0
Diving,0.08292682926829269,0.11333333333333333,0.09577464788732394,150.0
Drumming,0.3054662379421222,0.5900621118012422,0.40254237288135597,161.0
Fencing,0.2804232804232804,0.4774774774774775,0.3533333333333333,111.0
FieldHockeyPenalty,0.21774193548387097,0.21428571428571427,0.216,126.0
FloorGymnastics,0.04142011834319527,0.168,0.06645569620253165,125.0
FrisbeeCatch,0.0,0.0,0.0,126.0
FrontCrawl,0.0,0.0,0.0,137.0
GolfSwing,0.21262458471760798,0.920863309352518,0.34547908232118757,139.0
Haircut,0.18714555765595464,0.7615384615384615,0.30045523520485584,130.0
HammerThrow,0.0,0.0,0.0,150.0
Hammering,0.0,0.0,0.0,140.0
HandstandPushups,0.05106382978723404,0.09375,0.06611570247933884,128.0
HandstandWalking,0.05555555555555555,0.02702702702702703,0.03636363636363636,111.0
HeadMassage,0.14925373134328357,0.06802721088435375,0.09345794392523364,147.0
HighJump,0.23511904761904762,0.6422764227642277,0.34422657952069713,123.0
HorseRace,0.5467980295566502,0.8951612903225806,0.6788990825688074,124.0
HorseRiding,0.8350515463917526,0.49390243902439024,0.6206896551724138,164.0
HulaHoop,0.9629629629629629,0.208,0.3421052631578947,125.0
IceDancing,0.5047923322683706,1.0,0.6709129511677282,158.0
JavelinThrow,0.0,0.0,0.0,117.0
JugglingBalls,0.0,0.0,0.0,121.0
JumpRope,0.0,0.0,0.0,144.0
JumpingJack,0.0,0.0,0.0,123.0
Kayaking,0.22459893048128343,0.2978723404255319,0.25609756097560976,141.0
Knitting,0.6666666666666666,0.16260162601626016,0.26143790849673204,123.0
LongJump,0.0,0.0,0.0,131.0
Lunges,0.0,0.0,0.0,127.0
MilitaryParade,0.4791666666666667,0.368,0.416289592760181,125.0
Mixing,0.7727272727272727,0.375,0.504950495049505,136.0
MoppingFloor,0.15151515151515152,0.13636363636363635,0.14354066985645936,110.0
Nunchucks,0.12244897959183673,0.13636363636363635,0.12903225806451613,132.0
ParallelBars,0.20318725099601595,0.8947368421052632,0.3311688311688312,114.0
PizzaTossing,0.0,0.0,0.0,113.0
PlayingCello,0.5300353356890459,0.9146341463414634,0.6711409395973155,164.0
PlayingDaf,0.0,0.0,0.0,151.0
PlayingDhol,0.0,0.0,0.0,164.0
PlayingFlute,0.4852941176470588,0.6387096774193548,0.5515320334261838,155.0
