,precision,recall,f1-score,support
ApplyEyeMakeup,0.0,0.0,0.0,145.0
ApplyLipstick,0.29239766081871343,0.8771929824561403,0.43859649122807015,114.0
Archery,0.16798732171156894,0.7310344827586207,0.27319587628865977,145.0
BabyCrawling,0.2560386473429952,0.4015151515151515,0.31268436578171094,132.0
BalanceBeam,0.09090909090909091,0.7037037037037037,0.16101694915254236,108.0
BandMarching,0.0,0.0,0.0,155.0
BaseballPitch,0.3129251700680272,0.92,0.467005076142132,150.0
Basketball,0.19750519750519752,0.7089552238805971,0.3089430894308944,134.0
BasketballDunk,0.45714285714285713,0.6106870229007634,0.5228758169934641,131.0
BenchPress,0.1875,0.15,0.16666666666666663,160.0
Biking,0.7232704402515723,0.8582089552238806,0.7849829351535836,134.0
Billiards,0.7575757575757576,1.0,0.8620689655172413,150.0
BlowDryHair,0.0,0.0,0.0,131.0
BlowingCandles,0.76,0.3486238532110092,0.47798742138364786,109.0
BodyWeightSquats,0.0975609756097561,0.07142857142857142,0.08247422680412371,112.0
Bowling,0.670995670995671,1.0,0.8031088082901555,155.0
BoxingPunchingBag,0.1729106628242075,0.36809815950920244,0.2352941176470588,163.0
BoxingSpeedBag,0.008888888888888889,0.014925373134328358,0.011142061281337047,134.0
BreastStroke,0.0,0.0,0.0,101.0
BrushingTeeth,0.0,0.0,0.0,131.0
CleanAndJerk,0.0,0.0,0.0,112.0
CliffDiving,0.7575757575757576,0.36231884057971014,0.49019607843137253,138.0
CricketBowling,0.48148148148148145,0.09352517985611511,0.1566265060240964,139.0
CricketShot,0.0,0.0,0.0,167.0
CuttingInKitchen,0.23655913978494625,0.4,0.2972972972972973,110.0
Diving,0.07920792079207921,0.10666666666666667,0.09090909090909091,150.0
Drumming,0.3785488958990536,0.7453416149068323,0.502092050209205,161.0
Fencing,0.26,0.11711711711711711,0.16149068322981366,111.0
FieldHockeyPenalty,0.4,0.015873015873015872,0.030534351145038167,126.0
FloorGymnastics,0.0,0.0,0.0,125.0
FrisbeeCatch,0.0,0.0,0.0,126.0
FrontCrawl,0.0,0.0,0.0,137.0
GolfSwing,0.3495702005730659,0.8776978417266187,0.5,139.0
Haircut,0.23588039867109634,0.5461538461538461,0.3294663573085847,130.0
HammerThrow,0.0,0.0,0.0,150.0
Hammering,1.0,0.1,0.18181818181818182,140.0
HandstandPushups,0.0,0.0,0.0,128.0
HandstandWalking,0.10714285714285714,0.02702702702702703,0.043165467625899276,111.0
HeadMassage,0.2647058823529412,0.061224489795918366,0.09944751381215469,147.0
HighJump,0.19576719576719576,0.6016260162601627,0.2954091816367266,123.0
HorseRace,0.41818181818181815,0.9274193548387096,0.5764411027568922,124.0
HorseRiding,0.8085106382978723,0.23170731707317074,0.36018957345971564,164.0
HulaHoop,0.0,0.0,0.0,125.0
IceDancing,0.6421052631578947,0.7721518987341772,0.7011494252873564,158.0
JavelinThrow,0.125,0.008547008547008548,0.016,117.0
JugglingBalls,0.0,0.0,0.0,121.0
JumpRope,0.0,0.0,0.0,144.0
JumpingJack,0.0,0.0,0.0,123.0
Kayaking,0.49382716049382713,0.5673758865248227,0.5280528052805281,141.0
Knitting,0.9230769230769231,0.0975609756097561,0.17647058823529413,123.0
LongJump,0.5555555555555556,0.03816793893129771,0.07142857142857144,131.0
Lunges,0.0,0.0,0.0,127.0
MilitaryParade,0.40963855421686746,0.544,0.46735395189003437,125.0
Mixing,1.0,0.20588235294117646,0.34146341463414637,136.0
MoppingFloor,0.1968503937007874,0.22727272727272727,0.2109704641350211,110.0
Nunchucks,0.0,0.0,0.0,132.0
ParallelBars,0.19207920792079208,0.8508771929824561,0.3134087237479806,114.0
PizzaTossing,0.0,0.0,0.0,113.0
PlayingCello,0.8031088082901554,0.9451219512195121,0.8683473389355743,164.0
PlayingDaf,0.0,0.0,0.0,151.0
PlayingDhol,0.18421052631578946,0.042682926829268296,0.06930693069306931,164.0
PlayingFlute,0.5701357466063348,0.8129032258064516,0.6702127659574468,155.0
PlayingGuitar,0.8487394957983193,0.63125,0.7240143369175627,160.0
PlayingPiano,0.45145631067961167,0.8857142857142857,0.5980707395498392,105.0
PlayingSitar,0.618421052631579,0.8980891719745223,0.7324675324675325,157.0
PlayingTabla,0.6666666666666666,0.09009009009009009,0.15873015873015872,111.0
PlayingViolin,0.5396825396825397,0.68,0.6017699115044247,100.0
PoleVault,0.35714285714285715,0.03355704697986577,0.06134969325153374,149.0
PommelHorse,0.37383177570093457,0.6504065040650406,0.4747774480712166,123.0
PullUps,0.0,0.0,0.0,100.0
Punch,0.0,0.0,0.0,160.0
PushUps,0.0,0.0,0.0,102.0
Rafting,0.0,0.0,0.0,111.0
RockClimbingIndoor,0.7619047619047619,0.3333333333333333,0.463768115942029,144.0
RopeClimbing,0.08333333333333333,0.008403361344537815,0.015267175572519083,119.0
Rowing,0.36193029490616624,0.9854014598540146,0.5294117647058824,137.0
SalsaSpin,0.0,0.0,0.0,133.0
ShavingBeard,0.6455696202531646,0.3167701863354037,0.42500000000000004,161.0
Shotput,0.0,0.0,0.0,144.0
SkateBoarding,0.3632286995515695,0.675,0.47230320699708456,120.0
Skiing,0.7708333333333334,0.8222222222222222,0.7956989247311829,135.0
Skijet,0.0,0.0,0.0,100.0
SkyDiving,0.5508474576271186,0.5909090909090909,0.5701754385964912,110.0
SoccerJuggling,0.11904761904761904,0.034013605442176874,0.052910052910052914,147.0
SoccerPenalty,0.23529411764705882,0.9635036496350365,0.37822349570200575,137.0
StillRings,0.0,0.0,0.0,112.0
SumoWrestling,0.5425531914893617,0.8793103448275862,0.6710526315789473,116.0
Surfing,0.4432234432234432,0.9603174603174603,0.6065162907268171,126.0
Swing,0.4444444444444444,0.7022900763358778,0.544378698224852,131.0
TableTennisShot,0.18207282913165265,0.9285714285714286,0.30444964871194374,140.0
TaiChi,0.7894736842105263,0.15,0.25210084033613445,100.0
TennisSwing,0.24242424242424243,0.04819277108433735,0.08040201005025126,166.0
ThrowDiscus,0.0,0.0,0.0,130.0
TrampolineJumping,0.4656084656084656,0.7394957983193278,0.5714285714285714,119.0
Typing,0.9259259259259259,0.5514705882352942,0.6912442396313365,136.0
UnevenBars,0.0,0.0,0.0,104.0
VolleyballSpiking,0.1111111111111111,0.008620689655172414,0.016,116.0
WalkingWithDog,0.8382352941176471,0.4634146341463415,0.5968586387434555,123.0
WallPushups,0.0,0.0,0.0,130.0
WritingOnBoard,0.0,0.0,0.0,152.0
YoYo,0.0,0.0,0.0,128.0
accuracy,0.33378378378378376,0.33378378378378376,0.33378378378378376,0.33378378378378376
macro avg,0.2965874379712163,0.32793033358799983,0.25589763216566536,13320.0
weighted avg,0.30338854847801644,0.33378378378378376,0.2624696313366707,13320.0
