,precision,recall,f1-score,support
ApplyEyeMakeup,0.5266666666666666,0.5448275862068965,0.535593220338983,145.0
ApplyLipstick,0.6666666666666666,0.017543859649122806,0.03418803418803419,114.0
Archery,0.5826771653543307,0.5103448275862069,0.5441176470588235,145.0
BabyCrawling,0.3888888888888889,0.21212121212121213,0.27450980392156865,132.0
BalanceBeam,0.25,0.49074074074074076,0.33125000000000004,108.0
BandMarching,0.4182692307692308,0.5612903225806452,0.4793388429752066,155.0
BaseballPitch,0.4479166666666667,0.86,0.589041095890411,150.0
Basketball,0.2379421221864952,0.5522388059701493,0.3325842696629213,134.0
BasketballDunk,0.6363636363636364,0.42748091603053434,0.5114155251141552,131.0
BenchPress,0.0,0.0,0.0,160.0
Biking,0.8780487804878049,0.8059701492537313,0.8404669260700388,134.0
Billiards,0.30687830687830686,0.38666666666666666,0.3421828908554573,150.0
BlowDryHair,0.0,0.0,0.0,131.0
BlowingCandles,0.8936170212765957,0.3853211009174312,0.5384615384615384,109.0
BodyWeightSquats,0.12446351931330472,0.25892857142857145,0.1681159420289855,112.0
Bowling,0.7110091743119266,1.0,0.8310991957104558,155.0
BoxingPunchingBag,0.34234234234234234,0.6993865030674846,0.4596774193548387,163.0
BoxingSpeedBag,0.0,0.0,0.0,134.0
BreastStroke,0.0,0.0,0.0,101.0
BrushingTeeth,0.6271186440677966,0.2824427480916031,0.3894736842105263,131.0
CleanAndJerk,0.0,0.0,0.0,112.0
CliffDiving,0.8367346938775511,0.2971014492753623,0.4385026737967914,138.0
CricketBowling,0.37572254335260113,0.4676258992805755,0.4166666666666667,139.0
CricketShot,0.0,0.0,0.0,167.0
CuttingInKitchen,0.09282700421940929,0.2,0.12680115273775217,110.0
Diving,0.21621621621621623,0.6933333333333334,0.329635499207607,150.0
Drumming,0.37423312883435583,0.37888198757763975,0.3765432098765432,161.0
Fencing,0.47333333333333333,0.6396396396396397,0.5440613026819924,111.0
FieldHockeyPenalty,0.3263157894736842,0.49206349206349204,0.3924050632911393,126.0
FloorGymnastics,0.0453857791225416,0.24,0.07633587786259541,125.0
FrisbeeCatch,0.0,0.0,0.0,126.0
FrontCrawl,0.0,0.0,0.0,137.0
GolfSwing,0.24022346368715083,0.9280575539568345,0.3816568047337278,139.0
Haircut,0.2707774798927614,0.7769230769230769,0.40159045725646125,130.0
HammerThrow,0.0,0.0,0.0,150.0
Hammering,0.0,0.0,0.0,140.0
HandstandPushups,0.03468208092485549,0.046875,0.03986710963455149,128.0
HandstandWalking,0.14634146341463414,0.05405405405405406,0.07894736842105264,111.0
HeadMassage,0.0891089108910891,0.061224489795918366,0.07258064516129033,147.0
HighJump,0.308411214953271,0.5365853658536586,0.39169139465875374,123.0
HorseRace,0.7435897435897436,0.9354838709677419,0.8285714285714285,124.0
HorseRiding,0.8901734104046243,0.9390243902439024,0.9139465875370919,164.0
HulaHoop,0.717948717948718,0.224,0.34146341463414637,125.0
IceDancing,0.33617021276595743,1.0,0.5031847133757962,158.0
JavelinThrow,0.36666666666666664,0.09401709401709402,0.14965986394557823,117.0
JugglingBalls,0.3157894736842105,0.049586776859504134,0.08571428571428572,121.0
JumpRope,0.0,0.0,0.0,144.0
JumpingJack,0.0,0.0,0.0,123.0
