,precision,recall,f1-score,support
ApplyEyeMakeup,0.5170454545454546,0.6275862068965518,0.5669781931464174,145.0
ApplyLipstick,0.5,0.02631578947368421,0.05,114.0
Archery,0.5934959349593496,0.503448275862069,0.5447761194029851,145.0
BabyCrawling,0.44,0.25,0.31884057971014496,132.0
BalanceBeam,0.2242152466367713,0.46296296296296297,0.3021148036253776,108.0
BandMarching,0.4030612244897959,0.5096774193548387,0.45014245014245013,155.0
BaseballPitch,0.3896551724137931,0.7533333333333333,0.5136363636363637,150.0
Basketball,0.216,0.6044776119402985,0.3182711198428291,134.0
BasketballDunk,0.4166666666666667,0.03816793893129771,0.06993006993006992,131.0
BenchPress,0.00819672131147541,0.00625,0.007092198581560284,160.0
Biking,0.8217054263565892,0.7910447761194029,0.8060836501901141,134.0
Billiards,0.2980769230769231,0.41333333333333333,0.34636871508379885,150.0
BlowDryHair,0.0,0.0,0.0,131.0
BlowingCandles,0.7580645161290323,0.43119266055045874,0.5497076023391813,109.0
BodyWeightSquats,0.10176991150442478,0.4107142857142857,0.1631205673758865,112.0
Bowling,0.6739130434782609,1.0,0.8051948051948052,155.0
BoxingPunchingBag,0.07906976744186046,0.10429447852760736,0.08994708994708994,163.0
BoxingSpeedBag,0.0379746835443038,0.04477611940298507,0.0410958904109589,134.0
BreastStroke,0.0,0.0,0.0,101.0
BrushingTeeth,0.5714285714285714,0.33587786259541985,0.4230769230769231,131.0
CleanAndJerk,0.0,0.0,0.0,112.0
CliffDiving,0.9024390243902439,0.26811594202898553,0.41340782122905034,138.0
CricketBowling,0.3286384976525822,0.5035971223021583,0.3977272727272727,139.0
CricketShot,0.0,0.0,0.0,167.0
CuttingInKitchen,0.13559322033898305,0.21818181818181817,0.16724738675958187,110.0
Diving,0.18995633187772926,0.58,0.28618421052631576,150.0
Drumming,0.2891566265060241,0.7453416149068323,0.4166666666666667,161.0
Fencing,0.6140350877192983,0.6306306306306306,0.6222222222222222,111.0
FieldHockeyPenalty,0.3959731543624161,0.46825396825396826,0.42909090909090913,126.0
FloorGymnastics,0.05389221556886228,0.072,0.06164383561643836,125.0
FrisbeeCatch,0.0,0.0,0.0,126.0
FrontCrawl,0.0,0.0,0.0,137.0
GolfSwing,0.27213822894168466,0.9064748201438849,0.4186046511627907,139.0
Haircut,0.23013698630136986,0.6461538461538462,0.33939393939393936,130.0
HammerThrow,0.0,0.0,0.0,150.0
Hammering,1.0,0.014285714285714285,0.028169014084507043,140.0
