,precision,recall,f1-score,support
ApplyEyeMakeup,0.0,0.0,0.0,145.0
ApplyLipstick,0.0,0.0,0.0,114.0
Archery,0.2692307692307692,0.04827586206896552,0.08187134502923978,145.0
BabyCrawling,0.31176470588235294,0.4015151515151515,0.3509933774834437,132.0
BalanceBeam,0.0,0.0,0.0,108.0
BandMarching,0.0,0.0,0.0,155.0
BaseballPitch,0.20704845814977973,0.94,0.3393501805054151,150.0
Basketball,0.11267605633802817,0.6567164179104478,0.1923497267759563,134.0
BasketballDunk,0.0,0.0,0.0,131.0
BenchPress,0.0,0.0,0.0,160.0
Biking,0.25,0.09701492537313433,0.13978494623655915,134.0
Billiards,0.5119453924914675,1.0,0.6772009029345372,150.0
BlowDryHair,0.0,0.0,0.0,131.0
BlowingCandles,0.125,0.009174311926605505,0.017094017094017096,109.0
BodyWeightSquats,0.0,0.0,0.0,112.0
Bowling,0.6652360515021459,1.0,0.7989690721649485,155.0
BoxingPunchingBag,0.07849829351535836,0.4233128834355828,0.1324376199616123,163.0
BoxingSpeedBag,0.0,0.0,0.0,134.0
BreastStroke,0.0,0.0,0.0,101.0
BrushingTeeth,0.0,0.0,0.0,131.0
CleanAndJerk,0.0,0.0,0.0,112.0
CliffDiving,0.5,0.37681159420289856,0.4297520661157025,138.0
CricketBowling,0.0,0.0,0.0,139.0
CricketShot,0.0,0.0,0.0,167.0
CuttingInKitchen,0.08529411764705883,0.2636363636363636,0.1288888888888889,110.0
Diving,0.017857142857142856,0.006666666666666667,0.009708737864077669,150.0
Drumming,0.0,0.0,0.0,161.0
Fencing,0.0,0.0,0.0,111.0
FieldHockeyPenalty,0.3806818181818182,0.5317460317460317,0.44370860927152317,126.0
FloorGymnastics,0.0,0.0,0.0,125.0
FrisbeeCatch,0.0,0.0,0.0,126.0
FrontCrawl,0.0,0.0,0.0,137.0
GolfSwing,0.22977941176470587,0.8992805755395683,0.3660322108345534,139.0
Haircut,0.2182952182952183,0.8076923076923077,0.34369885433715225,130.0
HammerThrow,0.0,0.0,0.0,150.0
Hammering,0.0,0.0,0.0,140.0
HandstandPushups,0.0,0.0,0.0,128.0
HandstandWalking,0.03255813953488372,0.06306306306306306,0.042944785276073615,111.0
HeadMassage,0.009302325581395349,0.013605442176870748,0.011049723756906077,147.0
HighJump,0.0,0.0,0.0,123.0
HorseRace,0.3617021276595745,0.9596774193548387,0.5253863134657838,124.0
HorseRiding,0.1282051282051282,0.03048780487804878,0.04926108374384237,164.0
HulaHoop,0.0,0.0,0.0,125.0
IceDancing,0.22507122507122507,1.0,0.3674418604651163,158.0
JavelinThrow,0.0,0.0,0.0,117.0
JugglingBalls,0.0,0.0,0.0,121.0
JumpRope,0.3333333333333333,0.006944444444444444,0.01360544217687075,144.0
JumpingJack,0.0,0.0,0.0,123.0
Kayaking,0.04477611940298507,0.02127659574468085,0.028846153846153848,141.0
Knitting,0.0,0.0,0.0,123.0
LongJump,0.0,0.0,0.0,131.0
Lunges,0.0,0.0,0.0,127.0
MilitaryParade,0.2608695652173913,0.192,0.22119815668202766,125.0
Mixing,0.13114754098360656,0.058823529411764705,0.08121827411167513,136.0
MoppingFloor,0.02546916890080429,0.17272727272727273,0.04439252336448598,110.0
Nunchucks,0.0,0.0,0.0,132.0
ParallelBars,0.0,0.0,0.0,114.0
PizzaTossing,0.13043478260869565,0.13274336283185842,0.13157894736842105,113.0
PlayingCello,0.014492753623188406,0.018292682926829267,0.016172506738544475,164.0
PlayingDaf,0.0,0.0,0.0,151.0
PlayingDhol,0.0,0.0,0.0,164.0
PlayingFlute,0.0,0.0,0.0,155.0
PlayingGuitar,0.07,0.04375,0.05384615384615385,160.0
PlayingPiano,0.09477124183006536,0.5523809523809524,0.1617852161785216,105.0
PlayingSitar,0.0,0.0,0.0,157.0
PlayingTabla,0.04938271604938271,0.14414414414414414,0.0735632183908046,111.0
PlayingViolin,0.0,0.0,0.0,100.0
PoleVault,0.07407407407407407,0.026845637583892617,0.03940886699507389,149.0
PommelHorse,0.0,0.0,0.0,123.0
PullUps,0.0,0.0,0.0,100.0
Punch,0.0,0.0,0.0,160.0
PushUps,0.0,0.0,0.0,102.0
Rafting,0.4732142857142857,0.954954954954955,0.6328358208955224,111.0
RockClimbingIndoor,0.0,0.0,0.0,144.0
RopeClimbing,0.01,0.008403361344537815,0.0091324200913242,119.0
Rowing,0.5666666666666667,0.12408759124087591,0.20359281437125748,137.0
SalsaSpin,0.0,0.0,0.0,133.0
ShavingBeard,0.0,0.0,0.0,161.0
Shotput,0.0,0.0,0.0,144.0
SkateBoarding,0.0,0.0,0.0,120.0
Skiing,0.6587301587301587,0.6148148148148148,0.636015325670498,135.0
Skijet,0.0,0.0,0.0,100.0
SkyDiving,0.4457831325301205,0.6727272727272727,0.5362318840579711,110.0
SoccerJuggling,0.0,0.0,0.0,147.0
SoccerPenalty,0.33505154639175255,0.948905109489051,0.49523809523809526,137.0
StillRings,0.0,0.0,0.0,112.0
SumoWrestling,0.0,0.0,0.0,116.0
Surfing,0.5577889447236181,0.8809523809523809,0.6830769230769231,126.0
Swing,0.0,0.0,0.0,131.0
TableTennisShot,0.0,0.0,0.0,140.0
TaiChi,0.5,0.1,0.16666666666666669,100.0
TennisSwing,0.14285714285714285,0.018072289156626505,0.0320855614973262,166.0
ThrowDiscus,0.0,0.0,0.0,130.0
TrampolineJumping,0.04008438818565401,0.15966386554621848,0.06408094435075885,119.0
Typing,0.4,0.04411764705882353,0.07947019867549669,136.0
UnevenBars,0.0,0.0,0.0,104.0
VolleyballSpiking,0.1111111111111111,0.017241379310344827,0.029850746268656716,116.0
WalkingWithDog,0.042328042328042326,0.06504065040650407,0.05128205128205129,123.0
WallPushups,0.03571428571428571,0.007692307692307693,0.012658227848101266,130.0
WritingOnBoard,0.6054421768707483,0.5855263157894737,0.5953177257525083,152.0
YoYo,0.0,0.0,0.0,128.0
accuracy,0.16253753753753752,0.16253753753753752,0.16253753753753752,0.16253753753753752
macro avg,0.10766009465104127,0.15941391469174823,0.10436708106581424,13320.0
weighted avg,0.10941651404525461,0.16253753753753752,0.10612954981368823,13320.0
