,precision,recall,f1-score,support
ApplyEyeMakeup,0.0,0.0,0.0,145.0
ApplyLipstick,0.0,0.0,0.0,114.0
Archery,0.24242424242424243,0.05517241379310345,0.0898876404494382,145.0
BabyCrawling,0.21,0.1590909090909091,0.1810344827586207,132.0
BalanceBeam,0.0,0.0,0.0,108.0
BandMarching,1.0,0.0064516129032258064,0.012820512820512822,155.0
BaseballPitch,0.17391304347826086,0.9333333333333333,0.29319371727748683,150.0
Basketball,0.14664586583463338,0.7014925373134329,0.24258064516129033,134.0
BasketballDunk,0.0,0.0,0.0,131.0
BenchPress,0.0,0.0,0.0,160.0
Biking,0.3448275862068966,0.14925373134328357,0.20833333333333331,134.0
Billiards,0.4983388704318937,1.0,0.6651884700665188,150.0
BlowDryHair,0.0,0.0,0.0,131.0
BlowingCandles,0.0,0.0,0.0,109.0
BodyWeightSquats,0.0,0.0,0.0,112.0
Bowling,0.640495867768595,1.0,0.7808564231738035,155.0
BoxingPunchingBag,0.08236536430834214,0.4785276073619632,0.14054054054054052,163.0
BoxingSpeedBag,0.0,0.0,0.0,134.0
BreastStroke,0.0,0.0,0.0,101.0
BrushingTeeth,0.0,0.0,0.0,131.0
CleanAndJerk,0.0,0.0,0.0,112.0
CliffDiving,0.5833333333333334,0.35507246376811596,0.4414414414414415,138.0
CricketBowling,0.0,0.0,0.0,139.0
CricketShot,0.0,0.0,0.0,167.0
CuttingInKitchen,0.07552083333333333,0.2636363636363636,0.11740890688259108,110.0
Diving,0.0,0.0,0.0,150.0
Drumming,0.0,0.0,0.0,161.0
Fencing,0.0,0.0,0.0,111.0
FieldHockeyPenalty,0.24653739612188366,0.7063492063492064,0.36550308008213556,126.0
FloorGymnastics,0.0,0.0,0.0,125.0
FrisbeeCatch,0.0,0.0,0.0,126.0
FrontCrawl,0.0,0.0,0.0,137.0
GolfSwing,0.21164021164021163,0.8633093525179856,0.33994334277620397,139.0
Haircut,0.1962134251290878,0.8769230769230769,0.3206751054852321,130.0
HammerThrow,0.0,0.0,0.0,150.0
Hammering,0.0,0.0,0.0,140.0
HandstandPushups,0.0,0.0,0.0,128.0
HandstandWalking,0.0374331550802139,0.06306306306306306,0.046979865771812075,111.0
HeadMassage,0.006896551724137931,0.006802721088435374,0.00684931506849315,147.0
HighJump,0.0,0.0,0.0,123.0
HorseRace,0.3953488372093023,0.9596774193548387,0.5599999999999999,124.0
HorseRiding,0.49206349206349204,0.18902439024390244,0.27312775330396477,164.0
HulaHoop,0.0,0.0,0.0,125.0
IceDancing,0.13344594594594594,1.0,0.23546944858420266,158.0
JavelinThrow,0.0,0.0,0.0,117.0
JugglingBalls,0.0,0.0,0.0,121.0
JumpRope,0.017241379310344827,0.006944444444444444,0.009900990099009901,144.0
JumpingJack,0.0,0.0,0.0,123.0
Kayaking,0.05555555555555555,0.014184397163120567,0.02259887005649718,141.0
Knitting,0.0,0.0,0.0,123.0
LongJump,0.0,0.0,0.0,131.0
Lunges,0.0,0.0,0.0,127.0
MilitaryParade,0.2891566265060241,0.192,0.23076923076923075,125.0
Mixing,0.09090909090909091,0.007352941176470588,0.013605442176870748,136.0
MoppingFloor,0.03054989816700611,0.13636363636363635,0.04991680532445924,110.0
Nunchucks,0.0,0.0,0.0,132.0
ParallelBars,0.0,0.0,0.0,114.0
PizzaTossing,0.14285714285714285,0.04424778761061947,0.06756756756756756,113.0
PlayingCello,0.11650485436893204,0.07317073170731707,0.08988764044943819,164.0
PlayingDaf,0.0,0.0,0.0,151.0
PlayingDhol,0.0,0.0,0.0,164.0
PlayingFlute,0.0,0.0,0.0,155.0
PlayingGuitar,0.0,0.0,0.0,160.0
PlayingPiano,0.08640552995391705,0.7142857142857143,0.15416238437821173,105.0
PlayingSitar,0.0,0.0,0.0,157.0
PlayingTabla,0.0,0.0,0.0,111.0
PlayingViolin,0.0,0.0,0.0,100.0
PoleVault,0.026785714285714284,0.020134228187919462,0.022988505747126433,149.0
PommelHorse,0.0,0.0,0.0,123.0
PullUps,0.0,0.0,0.0,100.0
Punch,0.0,0.0,0.0,160.0
PushUps,0.0,0.0,0.0,102.0
Rafting,0.4388185654008439,0.9369369369369369,0.5977011494252874,111.0
RockClimbingIndoor,0.0,0.0,0.0,144.0
RopeClimbing,0.0,0.0,0.0,119.0
Rowing,0.5076923076923077,0.24087591240875914,0.32673267326732675,137.0
SalsaSpin,0.0,0.0,0.0,133.0
ShavingBeard,0.0,0.0,0.0,161.0
Shotput,0.0,0.0,0.0,144.0
SkateBoarding,0.0,0.0,0.0,120.0
Skiing,0.6142857142857143,0.31851851851851853,0.4195121951219512,135.0
Skijet,0.0,0.0,0.0,100.0
SkyDiving,0.3698630136986301,0.7363636363636363,0.4924012158054711,110.0
SoccerJuggling,0.0,0.0,0.0,147.0
SoccerPenalty,0.45925925925925926,0.9051094890510949,0.6093366093366093,137.0
StillRings,0.0,0.0,0.0,112.0
SumoWrestling,0.0,0.0,0.0,116.0
Surfing,0.6901408450704225,0.7777777777777778,0.7313432835820896,126.0
Swing,0.0,0.0,0.0,131.0
TableTennisShot,0.0,0.0,0.0,140.0
TaiChi,0.3333333333333333,0.01,0.019417475728155338,100.0
TennisSwing,0.049079754601226995,0.04819277108433735,0.0486322188449848,166.0
ThrowDiscus,0.0,0.0,0.0,130.0
TrampolineJumping,0.021806853582554516,0.058823529411764705,0.031818181818181815,119.0
Typing,0.0,0.0,0.0,136.0
UnevenBars,0.0,0.0,0.0,104.0
VolleyballSpiking,0.0,0.0,0.0,116.0
WalkingWithDog,0.0,0.0,0.0,123.0
WallPushups,0.0,0.0,0.0,130.0
WritingOnBoard,0.8115942028985508,0.3684210526315789,0.5067873303167421,152.0
YoYo,0.0,0.0,0.0,128.0
accuracy,0.15593093093093094,0.15593093093093094,0.15593093093093094,0.15593093093093094
macro avg,0.10761666993832056,0.15224637333869193,0.09670211678012706,13320.0
weighted avg,0.11244214571115156,0.15593093093093094,0.09945038787692034,13320.0
