,precision,recall,f1-score,support
ApplyEyeMakeup,0.5796178343949044,0.6275862068965518,0.6026490066225166,145.0
ApplyLipstick,0.8055555555555556,0.2543859649122807,0.3866666666666667,114.0
Archery,0.5135135135135135,0.5241379310344828,0.5187713310580205,145.0
BabyCrawling,0.42857142857142855,0.045454545454545456,0.0821917808219178,132.0
BalanceBeam,0.2768361581920904,0.4537037037037037,0.343859649122807,108.0
BandMarching,0.41919191919191917,0.535483870967742,0.4702549575070821,155.0
BaseballPitch,0.9122807017543859,0.6933333333333334,0.7878787878787878,150.0
Basketball,0.16932907348242812,0.39552238805970147,0.2371364653243848,134.0
BasketballDunk,0.2857142857142857,0.22900763358778625,0.25423728813559315,131.0
BenchPress,0.03153153153153153,0.04375,0.03664921465968586,160.0
Biking,0.8947368421052632,0.7611940298507462,0.8225806451612904,134.0
Billiards,0.18490566037735848,0.32666666666666666,0.236144578313253,150.0
BlowDryHair,0.0,0.0,0.0,131.0
BlowingCandles,0.7333333333333333,0.5045871559633027,0.5978260869565216,109.0
BodyWeightSquats,0.11068702290076336,0.25892857142857145,0.1550802139037433,112.0
Bowling,0.6219512195121951,0.9870967741935484,0.7630922693266833,155.0
BoxingPunchingBag,0.19230769230769232,0.09202453987730061,0.12448132780082986,163.0
BoxingSpeedBag,0.0784313725490196,0.08955223880597014,0.08362369337979095,134.0
BreastStroke,0.0,0.0,0.0,101.0
BrushingTeeth,0.3916083916083916,0.42748091603053434,0.40875912408759124,131.0
CleanAndJerk,0.0,0.0,0.0,112.0
CliffDiving,0.95,0.13768115942028986,0.24050632911392408,138.0
CricketBowling,0.228125,0.5251798561151079,0.3180827886710239,139.0
CricketShot,0.0,0.0,0.0,167.0
CuttingInKitchen,0.023255813953488372,0.00909090909090909,0.0130718954248366,110.0
Diving,0.17598343685300208,0.5666666666666667,0.2685624012638231,150.0
Drumming,0.3055555555555556,0.8198757763975155,0.4451939291736931,161.0
Fencing,0.5691056910569106,0.6306306306306306,0.5982905982905983,111.0
FieldHockeyPenalty,0.41935483870967744,0.4126984126984127,0.416,126.0
FloorGymnastics,0.08150470219435736,0.208,0.1171171171171171,125.0
FrisbeeCatch,0.0,0.0,0.0,126.0
FrontCrawl,0.0,0.0,0.0,137.0
GolfSwing,0.2134453781512605,0.9136690647482014,0.3460490463215259,139.0
Haircut,0.16666666666666666,0.4307692307692308,0.24034334763948498,130.0
HammerThrow,0.0,0.0,0.0,150.0
Hammering,0.6,0.02142857142857143,0.041379310344827586,140.0
HandstandPushups,0.06578947368421052,0.15625,0.09259259259259259,128.0
HandstandWalking,0.1,0.02702702702702703,0.0425531914893617,111.0
HeadMassage,0.11428571428571428,0.05442176870748299,0.07373271889400922,147.0
HighJump,0.2704626334519573,0.6178861788617886,0.37623762376237624,123.0
HorseRace,0.6933333333333334,0.8387096774193549,0.7591240875912408,124.0
HorseRiding,0.8693181818181818,0.9329268292682927,0.9,164.0
HulaHoop,0.75,0.288,0.4161849710982658,125.0
