,precision,recall,f1-score,support
ApplyEyeMakeup,0.375,0.7241379310344828,0.4941176470588236,145.0
ApplyLipstick,0.02857142857142857,0.008771929824561403,0.01342281879194631,114.0
Archery,0.6339285714285714,0.4896551724137931,0.5525291828793774,145.0
BabyCrawling,0.7894736842105263,0.22727272727272727,0.3529411764705882,132.0
BalanceBeam,0.2949640287769784,0.37962962962962965,0.33198380566801616,108.0
BandMarching,0.4336283185840708,0.632258064516129,0.5144356955380577,155.0
BaseballPitch,0.41883116883116883,0.86,0.5633187772925764,150.0
Basketball,0.07666666666666666,0.34328358208955223,0.12534059945504086,134.0
BasketballDunk,0.1896551724137931,0.08396946564885496,0.11640211640211642,131.0
BenchPress,0.09375,0.075,0.08333333333333331,160.0
Biking,0.9482758620689655,0.8208955223880597,0.8799999999999999,134.0
Billiards,0.3351063829787234,0.42,0.3727810650887574,150.0
BlowDryHair,0.0,0.0,0.0,131.0
BlowingCandles,0.7352941176470589,0.45871559633027525,0.5649717514124295,109.0
BodyWeightSquats,0.10187667560321716,0.3392857142857143,0.15670103092783505,112.0
Bowling,0.7676767676767676,0.9806451612903225,0.8611898016997167,155.0
BoxingPunchingBag,0.6807228915662651,0.6932515337423313,0.6869300911854104,163.0
BoxingSpeedBag,0.013157894736842105,0.007462686567164179,0.009523809523809523,134.0
BreastStroke,0.0,0.0,0.0,101.0
BrushingTeeth,0.40476190476190477,0.2595419847328244,0.31627906976744186,131.0
CleanAndJerk,0.0,0.0,0.0,112.0
CliffDiving,0.6619718309859155,0.34057971014492755,0.44976076555023925,138.0
CricketBowling,0.34523809523809523,0.4172661870503597,0.37785016286644957,139.0
CricketShot,0.0,0.0,0.0,167.0
CuttingInKitchen,0.022058823529411766,0.02727272727272727,0.024390243902439025,110.0
Diving,0.17592592592592593,0.5066666666666667,0.2611683848797251,150.0
Drumming,0.3395638629283489,0.6770186335403726,0.4522821576763485,161.0
Fencing,0.6306306306306306,0.6306306306306306,0.6306306306306306,111.0
FieldHockeyPenalty,0.10135135135135136,0.11904761904761904,0.10948905109489052,126.0
FloorGymnastics,0.12727272727272726,0.224,0.16231884057971013,125.0
FrisbeeCatch,0.0,0.0,0.0,126.0
FrontCrawl,0.0,0.0,0.0,137.0
GolfSwing,0.2714285714285714,0.8201438848920863,0.407871198568873,139.0
Haircut,0.18729096989966554,0.4307692307692308,0.26107226107226106,130.0
HammerThrow,0.0,0.0,0.0,150.0
Hammering,0.4,0.04285714285714286,0.07741935483870968,140.0
HandstandPushups,0.12941176470588237,0.171875,0.1476510067114094,128.0
HandstandWalking,0.0,0.0,0.0,111.0
HeadMassage,0.05084745762711865,0.02040816326530612,0.02912621359223301,147.0
HighJump,0.3392857142857143,0.4634146341463415,0.3917525773195876,123.0
HorseRace,0.696551724137931,0.8145161290322581,0.7509293680297399,124.0
HorseRiding,0.8054054054054054,0.9085365853658537,0.853868194842407,164.0
HulaHoop,0.8709677419354839,0.216,0.34615384615384615,125.0
IceDancing,0.40782122905027934,0.9240506329113924,0.5658914728682171,158.0
JavelinThrow,0.0,0.0,0.0,117.0
JugglingBalls,0.16363636363636364,0.0743801652892562,0.10227272727272728,121.0
JumpRope,0.0,0.0,0.0,144.0
JumpingJack,0.0,0.0,0.0,123.0
Kayaking,0.41739130434782606,0.3404255319148936,0.375,141.0
Knitting,0.6238532110091743,0.5528455284552846,0.5862068965517241,123.0
LongJump,0.0,0.0,0.0,131.0
Lunges,0.0,0.0,0.0,127.0
MilitaryParade,0.3181818181818182,0.392,0.35125448028673834,125.0
Mixing,0.9047619047619048,0.41911764705882354,0.5728643216080402,136.0
MoppingFloor,0.08163265306122448,0.14545454545454545,0.1045751633986928,110.0
Nunchucks,0.125,0.07575757575757576,0.09433962264150944,132.0
ParallelBars,0.27405247813411077,0.8245614035087719,0.41137855579868704,114.0
PizzaTossing,0.0,0.0,0.0,113.0
PlayingCello,0.757396449704142,0.7804878048780488,0.7687687687687688,164.0
