,precision,recall,f1-score,support
ApplyEyeMakeup,0.5652173913043478,0.6275862068965518,0.5947712418300654,145.0
ApplyLipstick,0.8529411764705882,0.2543859649122807,0.39189189189189194,114.0
Archery,0.5167785234899329,0.5310344827586206,0.5238095238095238,145.0
BabyCrawling,0.7108433734939759,0.44696969696969696,0.5488372093023256,132.0
BalanceBeam,0.30625,0.4537037037037037,0.36567164179104483,108.0
BandMarching,0.43455497382198954,0.535483870967742,0.47976878612716767,155.0
BaseballPitch,0.8633540372670807,0.9266666666666666,0.8938906752411575,150.0
Basketball,0.25149700598802394,0.6268656716417911,0.358974358974359,134.0
BasketballDunk,0.38461538461538464,0.22900763358778625,0.28708133971291866,131.0
BenchPress,0.024822695035460994,0.04375,0.031674208144796386,160.0
Biking,0.8717948717948718,0.7611940298507462,0.8127490039840637,134.0
Billiards,0.4501510574018127,0.9933333333333333,0.6195426195426196,150.0
BlowDryHair,0.0,0.0,0.0,131.0
BlowingCandles,0.8333333333333334,0.5045871559633027,0.6285714285714286,109.0
BodyWeightSquats,0.13063063063063063,0.25892857142857145,0.17365269461077842,112.0
Bowling,0.7817258883248731,0.9935483870967742,0.875,155.0
BoxingPunchingBag,0.5714285714285714,0.6134969325153374,0.5917159763313609,163.0
BoxingSpeedBag,0.0,0.0,0.0,134.0
BreastStroke,0.0,0.0,0.0,101.0
BrushingTeeth,0.5233644859813084,0.42748091603053434,0.47058823529411764,131.0
CleanAndJerk,0.0,0.0,0.0,112.0
CliffDiving,0.9206349206349206,0.42028985507246375,0.5771144278606966,138.0
CricketBowling,0.37244897959183676,0.5251798561151079,0.43582089552238806,139.0
CricketShot,0.0,0.0,0.0,167.0
CuttingInKitchen,0.22772277227722773,0.20909090909090908,0.21800947867298578,110.0
Diving,0.24285714285714285,0.5666666666666667,0.33999999999999997,150.0
Drumming,0.3,0.8198757763975155,0.4392678868552412,161.0
Fencing,0.5223880597014925,0.6306306306306306,0.5714285714285714,111.0
FieldHockeyPenalty,0.5094339622641509,0.6428571428571429,0.568421052631579,126.0
FloorGymnastics,0.07323943661971831,0.208,0.10833333333333334,125.0
FrisbeeCatch,0.0,0.0,0.0,126.0
FrontCrawl,0.0,0.0,0.0,137.0
GolfSwing,0.22678571428571428,0.9136690647482014,0.36337625178826893,139.0
Haircut,0.2889447236180904,0.8846153846153846,0.4356060606060606,130.0
HammerThrow,0.0,0.0,0.0,150.0
Hammering,1.0,0.02142857142857143,0.04195804195804196,140.0
HandstandPushups,0.07380073800738007,0.15625,0.10025062656641603,128.0
HandstandWalking,0.1590909090909091,0.06306306306306306,0.09032258064516129,111.0
HeadMassage,0.11428571428571428,0.05442176870748299,0.07373271889400922,147.0
HighJump,0.2743682310469314,0.6178861788617886,0.38,123.0
HorseRace,0.7283950617283951,0.9516129032258065,0.8251748251748251,124.0
HorseRiding,0.8547486033519553,0.9329268292682927,0.8921282798833818,164.0
HulaHoop,0.72,0.288,0.4114285714285714,125.0
IceDancing,0.441340782122905,1.0,0.6124031007751938,158.0
JavelinThrow,0.29411764705882354,0.042735042735042736,0.07462686567164178,117.0
JugglingBalls,0.28888888888888886,0.10743801652892562,0.1566265060240964,121.0
JumpRope,0.0,0.0,0.0,144.0
JumpingJack,0.0,0.0,0.0,123.0
Kayaking,0.5384615384615384,0.44680851063829785,0.4883720930232558,141.0
Knitting,0.7346938775510204,0.5853658536585366,0.6515837104072398,123.0
LongJump,0.0,0.0,0.0,131.0
Lunges,0.0,0.0,0.0,127.0
MilitaryParade,0.45569620253164556,0.288,0.3529411764705882,125.0
Mixing,0.5797101449275363,0.29411764705882354,0.3902439024390244,136.0
MoppingFloor,0.11206896551724138,0.11818181818181818,0.11504424778761063,110.0
Nunchucks,0.21428571428571427,0.09090909090909091,0.1276595744680851,132.0
ParallelBars,0.21231422505307856,0.8771929824561403,0.3418803418803419,114.0
PizzaTossing,0.5,0.1415929203539823,0.2206896551724138,113.0
PlayingCello,0.9577464788732394,0.8292682926829268,0.8888888888888888,164.0
