,precision,recall,f1-score,support
ApplyEyeMakeup,0.4474885844748858,0.6758620689655173,0.5384615384615385,145.0
ApplyLipstick,0.8,0.07017543859649122,0.12903225806451613,114.0
Archery,0.5419847328244275,0.4896551724137931,0.5144927536231885,145.0
BabyCrawling,0.5454545454545454,0.045454545454545456,0.08391608391608392,132.0
BalanceBeam,0.22707423580786026,0.48148148148148145,0.3086053412462908,108.0
BandMarching,0.0,0.0,0.0,155.0
BaseballPitch,0.4506578947368421,0.9133333333333333,0.6035242290748899,150.0
Basketball,0.25,0.3805970149253731,0.30177514792899407,134.0
BasketballDunk,0.4090909090909091,0.2748091603053435,0.3287671232876712,131.0
BenchPress,0.00684931506849315,0.00625,0.006535947712418301,160.0
Biking,0.691358024691358,0.835820895522388,0.7567567567567567,134.0
Billiards,0.5639097744360902,1.0,0.7211538461538463,150.0
BlowDryHair,0.0,0.0,0.0,131.0
BlowingCandles,0.77,0.7064220183486238,0.7368421052631579,109.0
BodyWeightSquats,0.07183364839319471,0.3392857142857143,0.11856474258970359,112.0
Bowling,0.6378600823045267,1.0,0.7788944723618091,155.0
BoxingPunchingBag,0.2793427230046948,0.7300613496932515,0.4040747028862479,163.0
BoxingSpeedBag,0.0,0.0,0.0,134.0
BreastStroke,0.0,0.0,0.0,101.0
BrushingTeeth,0.4318181818181818,0.2900763358778626,0.34703196347031967,131.0
CleanAndJerk,0.0,0.0,0.0,112.0
CliffDiving,0.7333333333333333,0.2391304347826087,0.36065573770491804,138.0
CricketBowling,0.37404580152671757,0.35251798561151076,0.36296296296296293,139.0
CricketShot,0.0,0.0,0.0,167.0
CuttingInKitchen,0.1839080459770115,0.14545454545454545,0.16243654822335024,110.0
Diving,0.1970260223048327,0.35333333333333333,0.2529832935560859,150.0
Drumming,0.3601190476190476,0.7515527950310559,0.48692152917505027,161.0
Fencing,0.3684210526315789,0.5045045045045045,0.4258555133079847,111.0
FieldHockeyPenalty,0.25416666666666665,0.48412698412698413,0.3333333333333333,126.0
FloorGymnastics,0.06753246753246753,0.208,0.10196078431372549,125.0
FrisbeeCatch,0.0,0.0,0.0,126.0
FrontCrawl,0.0,0.0,0.0,137.0
GolfSwing,0.24007220216606498,0.9568345323741008,0.3838383838383838,139.0
Haircut,0.2,0.6923076923076923,0.31034482758620696,130.0
HammerThrow,0.0,0.0,0.0,150.0
Hammering,1.0,0.06428571428571428,0.12080536912751677,140.0
HandstandPushups,0.10396039603960396,0.1640625,0.12727272727272726,128.0
HandstandWalking,0.047058823529411764,0.036036036036036036,0.04081632653061225,111.0
HeadMassage,0.0,0.0,0.0,147.0
HighJump,0.24788732394366197,0.7154471544715447,0.3682008368200837,123.0
HorseRace,0.6341463414634146,0.8387096774193549,0.7222222222222222,124.0
HorseRiding,0.8296296296296296,0.6829268292682927,0.7491638795986622,164.0
HulaHoop,0.926829268292683,0.304,0.45783132530120485,125.0
IceDancing,0.4025641025641026,0.9936708860759493,0.572992700729927,158.0
JavelinThrow,0.13793103448275862,0.03418803418803419,0.054794520547945216,117.0
JugglingBalls,0.25806451612903225,0.06611570247933884,0.10526315789473684,121.0
JumpRope,0.0,0.0,0.0,144.0
JumpingJack,0.0,0.0,0.0,123.0
Kayaking,0.24183006535947713,0.2624113475177305,0.25170068027210885,141.0
Knitting,0.8709677419354839,0.21951219512195122,0.35064935064935066,123.0
LongJump,0.5555555555555556,0.03816793893129771,0.07142857142857144,131.0
Lunges,0.15384615384615385,0.047244094488188976,0.07228915662650602,127.0
MilitaryParade,0.4676258992805755,0.52,0.49242424242424243,125.0
Mixing,0.8478260869565217,0.2867647058823529,0.4285714285714285,136.0
MoppingFloor,0.17647058823529413,0.13636363636363635,0.15384615384615383,110.0
Nunchucks,0.11627906976744186,0.07575757575757576,0.09174311926605504,132.0
ParallelBars,0.22695035460992907,0.8421052631578947,0.3575418994413408,114.0
PizzaTossing,0.0,0.0,0.0,113.0
PlayingCello,0.9785714285714285,0.8353658536585366,0.9013157894736842,164.0
PlayingDaf,0.0,0.0,0.0,151.0
PlayingDhol,0.01818181818181818,0.006097560975609756,0.009132420091324202,164.0
PlayingFlute,0.4891304347826087,0.8709677419354839,0.6264501160092807,155.0
PlayingGuitar,0.9,0.73125,0.8068965517241379,160.0
PlayingPiano,0.6223776223776224,0.8476190476190476,0.717741935483871,105.0
PlayingSitar,0.7323232323232324,0.9235668789808917,0.8169014084507044,157.0
PlayingTabla,0.4661016949152542,0.4954954954954955,0.48034934497816595,111.0
PlayingViolin,0.6794871794871795,0.53,0.5955056179775281,100.0
PoleVault,0.36363636363636365,0.08053691275167785,0.13186813186813187,149.0
PommelHorse,0.5935483870967742,0.7479674796747967,0.6618705035971223,123.0
PullUps,0.0,0.0,0.0,100.0
Punch,0.0,0.0,0.0,160.0
PushUps,0.0,0.0,0.0,102.0
Rafting,0.5279187817258884,0.9369369369369369,0.6753246753246753,111.0
RockClimbingIndoor,0.9655172413793104,0.3888888888888889,0.5544554455445544,144.0
RopeClimbing,0.02631578947368421,0.008403361344537815,0.012738853503184714,119.0
Rowing,0.50187265917603,0.9781021897810219,0.6633663366336634,137.0
SalsaSpin,0.0,0.0,0.0,133.0
ShavingBeard,0.549618320610687,0.4472049689440994,0.4931506849315069,161.0
Shotput,0.08247422680412371,0.05555555555555555,0.06639004149377592,144.0
SkateBoarding,0.3142857142857143,0.18333333333333332,0.23157894736842102,120.0
Skiing,0.6787878787878788,0.8296296296296296,0.7466666666666667,135.0
Skijet,0.0,0.0,0.0,100.0
SkyDiving,0.5528455284552846,0.6181818181818182,0.5836909871244635,110.0
SoccerJuggling,0.10833333333333334,0.08843537414965986,0.09737827715355807,147.0
SoccerPenalty,0.4713114754098361,0.8394160583941606,0.6036745406824148,137.0
StillRings,0.0,0.0,0.0,112.0
SumoWrestling,0.611764705882353,0.896551724137931,0.7272727272727274,116.0
Surfing,0.5619047619047619,0.9365079365079365,0.7023809523809524,126.0
Swing,0.3126934984520124,0.7709923664122137,0.44493392070484583,131.0
TableTennisShot,0.4354066985645933,0.65,0.5214899713467048,140.0
TaiChi,0.030303030303030304,0.02,0.024096385542168672,100.0
TennisSwing,0.4669421487603306,0.6807228915662651,0.5539215686274509,166.0
ThrowDiscus,0.0,0.0,0.0,130.0
TrampolineJumping,0.5714285714285714,0.7058823529411765,0.6315789473684211,119.0
Typing,0.8450704225352113,0.8823529411764706,0.8633093525179857,136.0
UnevenBars,0.5783132530120482,0.46153846153846156,0.5133689839572193,104.0
VolleyballSpiking,0.38596491228070173,0.1896551724137931,0.2543352601156069,116.0
WalkingWithDog,0.7377049180327869,0.36585365853658536,0.4891304347826087,123.0
WallPushups,0.0,0.0,0.0,130.0
WritingOnBoard,0.14018691588785046,0.09868421052631579,0.11583011583011582,152.0
YoYo,0.0,0.0,0.0,128.0
accuracy,0.3780780780780781,0.3780780780780781,0.3780780780780781,0.3780780780780781
macro avg,0.34306032862715613,0.369866469605577,0.31452847021681657,13320.0
weighted avg,0.34778220032996,0.3780780780780781,0.32073346002219144,13320.0
