,precision,recall,f1-score,support
ApplyEyeMakeup,0.4125,0.6827586206896552,0.5142857142857143,145.0
ApplyLipstick,0.6428571428571429,0.07894736842105263,0.140625,114.0
Archery,0.5581395348837209,0.496551724137931,0.5255474452554745,145.0
BabyCrawling,0.6,0.045454545454545456,0.08450704225352113,132.0
BalanceBeam,0.21818181818181817,0.4444444444444444,0.2926829268292683,108.0
BandMarching,0.0,0.0,0.0,155.0
BaseballPitch,0.5506072874493927,0.9066666666666666,0.6851385390428212,150.0
Basketball,0.2191780821917808,0.3582089552238806,0.2719546742209632,134.0
BasketballDunk,0.4166666666666667,0.22900763358778625,0.2955665024630542,131.0
BenchPress,0.0,0.0,0.0,160.0
Biking,0.691358024691358,0.835820895522388,0.7567567567567567,134.0
Billiards,0.7425742574257426,1.0,0.8522727272727273,150.0
BlowDryHair,0.0,0.0,0.0,131.0
BlowingCandles,0.7714285714285715,0.7431192660550459,0.7570093457943925,109.0
BodyWeightSquats,0.0709812108559499,0.30357142857142855,0.11505922165820644,112.0
Bowling,0.5740740740740741,1.0,0.7294117647058824,155.0
BoxingPunchingBag,0.30456852791878175,0.7361963190184049,0.4308797127468582,163.0
BoxingSpeedBag,0.03333333333333333,0.03731343283582089,0.035211267605633804,134.0
BreastStroke,0.0,0.0,0.0,101.0
BrushingTeeth,0.29850746268656714,0.15267175572519084,0.202020202020202,131.0
CleanAndJerk,0.0,0.0,0.0,112.0
CliffDiving,0.8,0.3188405797101449,0.45595854922279794,138.0
CricketBowling,0.336322869955157,0.539568345323741,0.4143646408839779,139.0
CricketShot,0.25,0.005988023952095809,0.011695906432748539,167.0
CuttingInKitchen,0.15454545454545454,0.15454545454545454,0.15454545454545454,110.0
Diving,0.2147887323943662,0.4066666666666667,0.28110599078341014,150.0
Drumming,0.36578171091445427,0.7701863354037267,0.496,161.0
Fencing,0.3505747126436782,0.5495495495495496,0.42807017543859655,111.0
FieldHockeyPenalty,0.2644628099173554,0.25396825396825395,0.2591093117408907,126.0
FloorGymnastics,0.05527638190954774,0.176,0.0841300191204589,125.0
FrisbeeCatch,0.0,0.0,0.0,126.0
FrontCrawl,0.0,0.0,0.0,137.0
GolfSwing,0.24036697247706423,0.9424460431654677,0.3830409356725147,139.0
Haircut,0.24186046511627907,0.8,0.3714285714285715,130.0
HammerThrow,0.0,0.0,0.0,150.0
Hammering,0.8235294117647058,0.1,0.178343949044586,140.0
HandstandPushups,0.07035175879396985,0.109375,0.08562691131498472,128.0
HandstandWalking,0.05434782608695652,0.04504504504504504,0.04926108374384236,111.0
HeadMassage,0.0,0.0,0.0,147.0
HighJump,0.2673611111111111,0.6260162601626016,0.37469586374695857,123.0
HorseRace,0.6751592356687898,0.8548387096774194,0.7544483985765125,124.0
HorseRiding,0.8920863309352518,0.7560975609756098,0.8184818481848185,164.0
HulaHoop,0.9487179487179487,0.296,0.4512195121951219,125.0
IceDancing,0.41578947368421054,1.0,0.587360594795539,158.0
JavelinThrow,0.26,0.2222222222222222,0.23963133640552994,117.0
JugglingBalls,0.21052631578947367,0.03305785123966942,0.05714285714285715,121.0
JumpRope,0.0,0.0,0.0,144.0
JumpingJack,0.0,0.0,0.0,123.0
Kayaking,0.31451612903225806,0.2765957446808511,0.2943396226415094,141.0
Knitting,0.9310344827586207,0.21951219512195122,0.3552631578947368,123.0
LongJump,0.4830508474576271,0.4351145038167939,0.45783132530120485,131.0
Lunges,0.10869565217391304,0.03937007874015748,0.057803468208092484,127.0
MilitaryParade,0.44155844155844154,0.544,0.4874551971326165,125.0
Mixing,1.0,0.4264705882352941,0.5979381443298969,136.0
MoppingFloor,0.1875,0.16363636363636364,0.17475728155339806,110.0
Nunchucks,0.10476190476190476,0.08333333333333333,0.09282700421940929,132.0
ParallelBars,0.18804920913884007,0.9385964912280702,0.3133235724743777,114.0
PizzaTossing,0.0,0.0,0.0,113.0
PlayingCello,0.9379310344827586,0.8292682926829268,0.8802588996763754,164.0
PlayingDaf,0.0,0.0,0.0,151.0
PlayingDhol,0.0,0.0,0.0,164.0
PlayingFlute,0.4962962962962963,0.864516129032258,0.6305882352941177,155.0
PlayingGuitar,0.9022556390977443,0.75,0.8191126279863481,160.0
PlayingPiano,0.593103448275862,0.819047619047619,0.688,105.0
PlayingSitar,0.7717391304347826,0.9044585987261147,0.8328445747800587,157.0
PlayingTabla,0.35555555555555557,0.43243243243243246,0.3902439024390244,111.0
PlayingViolin,0.9019607843137255,0.46,0.609271523178808,100.0
PoleVault,0.3870967741935484,0.08053691275167785,0.13333333333333333,149.0
PommelHorse,0.5670731707317073,0.7560975609756098,0.6480836236933797,123.0
PullUps,0.0,0.0,0.0,100.0
Punch,0.0,0.0,0.0,160.0
PushUps,0.0,0.0,0.0,102.0
Rafting,0.5306122448979592,0.9369369369369369,0.6775244299674268,111.0
RockClimbingIndoor,0.8909090909090909,0.3402777777777778,0.49246231155778897,144.0
RopeClimbing,0.06666666666666667,0.008403361344537815,0.014925373134328358,119.0
Rowing,0.5094339622641509,0.9854014598540146,0.6716417910447762,137.0
SalsaSpin,0.0,0.0,0.0,133.0
ShavingBeard,0.6396396396396397,0.4409937888198758,0.5220588235294118,161.0
Shotput,0.175,0.04861111111111111,0.07608695652173914,144.0
SkateBoarding,0.3333333333333333,0.16666666666666666,0.2222222222222222,120.0
Skiing,0.7567567567567568,0.8296296296296296,0.7915194346289752,135.0
Skijet,0.0,0.0,0.0,100.0
SkyDiving,0.5038759689922481,0.5909090909090909,0.5439330543933055,110.0
SoccerJuggling,0.125,0.006802721088435374,0.012903225806451611,147.0
SoccerPenalty,0.3855072463768116,0.9708029197080292,0.5518672199170124,137.0
StillRings,0.0,0.0,0.0,112.0
SumoWrestling,0.660377358490566,0.9051724137931034,0.7636363636363637,116.0
Surfing,0.5769230769230769,0.9523809523809523,0.718562874251497,126.0
Swing,0.26884422110552764,0.816793893129771,0.4045368620037807,131.0
TableTennisShot,0.4818181818181818,0.7571428571428571,0.5888888888888888,140.0
TaiChi,0.0425531914893617,0.02,0.0272108843537415,100.0
TennisSwing,0.4684014869888476,0.7590361445783133,0.5793103448275863,166.0
ThrowDiscus,0.0,0.0,0.0,130.0
TrampolineJumping,0.55,0.6470588235294118,0.5945945945945946,119.0
Typing,0.8424657534246576,0.9044117647058824,0.8723404255319149,136.0
UnevenBars,0.0,0.0,0.0,104.0
VolleyballSpiking,0.35714285714285715,0.1724137931034483,0.23255813953488377,116.0
WalkingWithDog,0.6052631578947368,0.37398373983739835,0.4623115577889447,123.0
WallPushups,0.0,0.0,0.0,130.0
WritingOnBoard,0.23711340206185566,0.1513157894736842,0.18473895582329317,152.0
YoYo,0.0,0.0,0.0,128.0
accuracy,0.3845345345345345,0.3845345345345345,0.3845345345345345,0.3845345345345345
macro avg,0.34333288727238215,0.37444829146459696,0.31775941565769567,13320.0
weighted avg,0.35078739858177704,0.3845345345345345,0.32599370302341735,13320.0
