,precision,recall,f1-score,support
ApplyEyeMakeup,0.3893805309734513,0.30344827586206896,0.34108527131782945,145.0
ApplyLipstick,0.6666666666666666,0.017543859649122806,0.03418803418803419,114.0
Archery,0.6862745098039216,0.2413793103448276,0.35714285714285715,145.0
BabyCrawling,0.3235294117647059,0.25,0.2820512820512821,132.0
BalanceBeam,0.46987951807228917,0.3611111111111111,0.4083769633507853,108.0
BandMarching,0.24786324786324787,0.1870967741935484,0.21323529411764708,155.0
BaseballPitch,0.2869022869022869,0.92,0.4374009508716324,150.0
Basketball,0.2222222222222222,0.7164179104477612,0.33922261484098937,134.0
BasketballDunk,0.48333333333333334,0.22137404580152673,0.3036649214659686,131.0
BenchPress,0.0,0.0,0.0,160.0
Biking,0.7090909090909091,0.582089552238806,0.6393442622950819,134.0
Billiards,0.4125874125874126,0.3933333333333333,0.40273037542662116,150.0
BlowDryHair,0.0,0.0,0.0,131.0
BlowingCandles,0.2962962962962963,0.07339449541284404,0.11764705882352942,109.0
BodyWeightSquats,0.018518518518518517,0.008928571428571428,0.012048192771084338,112.0
Bowling,0.6652360515021459,1.0,0.7989690721649485,155.0
BoxingPunchingBag,0.21357285429141717,0.656441717791411,0.32228915662650603,163.0
BoxingSpeedBag,0.02,0.007462686567164179,0.010869565217391304,134.0
BreastStroke,0.0,0.0,0.0,101.0
BrushingTeeth,0.7777777777777778,0.10687022900763359,0.1879194630872483,131.0
CleanAndJerk,0.0,0.0,0.0,112.0
CliffDiving,0.8103448275862069,0.34057971014492755,0.4795918367346939,138.0
CricketBowling,0.5,0.06474820143884892,0.11464968152866241,139.0
CricketShot,0.0,0.0,0.0,167.0
CuttingInKitchen,0.12449799196787148,0.2818181818181818,0.17270194986072424,110.0
Diving,0.10619469026548672,0.08,0.09125475285171103,150.0
Drumming,0.21753246753246752,0.4161490683229814,0.28571428571428575,161.0
Fencing,0.39344262295081966,0.21621621621621623,0.27906976744186046,111.0
FieldHockeyPenalty,0.22432432432432434,0.6587301587301587,0.33467741935483875,126.0
FloorGymnastics,0.01037037037037037,0.056,0.017499999999999998,125.0
FrisbeeCatch,0.0,0.0,0.0,126.0
FrontCrawl,0.0,0.0,0.0,137.0
GolfSwing,0.2113144758735441,0.9136690647482014,0.3432432432432433,139.0
Haircut,0.21223021582733814,0.9076923076923077,0.3440233236151604,130.0
HammerThrow,0.0,0.0,0.0,150.0
Hammering,0.8,0.02857142857142857,0.05517241379310345,140.0
HandstandPushups,0.009433962264150943,0.0078125,0.008547008547008548,128.0
HandstandWalking,0.10476190476190476,0.0990990990990991,0.10185185185185185,111.0
HeadMassage,0.008264462809917356,0.006802721088435374,0.007462686567164178,147.0
HighJump,0.375,0.0975609756097561,0.1548387096774194,123.0
HorseRace,0.4103448275862069,0.9596774193548387,0.5748792270531401,124.0
HorseRiding,0.6595744680851063,0.18902439024390244,0.29383886255924174,164.0
HulaHoop,0.5714285714285714,0.064,0.11510791366906473,125.0
IceDancing,0.2958801498127341,1.0,0.45664739884393063,158.0
JavelinThrow,0.0,0.0,0.0,117.0
JugglingBalls,0.2,0.03305785123966942,0.056737588652482275,121.0
JumpRope,0.0,0.0,0.0,144.0
JumpingJack,0.0,0.0,0.0,123.0
Kayaking,0.03676470588235294,0.03546099290780142,0.036101083032490974,141.0
Knitting,0.0,0.0,0.0,123.0
LongJump,0.0,0.0,0.0,131.0
Lunges,0.0,0.0,0.0,127.0
MilitaryParade,0.574468085106383,0.216,0.313953488372093,125.0
Mixing,0.06521739130434782,0.11029411764705882,0.08196721311475409,136.0
MoppingFloor,0.06060606060606061,0.10909090909090909,0.07792207792207793,110.0
Nunchucks,0.075,0.022727272727272728,0.03488372093023256,132.0
ParallelBars,0.21283783783783783,0.5526315789473685,0.3073170731707317,114.0
PizzaTossing,0.21875,0.061946902654867256,0.09655172413793105,113.0
PlayingCello,0.5746606334841629,0.774390243902439,0.6597402597402597,164.0
PlayingDaf,0.0,0.0,0.0,151.0
PlayingDhol,0.0,0.0,0.0,164.0
PlayingFlute,0.8269230769230769,0.5548387096774193,0.664092664092664,155.0
PlayingGuitar,0.9866666666666667,0.4625,0.6297872340425532,160.0
PlayingPiano,0.2773972602739726,0.7714285714285715,0.4080604534005038,105.0
PlayingSitar,0.8874172185430463,0.8535031847133758,0.8701298701298702,157.0
PlayingTabla,1.0,0.07207207207207207,0.13445378151260504,111.0
PlayingViolin,0.19298245614035087,0.11,0.14012738853503184,100.0
PoleVault,0.1702127659574468,0.053691275167785234,0.08163265306122448,149.0
PommelHorse,0.8,0.6504065040650406,0.7174887892376682,123.0
PullUps,0.0,0.0,0.0,100.0
Punch,0.0,0.0,0.0,160.0
PushUps,0.0,0.0,0.0,102.0
Rafting,0.4711111111111111,0.954954954954955,0.6309523809523809,111.0
RockClimbingIndoor,0.0,0.0,0.0,144.0
RopeClimbing,0.0,0.0,0.0,119.0
Rowing,0.5816326530612245,0.8321167883211679,0.6846846846846846,137.0
SalsaSpin,0.0,0.0,0.0,133.0
ShavingBeard,0.21875,0.21739130434782608,0.21806853582554517,161.0
Shotput,0.08273381294964029,0.1597222222222222,0.10900473933649289,144.0
SkateBoarding,0.19617224880382775,0.3416666666666667,0.24924012158054712,120.0
Skiing,0.6927710843373494,0.8518518518518519,0.7641196013289037,135.0
Skijet,0.0,0.0,0.0,100.0
SkyDiving,0.49390243902439024,0.7363636363636363,0.5912408759124087,110.0
SoccerJuggling,0.07692307692307693,0.006802721088435374,0.0125,147.0
SoccerPenalty,0.40836012861736337,0.927007299270073,0.5669642857142858,137.0
StillRings,0.0,0.0,0.0,112.0
SumoWrestling,0.2694300518134715,0.896551724137931,0.4143426294820717,116.0
Surfing,0.49122807017543857,0.8888888888888888,0.632768361581921,126.0
Swing,0.6419753086419753,0.3969465648854962,0.49056603773584906,131.0
TableTennisShot,0.34615384615384615,0.5785714285714286,0.43315508021390375,140.0
TaiChi,0.1111111111111111,0.08,0.09302325581395349,100.0
TennisSwing,0.65,0.23493975903614459,0.3451327433628319,166.0
ThrowDiscus,0.0,0.0,0.0,130.0
TrampolineJumping,0.2851851851851852,0.6470588235294118,0.39588688946015427,119.0
Typing,0.7156862745098039,0.5367647058823529,0.6134453781512605,136.0
UnevenBars,0.0,0.0,0.0,104.0
VolleyballSpiking,0.07407407407407407,0.034482758620689655,0.047058823529411764,116.0
WalkingWithDog,0.13333333333333333,0.11382113821138211,0.12280701754385964,123.0
WallPushups,0.0,0.0,0.0,130.0
WritingOnBoard,0.08823529411764706,0.039473684210526314,0.05454545454545454,152.0
YoYo,0.0,0.0,0.0,128.0
accuracy,0.2774774774774775,0.2774774774774775,0.2774774774774775,0.2774774774774775
macro avg,0.2685420311265663,0.2708362418175421,0.21999417453967957,13320.0
weighted avg,0.2755161504777959,0.2774774774774775,0.2268051441269191,13320.0
