,precision,recall,f1-score,support
ApplyEyeMakeup,0.044444444444444446,0.013793103448275862,0.021052631578947368,145.0
ApplyLipstick,0.0,0.0,0.0,114.0
Archery,0.34782608695652173,0.05517241379310345,0.09523809523809523,145.0
BabyCrawling,0.2689655172413793,0.29545454545454547,0.2815884476534296,132.0
BalanceBeam,0.0,0.0,0.0,108.0
BandMarching,0.0,0.0,0.0,155.0
BaseballPitch,0.23979591836734693,0.94,0.38211382113821135,150.0
Basketball,0.15881326352530542,0.6791044776119403,0.25742574257425743,134.0
BasketballDunk,0.8648648648648649,0.24427480916030533,0.380952380952381,131.0
BenchPress,0.0,0.0,0.0,160.0
Biking,0.13333333333333333,0.04477611940298507,0.0670391061452514,134.0
Billiards,0.779874213836478,0.8266666666666667,0.8025889967637541,150.0
BlowDryHair,0.0,0.0,0.0,131.0
BlowingCandles,0.043478260869565216,0.009174311926605505,0.015151515151515154,109.0
BodyWeightSquats,0.05,0.008928571428571428,0.015151515151515152,112.0
Bowling,0.7013574660633484,1.0,0.8244680851063829,155.0
BoxingPunchingBag,0.064,0.44171779141104295,0.11180124223602486,163.0
BoxingSpeedBag,0.00980392156862745,0.007462686567164179,0.00847457627118644,134.0
BreastStroke,0.0,0.0,0.0,101.0
BrushingTeeth,0.5833333333333334,0.10687022900763359,0.1806451612903226,131.0
CleanAndJerk,0.0,0.0,0.0,112.0
CliffDiving,0.6428571428571429,0.2608695652173913,0.3711340206185567,138.0
CricketBowling,0.0,0.0,0.0,139.0
CricketShot,0.0,0.0,0.0,167.0
CuttingInKitchen,0.10191082802547771,0.2909090909090909,0.15094339622641512,110.0
Diving,0.0,0.0,0.0,150.0
Drumming,0.0,0.0,0.0,161.0
Fencing,0.0,0.0,0.0,111.0
FieldHockeyPenalty,0.1828978622327791,0.6111111111111112,0.28153564899451555,126.0
FloorGymnastics,0.003875968992248062,0.024,0.006674082313681868,125.0
FrisbeeCatch,0.0,0.0,0.0,126.0
FrontCrawl,0.0,0.0,0.0,137.0
GolfSwing,0.22359154929577466,0.9136690647482014,0.3592644978783593,139.0
Haircut,0.1900958466453674,0.9153846153846154,0.3148148148148148,130.0
HammerThrow,0.0,0.0,0.0,150.0
Hammering,0.09090909090909091,0.007142857142857143,0.013245033112582781,140.0
HandstandPushups,0.0,0.0,0.0,128.0
HandstandWalking,0.05333333333333334,0.10810810810810811,0.07142857142857144,111.0
HeadMassage,0.0,0.0,0.0,147.0
HighJump,0.0,0.0,0.0,123.0
HorseRace,0.3814102564102564,0.9596774193548387,0.5458715596330275,124.0
HorseRiding,0.22727272727272727,0.06097560975609756,0.09615384615384616,164.0
HulaHoop,0.0,0.0,0.0,125.0
IceDancing,0.20492866407263294,1.0,0.3401506996770721,158.0
JavelinThrow,0.0,0.0,0.0,117.0
JugglingBalls,0.0,0.0,0.0,121.0
JumpRope,0.02197802197802198,0.013888888888888888,0.01702127659574468,144.0
JumpingJack,0.0,0.0,0.0,123.0
Kayaking,0.0,0.0,0.0,141.0
Knitting,0.0,0.0,0.0,123.0
LongJump,0.0,0.0,0.0,131.0
Lunges,0.0,0.0,0.0,127.0
MilitaryParade,0.45454545454545453,0.2,0.2777777777777778,125.0
Mixing,0.03821656050955414,0.08823529411764706,0.05333333333333333,136.0
MoppingFloor,0.04262295081967213,0.11818181818181818,0.06265060240963854,110.0
Nunchucks,0.0,0.0,0.0,132.0
ParallelBars,0.0,0.0,0.0,114.0
PizzaTossing,0.23255813953488372,0.08849557522123894,0.1282051282051282,113.0
PlayingCello,0.1134453781512605,0.16463414634146342,0.13432835820895522,164.0
PlayingDaf,0.0,0.0,0.0,151.0
PlayingDhol,0.0,0.0,0.0,164.0
PlayingFlute,0.0,0.0,0.0,155.0
PlayingGuitar,0.0,0.0,0.0,160.0
