,precision,recall,f1-score,support
ApplyEyeMakeup,0.044444444444444446,0.013793103448275862,0.021052631578947368,145.0
ApplyLipstick,0.0,0.0,0.0,114.0
Archery,0.34782608695652173,0.05517241379310345,0.09523809523809523,145.0
BabyCrawling,0.2689655172413793,0.29545454545454547,0.2815884476534296,132.0
BalanceBeam,0.0,0.0,0.0,108.0
BandMarching,0.0,0.0,0.0,155.0
BaseballPitch,0.19583333333333333,0.94,0.32413793103448274,150.0
Basketball,0.15853658536585366,0.6791044776119403,0.25706214689265533,134.0
BasketballDunk,0.84375,0.20610687022900764,0.33128834355828224,131.0
BenchPress,0.0,0.0,0.0,160.0
Biking,0.13043478260869565,0.04477611940298507,0.06666666666666667,134.0
Billiards,0.7848101265822784,0.8266666666666667,0.8051948051948051,150.0
BlowDryHair,0.0,0.0,0.0,131.0
BlowingCandles,0.041666666666666664,0.009174311926605505,0.015037593984962407,109.0
BodyWeightSquats,0.0625,0.008928571428571428,0.015625,112.0
Bowling,0.7045454545454546,1.0,0.8266666666666667,155.0
BoxingPunchingBag,0.06433301797540208,0.4171779141104294,0.11147540983606558,163.0
BoxingSpeedBag,0.008,0.007462686567164179,0.007722007722007722,134.0
BreastStroke,0.0,0.0,0.0,101.0
BrushingTeeth,0.5833333333333334,0.10687022900763359,0.1806451612903226,131.0
CleanAndJerk,0.0,0.0,0.0,112.0
CliffDiving,0.6825396825396826,0.3115942028985507,0.42786069651741293,138.0
CricketBowling,0.0,0.0,0.0,139.0
CricketShot,0.0,0.0,0.0,167.0
CuttingInKitchen,0.10596026490066225,0.2909090909090909,0.15533980582524273,110.0
Diving,0.0,0.0,0.0,150.0
Drumming,0.0,0.0,0.0,161.0
Fencing,0.0,0.0,0.0,111.0
FieldHockeyPenalty,0.30985915492957744,0.5238095238095238,0.3893805309734514,126.0
FloorGymnastics,0.003931847968545216,0.024,0.006756756756756757,125.0
FrisbeeCatch,0.0,0.0,0.0,126.0
FrontCrawl,0.0,0.0,0.0,137.0
GolfSwing,0.2170940170940171,0.9136690647482014,0.35082872928176795,139.0
Haircut,0.1907051282051282,0.9153846153846154,0.3156498673740053,130.0
HammerThrow,0.0,0.0,0.0,150.0
Hammering,0.09090909090909091,0.007142857142857143,0.013245033112582781,140.0
HandstandPushups,0.0,0.0,0.0,128.0
HandstandWalking,0.034482758620689655,0.06306306306306306,0.044585987261146494,111.0
HeadMassage,0.0,0.0,0.0,147.0
HighJump,0.0,0.0,0.0,123.0
HorseRace,0.3801916932907348,0.9596774193548387,0.5446224256292906,124.0
HorseRiding,0.22727272727272727,0.06097560975609756,0.09615384615384616,164.0
HulaHoop,0.0,0.0,0.0,125.0
IceDancing,0.2051948051948052,1.0,0.3405172413793104,158.0
JavelinThrow,0.0,0.0,0.0,117.0
JugglingBalls,0.0,0.0,0.0,121.0
JumpRope,0.02197802197802198,0.013888888888888888,0.01702127659574468,144.0
JumpingJack,0.0,0.0,0.0,123.0
Kayaking,0.0,0.0,0.0,141.0
Knitting,0.0,0.0,0.0,123.0
LongJump,0.0,0.0,0.0,131.0
Lunges,0.0,0.0,0.0,127.0
MilitaryParade,0.45454545454545453,0.2,0.2777777777777778,125.0
Mixing,0.038338658146964855,0.08823529411764706,0.05345211581291759,136.0
MoppingFloor,0.042801556420233464,0.1,0.05994550408719347,110.0
Nunchucks,0.0,0.0,0.0,132.0
ParallelBars,0.0,0.0,0.0,114.0
PizzaTossing,0.23255813953488372,0.08849557522123894,0.1282051282051282,113.0
PlayingCello,0.1134453781512605,0.16463414634146342,0.13432835820895522,164.0
PlayingDaf,0.0,0.0,0.0,151.0
PlayingDhol,0.0,0.0,0.0,164.0
PlayingFlute,0.0,0.0,0.0,155.0
PlayingGuitar,0.0,0.0,0.0,160.0
