,precision,recall,f1-score,support
ApplyEyeMakeup,0.477124183006536,0.503448275862069,0.48993288590604034,145.0
ApplyLipstick,0.40860215053763443,0.3333333333333333,0.3671497584541063,114.0
Archery,0.37894736842105264,0.496551724137931,0.42985074626865677,145.0
BabyCrawling,0.6,0.13636363636363635,0.22222222222222218,132.0
BalanceBeam,0.21810699588477367,0.49074074074074076,0.30199430199430205,108.0
BandMarching,0.5,0.09032258064516129,0.1530054644808743,155.0
BaseballPitch,0.6135265700483091,0.8466666666666667,0.7114845938375349,150.0
Basketball,0.22093023255813954,0.4253731343283582,0.2908163265306123,134.0
BasketballDunk,0.0,0.0,0.0,131.0
BenchPress,0.0,0.0,0.0,160.0
Biking,0.8582089552238806,0.8582089552238806,0.8582089552238806,134.0
Billiards,0.7692307692307693,1.0,0.8695652173913044,150.0
BlowDryHair,0.5789473684210527,0.08396946564885496,0.14666666666666667,131.0
BlowingCandles,0.5084745762711864,0.5504587155963303,0.5286343612334802,109.0
BodyWeightSquats,0.1564245810055866,0.25,0.19243986254295534,112.0
Bowling,0.722488038277512,0.9741935483870968,0.8296703296703297,155.0
BoxingPunchingBag,0.289002557544757,0.6932515337423313,0.407942238267148,163.0
BoxingSpeedBag,0.0,0.0,0.0,134.0
BreastStroke,0.0,0.0,0.0,101.0
BrushingTeeth,0.45454545454545453,0.3053435114503817,0.365296803652968,131.0
CleanAndJerk,0.0,0.0,0.0,112.0
CliffDiving,0.5974025974025974,0.3333333333333333,0.42790697674418604,138.0
CricketBowling,0.3684210526315789,0.050359712230215826,0.08860759493670885,139.0
CricketShot,0.3197278911564626,0.281437125748503,0.29936305732484075,167.0
CuttingInKitchen,0.22058823529411764,0.13636363636363635,0.16853932584269662,110.0
Diving,0.17902813299232737,0.4666666666666667,0.2587800369685767,150.0
Drumming,0.26526315789473687,0.782608695652174,0.3962264150943397,161.0
Fencing,0.4,0.5225225225225225,0.453125,111.0
FieldHockeyPenalty,0.2669491525423729,0.5,0.3480662983425415,126.0
FloorGymnastics,0.05,0.136,0.07311827956989247,125.0
FrisbeeCatch,0.0,0.0,0.0,126.0
FrontCrawl,0.0,0.0,0.0,137.0
GolfSwing,0.2685589519650655,0.8848920863309353,0.41206030150753775,139.0
Haircut,0.15625,0.34615384615384615,0.215311004784689,130.0
HammerThrow,0.0,0.0,0.0,150.0
Hammering,0.3888888888888889,0.2,0.2641509433962264,140.0
HandstandPushups,0.0,0.0,0.0,128.0
HandstandWalking,0.0,0.0,0.0,111.0
HeadMassage,0.11009174311926606,0.08163265306122448,0.09375,147.0
HighJump,0.22167487684729065,0.36585365853658536,0.27607361963190186,123.0
HorseRace,0.8114754098360656,0.7983870967741935,0.8048780487804876,124.0
HorseRiding,0.7980295566502463,0.9878048780487805,0.8828337874659401,164.0
HulaHoop,0.6944444444444444,0.2,0.31055900621118016,125.0
IceDancing,0.5816733067729084,0.9240506329113924,0.7139364303178485,158.0
JavelinThrow,0.2702702702702703,0.08547008547008547,0.12987012987012986,117.0
