,precision,recall,f1-score,support
ApplyEyeMakeup,0.372972972972973,0.47586206896551725,0.41818181818181815,145.0
ApplyLipstick,0.5135135135135135,0.5,0.5066666666666666,114.0
Archery,0.3877551020408163,0.5241379310344828,0.44574780058651026,145.0
BabyCrawling,0.7142857142857143,0.1893939393939394,0.29940119760479045,132.0
BalanceBeam,0.2459016393442623,0.5555555555555556,0.3409090909090909,108.0
BandMarching,0.5230769230769231,0.21935483870967742,0.3090909090909091,155.0
BaseballPitch,0.5604838709677419,0.9266666666666666,0.6984924623115577,150.0
Basketball,0.23741007194244604,0.4925373134328358,0.32038834951456313,134.0
BasketballDunk,0.0,0.0,0.0,131.0
BenchPress,0.03773584905660377,0.0125,0.018779342723004695,160.0
Biking,0.9097744360902256,0.9029850746268657,0.906367041198502,134.0
Billiards,0.7936507936507936,1.0,0.8849557522123894,150.0
BlowDryHair,0.3888888888888889,0.05343511450381679,0.09395973154362415,131.0
BlowingCandles,0.4690265486725664,0.48623853211009177,0.4774774774774775,109.0
BodyWeightSquats,0.15204678362573099,0.23214285714285715,0.18374558303886926,112.0
Bowling,0.8201058201058201,1.0,0.9011627906976745,155.0
BoxingPunchingBag,0.307909604519774,0.6687116564417178,0.42166344294003866,163.0
BoxingSpeedBag,0.0,0.0,0.0,134.0
BreastStroke,0.0,0.0,0.0,101.0
BrushingTeeth,0.4342105263157895,0.25190839694656486,0.31884057971014496,131.0
CleanAndJerk,0.0,0.0,0.0,112.0
CliffDiving,0.7166666666666667,0.3115942028985507,0.43434343434343436,138.0
CricketBowling,0.0,0.0,0.0,139.0
CricketShot,0.29015544041450775,0.33532934131736525,0.3111111111111111,167.0
CuttingInKitchen,0.23140495867768596,0.2545454545454545,0.2424242424242424,110.0
Diving,0.19489559164733178,0.56,0.2891566265060241,150.0
Drumming,0.28941176470588237,0.7639751552795031,0.4197952218430035,161.0
Fencing,0.35514018691588783,0.34234234234234234,0.3486238532110092,111.0
FieldHockeyPenalty,0.3395061728395062,0.4365079365079365,0.38194444444444453,126.0
FloorGymnastics,0.06976744186046512,0.264,0.11036789297658862,125.0
FrisbeeCatch,0.0,0.0,0.0,126.0
FrontCrawl,0.0,0.0,0.0,137.0
GolfSwing,0.2681318681318681,0.8776978417266187,0.41077441077441074,139.0
Haircut,0.4087301587301587,0.7923076923076923,0.5392670157068062,130.0
HammerThrow,0.0,0.0,0.0,150.0
Hammering,0.5892857142857143,0.2357142857142857,0.33673469387755106,140.0
HandstandPushups,0.0,0.0,0.0,128.0
HandstandWalking,0.0,0.0,0.0,111.0
HeadMassage,0.33121019108280253,0.35374149659863946,0.34210526315789475,147.0
HighJump,0.2558139534883721,0.35772357723577236,0.2983050847457627,123.0
HorseRace,0.7628205128205128,0.9596774193548387,0.85,124.0
HorseRiding,0.817258883248731,0.9817073170731707,0.89196675900277,164.0
