,precision,recall,f1-score,support
ApplyEyeMakeup,0.45893719806763283,0.6551724137931034,0.5397727272727272,145.0
ApplyLipstick,0.6086956521739131,0.24561403508771928,0.35,114.0
Archery,0.5585585585585585,0.42758620689655175,0.48437499999999994,145.0
BabyCrawling,0.875,0.10606060606060606,0.1891891891891892,132.0
BalanceBeam,0.2109375,0.5,0.2967032967032967,108.0
BandMarching,0.7114093959731543,0.6838709677419355,0.6973684210526316,155.0
BaseballPitch,0.36533333333333334,0.9133333333333333,0.521904761904762,150.0
Basketball,0.1282051282051282,0.07462686567164178,0.09433962264150944,134.0
BasketballDunk,0.25203252032520324,0.2366412213740458,0.24409448818897636,131.0
BenchPress,0.0,0.0,0.0,160.0
Biking,0.912621359223301,0.7014925373134329,0.7932489451476794,134.0
Billiards,0.8620689655172413,1.0,0.9259259259259259,150.0
BlowDryHair,0.0,0.0,0.0,131.0
BlowingCandles,0.78,0.7155963302752294,0.7464114832535885,109.0
BodyWeightSquats,0.0,0.0,0.0,112.0
Bowling,0.8288770053475936,1.0,0.9064327485380117,155.0
BoxingPunchingBag,0.328125,0.6441717791411042,0.43478260869565216,163.0
BoxingSpeedBag,0.008403361344537815,0.007462686567164179,0.007905138339920948,134.0
BreastStroke,0.0,0.0,0.0,101.0
BrushingTeeth,0.39156626506024095,0.4961832061068702,0.4377104377104377,131.0
CleanAndJerk,0.0,0.0,0.0,112.0
CliffDiving,0.7857142857142857,0.3188405797101449,0.45360824742268036,138.0
CricketBowling,0.0,0.0,0.0,139.0
CricketShot,0.3333333333333333,0.2215568862275449,0.2661870503597122,167.0
CuttingInKitchen,0.3125,0.3181818181818182,0.3153153153153153,110.0
Diving,0.20496894409937888,0.44,0.2796610169491526,150.0
Drumming,0.2893081761006289,0.8571428571428571,0.43260188087774293,161.0
Fencing,0.25,0.6126126126126126,0.35509138381201044,111.0
FieldHockeyPenalty,0.34210526315789475,0.20634920634920634,0.25742574257425743,126.0
FloorGymnastics,0.02908805031446541,0.296,0.052970651395848244,125.0
FrisbeeCatch,0.0,0.0,0.0,126.0
FrontCrawl,0.0,0.0,0.0,137.0
GolfSwing,0.2419047619047619,0.9136690647482014,0.3825301204819277,139.0
Haircut,0.25277777777777777,0.7,0.37142857142857144,130.0
HammerThrow,0.0,0.0,0.0,150.0
Hammering,0.5454545454545454,0.04285714285714286,0.07947019867549669,140.0
HandstandPushups,0.0,0.0,0.0,128.0
HandstandWalking,0.0,0.0,0.0,111.0
HeadMassage,0.192,0.16326530612244897,0.1764705882352941,147.0
HighJump,0.28426395939086296,0.45528455284552843,0.35000000000000003,123.0
HorseRace,0.8102189781021898,0.8951612903225806,0.8505747126436782,124.0
HorseRiding,0.9212121212121213,0.926829268292683,0.9240121580547113,164.0
HulaHoop,1.0,0.336,0.5029940119760479,125.0
IceDancing,0.4040920716112532,1.0,0.575591985428051,158.0
JavelinThrow,0.24793388429752067,0.2564102564102564,0.25210084033613445,117.0
JugglingBalls,0.42105263157894735,0.06611570247933884,0.1142857142857143,121.0
JumpRope,0.0,0.0,0.0,144.0
JumpingJack,0.0,0.0,0.0,123.0
Kayaking,0.675,0.19148936170212766,0.2983425414364641,141.0
Knitting,0.9,0.07317073170731707,0.13533834586466167,123.0
LongJump,0.40441176470588236,0.4198473282442748,0.4119850187265917,131.0
Lunges,0.0,0.0,0.0,127.0
MilitaryParade,0.717391304347826,0.264,0.38596491228070173,125.0
Mixing,0.8571428571428571,0.4411764705882353,0.5825242718446603,136.0
MoppingFloor,0.2909090909090909,0.2909090909090909,0.2909090909090909,110.0
Nunchucks,0.0,0.0,0.0,132.0
ParallelBars,0.25,0.7807017543859649,0.37872340425531914,114.0
PizzaTossing,0.0,0.0,0.0,113.0
PlayingCello,0.9419354838709677,0.8902439024390244,0.9153605015673981,164.0
PlayingDaf,0.0,0.0,0.0,151.0
PlayingDhol,0.0,0.0,0.0,164.0
PlayingFlute,0.5927601809954751,0.8451612903225807,0.6968085106382979,155.0
PlayingGuitar,0.9361702127659575,0.825,0.8770764119601329,160.0
PlayingPiano,0.546583850931677,0.8380952380952381,0.6616541353383458,105.0
PlayingSitar,0.6589861751152074,0.910828025477707,0.7647058823529412,157.0
PlayingTabla,0.0,0.0,0.0,111.0
PlayingViolin,0.9375,0.45,0.6081081081081081,100.0
PoleVault,0.5714285714285714,0.08053691275167785,0.1411764705882353,149.0
PommelHorse,0.5963855421686747,0.8048780487804879,0.6851211072664359,123.0
PullUps,0.0,0.0,0.0,100.0
Punch,0.0,0.0,0.0,160.0
PushUps,0.0,0.0,0.0,102.0
Rafting,0.4909090909090909,0.972972972972973,0.6525679758308157,111.0
RockClimbingIndoor,0.891566265060241,0.5138888888888888,0.6519823788546255,144.0
RopeClimbing,0.0,0.0,0.0,119.0
Rowing,0.5076335877862596,0.9708029197080292,0.6666666666666667,137.0
SalsaSpin,0.0,0.0,0.0,133.0
ShavingBeard,0.8352941176470589,0.4409937888198758,0.5772357723577236,161.0
Shotput,0.0,0.0,0.0,144.0
SkateBoarding,0.20491803278688525,0.8333333333333334,0.32894736842105265,120.0
Skiing,0.7677419354838709,0.8814814814814815,0.8206896551724137,135.0
Skijet,0.0,0.0,0.0,100.0
SkyDiving,0.6444444444444445,0.7909090909090909,0.7102040816326531,110.0
SoccerJuggling,0.25,0.006802721088435374,0.01324503311258278,147.0
SoccerPenalty,0.5,0.9416058394160584,0.6531645569620252,137.0
StillRings,0.0,0.0,0.0,112.0
SumoWrestling,0.8306451612903226,0.8879310344827587,0.8583333333333333,116.0
Surfing,0.5565610859728507,0.9761904761904762,0.7089337175792507,126.0
Swing,0.3311897106109325,0.7862595419847328,0.46606334841628955,131.0
TableTennisShot,0.38006230529595014,0.8714285714285714,0.5292841648590022,140.0
TaiChi,0.0,0.0,0.0,100.0
TennisSwing,0.39090909090909093,0.7771084337349398,0.5201612903225806,166.0
ThrowDiscus,0.0,0.0,0.0,130.0
TrampolineJumping,0.5945945945945946,0.7394957983193278,0.6591760299625468,119.0
Typing,0.9024390243902439,0.8161764705882353,0.8571428571428571,136.0
UnevenBars,0.0,0.0,0.0,104.0
VolleyballSpiking,0.48598130841121495,0.4482758620689655,0.4663677130044843,116.0
WalkingWithDog,0.45901639344262296,0.22764227642276422,0.30434782608695654,123.0
WallPushups,0.0,0.0,0.0,130.0
WritingOnBoard,0.3007518796992481,0.2631578947368421,0.2807017543859649,152.0
YoYo,0.3333333333333333,0.0078125,0.015267175572519083,128.0
accuracy,0.3951951951951952,0.3951951951951952,0.3951951951951952,0.3951951951951952
macro avg,0.3632009546894084,0.38311283946182784,0.32907689502604337,13320.0
weighted avg,0.3728932159017484,0.3951951951951952,0.33946366126499455,13320.0
