,precision,recall,f1-score,support
ApplyEyeMakeup,0.45689655172413796,0.7310344827586207,0.5623342175066314,145.0
ApplyLipstick,0.5714285714285714,0.14035087719298245,0.22535211267605634,114.0
Archery,0.5344827586206896,0.42758620689655175,0.475095785440613,145.0
BabyCrawling,0.8,0.12121212121212122,0.2105263157894737,132.0
BalanceBeam,0.22466960352422907,0.4722222222222222,0.3044776119402985,108.0
BandMarching,0.7007299270072993,0.6193548387096774,0.6575342465753425,155.0
BaseballPitch,0.38591549295774646,0.9133333333333333,0.5425742574257426,150.0
Basketball,0.287292817679558,0.3880597014925373,0.33015873015873015,134.0
BasketballDunk,0.25,0.07633587786259542,0.11695906432748537,131.0
BenchPress,0.2631578947368421,0.03125,0.055865921787709494,160.0
Biking,0.9158878504672897,0.7313432835820896,0.8132780082987552,134.0
Billiards,0.819672131147541,1.0,0.9009009009009009,150.0
BlowDryHair,0.06451612903225806,0.015267175572519083,0.024691358024691357,131.0
BlowingCandles,0.7575757575757576,0.6880733944954128,0.7211538461538463,109.0
BodyWeightSquats,0.1,0.26785714285714285,0.14563106796116504,112.0
Bowling,0.8072916666666666,1.0,0.8933717579250721,155.0
BoxingPunchingBag,0.22556390977443608,0.36809815950920244,0.2797202797202797,163.0
BoxingSpeedBag,0.041237113402061855,0.029850746268656716,0.03463203463203463,134.0
BreastStroke,0.0,0.0,0.0,101.0
BrushingTeeth,0.4142857142857143,0.44274809160305345,0.42804428044280446,131.0
CleanAndJerk,0.0,0.0,0.0,112.0
CliffDiving,0.8181818181818182,0.2608695652173913,0.39560439560439564,138.0
CricketBowling,0.1,0.007194244604316547,0.01342281879194631,139.0
CricketShot,0.34444444444444444,0.18562874251497005,0.2412451361867704,167.0
CuttingInKitchen,0.28695652173913044,0.3,0.29333333333333333,110.0
Diving,0.1952662721893491,0.44,0.2704918032786885,150.0
Drumming,0.2890792291220557,0.8385093167701864,0.42993630573248404,161.0
Fencing,0.27235772357723576,0.6036036036036037,0.37535014005602235,111.0
FieldHockeyPenalty,0.35526315789473684,0.21428571428571427,0.2673267326732673,126.0
FloorGymnastics,0.03418803418803419,0.256,0.06032045240339303,125.0
FrisbeeCatch,0.0,0.0,0.0,126.0
FrontCrawl,0.0,0.0,0.0,137.0
GolfSwing,0.23117338003502627,0.9496402877697842,0.37183098591549296,139.0
Haircut,0.2222222222222222,0.6307692307692307,0.32865731462925846,130.0
HammerThrow,0.0,0.0,0.0,150.0
Hammering,0.6666666666666666,0.02857142857142857,0.0547945205479452,140.0
HandstandPushups,0.0,0.0,0.0,128.0
HandstandWalking,0.0,0.0,0.0,111.0
HeadMassage,0.15723270440251572,0.17006802721088435,0.16339869281045752,147.0
HighJump,0.2624113475177305,0.6016260162601627,0.36543209876543215,123.0
HorseRace,0.6804733727810651,0.9274193548387096,0.7849829351535836,124.0
HorseRiding,0.9534883720930233,0.75,0.8395904436860069,164.0
HulaHoop,1.0,0.312,0.47560975609756095,125.0
IceDancing,0.4514285714285714,1.0,0.6220472440944881,158.0
JavelinThrow,0.2956521739130435,0.2905982905982906,0.2931034482758621,117.0
JugglingBalls,0.47619047619047616,0.08264462809917356,0.1408450704225352,121.0
JumpRope,0.0,0.0,0.0,144.0
JumpingJack,0.0,0.0,0.0,123.0
Kayaking,0.6666666666666666,0.2127659574468085,0.3225806451612903,141.0
Knitting,0.8888888888888888,0.06504065040650407,0.12121212121212123,123.0
LongJump,0.525,0.16030534351145037,0.24561403508771926,131.0
Lunges,0.0,0.0,0.0,127.0
MilitaryParade,0.6862745098039216,0.28,0.39772727272727276,125.0
Mixing,0.8450704225352113,0.4411764705882353,0.5797101449275363,136.0
MoppingFloor,0.25301204819277107,0.38181818181818183,0.3043478260869565,110.0
Nunchucks,0.0,0.0,0.0,132.0
ParallelBars,0.21367521367521367,0.8771929824561403,0.3436426116838488,114.0
PizzaTossing,0.0,0.0,0.0,113.0
PlayingCello,0.7089201877934272,0.9207317073170732,0.8010610079575597,164.0
PlayingDaf,0.0,0.0,0.0,151.0
PlayingDhol,0.0,0.0,0.0,164.0
PlayingFlute,0.55,0.7806451612903226,0.6453333333333334,155.0
PlayingGuitar,0.9666666666666667,0.54375,0.6960000000000001,160.0
PlayingPiano,0.5570469798657718,0.7904761904761904,0.6535433070866142,105.0
PlayingSitar,0.7295918367346939,0.910828025477707,0.8101983002832861,157.0
PlayingTabla,0.0,0.0,0.0,111.0
PlayingViolin,0.46956521739130436,0.54,0.5023255813953489,100.0
PoleVault,0.7586206896551724,0.1476510067114094,0.24719101123595508,149.0
PommelHorse,0.6879432624113475,0.7886178861788617,0.7348484848484849,123.0
PullUps,0.0,0.0,0.0,100.0
Punch,0.0,0.0,0.0,160.0
PushUps,0.0,0.0,0.0,102.0
Rafting,0.5119617224880383,0.963963963963964,0.66875,111.0
RockClimbingIndoor,0.6826923076923077,0.4930555555555556,0.5725806451612903,144.0
RopeClimbing,0.3333333333333333,0.008403361344537815,0.016393442622950817,119.0
Rowing,0.5254901960784314,0.9781021897810219,0.6836734693877551,137.0
SalsaSpin,0.0,0.0,0.0,133.0
ShavingBeard,0.8181818181818182,0.391304347826087,0.5294117647058824,161.0
Shotput,0.0,0.0,0.0,144.0
SkateBoarding,0.19611650485436893,0.8416666666666667,0.3181102362204724,120.0
Skiing,0.7615894039735099,0.8518518518518519,0.8041958041958042,135.0
Skijet,0.0,0.0,0.0,100.0
SkyDiving,0.628099173553719,0.6909090909090909,0.658008658008658,110.0
SoccerJuggling,0.1,0.006802721088435374,0.012738853503184714,147.0
SoccerPenalty,0.46048109965635736,0.9781021897810219,0.6261682242990654,137.0
StillRings,0.0,0.0,0.0,112.0
SumoWrestling,0.7375886524822695,0.896551724137931,0.8093385214007782,116.0
Surfing,0.5418502202643172,0.9761904761904762,0.696883852691218,126.0
Swing,0.3804347826086957,0.8015267175572519,0.515970515970516,131.0
TableTennisShot,0.35964912280701755,0.8785714285714286,0.5103734439834026,140.0
TaiChi,0.010638297872340425,0.01,0.010309278350515464,100.0
TennisSwing,0.4024767801857585,0.7831325301204819,0.5316973415132924,166.0
ThrowDiscus,0.0,0.0,0.0,130.0
TrampolineJumping,0.5984848484848485,0.6638655462184874,0.6294820717131474,119.0
Typing,0.8939393939393939,0.8676470588235294,0.8805970149253731,136.0
UnevenBars,0.0,0.0,0.0,104.0
VolleyballSpiking,0.5824175824175825,0.45689655172413796,0.5120772946859903,116.0
WalkingWithDog,0.453125,0.23577235772357724,0.31016042780748665,123.0
WallPushups,0.0,0.0,0.0,130.0
WritingOnBoard,0.27522935779816515,0.19736842105263158,0.22988505747126436,152.0
YoYo,0.3333333333333333,0.0078125,0.015267175572519083,128.0
accuracy,0.38738738738738737,0.38738738738738737,0.38738738738738737,0.38738738738738737
macro avg,0.36442906832578825,0.3775633952598972,0.3213567742907371,13320.0
weighted avg,0.374723056581372,0.38738738738738737,0.33076237631762395,13320.0
