,precision,recall,f1-score,support
ApplyEyeMakeup,0.3539325842696629,0.43448275862068964,0.39009287925696595,145.0
ApplyLipstick,0.2804878048780488,0.20175438596491227,0.23469387755102042,114.0
Archery,0.9714285714285714,0.23448275862068965,0.3777777777777778,145.0
BabyCrawling,0.41025641025641024,0.12121212121212122,0.18713450292397663,132.0
BalanceBeam,0.4146341463414634,0.3148148148148148,0.35789473684210527,108.0
BandMarching,0.5,0.13548387096774195,0.21319796954314724,155.0
BaseballPitch,0.25,0.9133333333333333,0.39255014326647564,150.0
Basketball,0.2151029748283753,0.7014925373134329,0.3292469352014011,134.0
BasketballDunk,0.0,0.0,0.0,131.0
BenchPress,0.0,0.0,0.0,160.0
Biking,0.8571428571428571,0.7611940298507462,0.8063241106719368,134.0
Billiards,0.28865979381443296,0.7466666666666667,0.41635687732342,150.0
BlowDryHair,0.0392156862745098,0.015267175572519083,0.021978021978021976,131.0
BlowingCandles,0.25,0.10091743119266056,0.14379084967320263,109.0
BodyWeightSquats,0.0,0.0,0.0,112.0
Bowling,0.7013574660633484,1.0,0.8244680851063829,155.0
BoxingPunchingBag,0.2210796915167095,0.5276073619631901,0.3115942028985507,163.0
BoxingSpeedBag,0.0,0.0,0.0,134.0
BreastStroke,0.0,0.0,0.0,101.0
BrushingTeeth,0.5789473684210527,0.08396946564885496,0.14666666666666667,131.0
CleanAndJerk,0.0,0.0,0.0,112.0
CliffDiving,0.6027397260273972,0.3188405797101449,0.41706161137440756,138.0
CricketBowling,0.0,0.0,0.0,139.0
CricketShot,0.20930232558139536,0.05389221556886228,0.08571428571428572,167.0
CuttingInKitchen,0.19014084507042253,0.24545454545454545,0.21428571428571427,110.0
Diving,0.03902439024390244,0.05333333333333334,0.04507042253521127,150.0
Drumming,0.2016260162601626,0.7701863354037267,0.31958762886597936,161.0
Fencing,0.2807017543859649,0.2882882882882883,0.2844444444444445,111.0
FieldHockeyPenalty,0.13934426229508196,0.1349206349206349,0.13709677419354838,126.0
FloorGymnastics,0.03347732181425486,0.248,0.05899143672692674,125.0
FrisbeeCatch,0.0,0.0,0.0,126.0
FrontCrawl,0.0,0.0,0.0,137.0
GolfSwing,0.20757825370675453,0.9064748201438849,0.3378016085790884,139.0
Haircut,0.2517321016166282,0.8384615384615385,0.38721136767317943,130.0
HammerThrow,0.0,0.0,0.0,150.0
Hammering,0.5675675675675675,0.15,0.23728813559322032,140.0
HandstandPushups,0.0,0.0,0.0,128.0
HandstandWalking,0.0,0.0,0.0,111.0
HeadMassage,0.09345794392523364,0.20408163265306123,0.1282051282051282,147.0
HighJump,0.5853658536585366,0.1951219512195122,0.2926829268292683,123.0
HorseRace,0.4311594202898551,0.9596774193548387,0.595,124.0
HorseRiding,1.0,0.042682926829268296,0.08187134502923978,164.0
HulaHoop,0.45454545454545453,0.08,0.13605442176870747,125.0
IceDancing,0.31225296442687744,1.0,0.4759036144578313,158.0
JavelinThrow,0.42857142857142855,0.15384615384615385,0.22641509433962267,117.0
JugglingBalls,0.2857142857142857,0.03305785123966942,0.05925925925925926,121.0
JumpRope,0.0,0.0,0.0,144.0
JumpingJack,0.0,0.0,0.0,123.0
Kayaking,0.40594059405940597,0.2907801418439716,0.33884297520661155,141.0
Knitting,0.0,0.0,0.0,123.0
LongJump,0.47619047619047616,0.07633587786259542,0.13157894736842105,131.0
Lunges,0.0,0.0,0.0,127.0
MilitaryParade,0.85,0.136,0.23448275862068968,125.0
Mixing,0.14035087719298245,0.11764705882352941,0.12799999999999997,136.0
MoppingFloor,0.07006369426751592,0.2,0.10377358490566038,110.0
Nunchucks,0.0,0.0,0.0,132.0
ParallelBars,0.36054421768707484,0.4649122807017544,0.4061302681992337,114.0
PizzaTossing,0.03125,0.017699115044247787,0.022598870056497175,113.0
PlayingCello,0.7596899224806202,0.5975609756097561,0.6689419795221843,164.0
PlayingDaf,0.0,0.0,0.0,151.0
PlayingDhol,0.0,0.0,0.0,164.0
PlayingFlute,0.9444444444444444,0.21935483870967742,0.35602094240837695,155.0
PlayingGuitar,0.8867924528301887,0.5875,0.7067669172932332,160.0
PlayingPiano,0.14948453608247422,0.8285714285714286,0.25327510917030566,105.0
PlayingSitar,0.86,0.821656050955414,0.8403908794788274,157.0
PlayingTabla,0.05333333333333334,0.036036036036036036,0.043010752688172046,111.0
PlayingViolin,0.26666666666666666,0.12,0.16551724137931034,100.0
PoleVault,0.22413793103448276,0.087248322147651,0.12560386473429952,149.0
PommelHorse,0.5350877192982456,0.4959349593495935,0.5147679324894514,123.0
PullUps,0.09333333333333334,0.07,0.08000000000000002,100.0
Punch,0.0,0.0,0.0,160.0
PushUps,0.0,0.0,0.0,102.0
Rafting,0.5333333333333333,0.9369369369369369,0.6797385620915032,111.0
RockClimbingIndoor,0.10150375939849623,0.1875,0.13170731707317077,144.0
RopeClimbing,0.0,0.0,0.0,119.0
Rowing,0.6283783783783784,0.6788321167883211,0.6526315789473683,137.0
SalsaSpin,0.0,0.0,0.0,133.0
ShavingBeard,0.8461538461538461,0.06832298136645963,0.12643678160919541,161.0
Shotput,0.0,0.0,0.0,144.0
SkateBoarding,0.3446808510638298,0.675,0.45633802816901414,120.0
Skiing,0.70625,0.837037037037037,0.7661016949152543,135.0
Skijet,0.0,0.0,0.0,100.0
SkyDiving,0.5714285714285714,0.5818181818181818,0.5765765765765765,110.0
SoccerJuggling,0.0,0.0,0.0,147.0
SoccerPenalty,0.30855855855855857,1.0,0.47160068846815834,137.0
StillRings,0.0,0.0,0.0,112.0
SumoWrestling,0.6733333333333333,0.8706896551724138,0.7593984962406015,116.0
Surfing,0.4918032786885246,0.9523809523809523,0.6486486486486487,126.0
Swing,0.47435897435897434,0.5648854961832062,0.5156794425087109,131.0
TableTennisShot,0.4968553459119497,0.5642857142857143,0.5284280936454849,140.0
TaiChi,0.12,0.06,0.08,100.0
TennisSwing,0.4307116104868914,0.6927710843373494,0.5311778290993072,166.0
ThrowDiscus,0.0,0.0,0.0,130.0
TrampolineJumping,0.78125,0.42016806722689076,0.5464480874316939,119.0
Typing,0.3963963963963964,0.6470588235294118,0.4916201117318436,136.0
UnevenBars,0.0,0.0,0.0,104.0
VolleyballSpiking,0.1518987341772152,0.20689655172413793,0.17518248175182483,116.0
WalkingWithDog,0.0625,0.032520325203252036,0.0427807486631016,123.0
WallPushups,0.0,0.0,0.0,130.0
WritingOnBoard,0.632,0.5197368421052632,0.5703971119133574,152.0
YoYo,0.0,0.0,0.0,128.0
accuracy,0.29196696696696695,0.29196696696696695,0.29196696696696695,0.29196696696696695
macro avg,0.2822302221931306,0.2834958098011982,0.23311196197586342,13320.0
weighted avg,0.2933120913900326,0.29196696696696695,0.23983594123863464,13320.0
