,precision,recall,f1-score,support
ApplyEyeMakeup,0.17222222222222222,0.21379310344827587,0.19076923076923075,145.0
ApplyLipstick,0.13924050632911392,0.09649122807017543,0.11398963730569948,114.0
Archery,0.7777777777777778,0.04827586206896552,0.09090909090909091,145.0
BabyCrawling,0.32075471698113206,0.12878787878787878,0.1837837837837838,132.0
BalanceBeam,0.0,0.0,0.0,108.0
BandMarching,0.16666666666666666,0.0064516129032258064,0.012422360248447206,155.0
BaseballPitch,0.20715350223546944,0.9266666666666666,0.3386114494518879,150.0
Basketball,0.12,0.4925373134328358,0.19298245614035087,134.0
BasketballDunk,0.0,0.0,0.0,131.0
BenchPress,0.0,0.0,0.0,160.0
Biking,0.4375,0.15671641791044777,0.23076923076923075,134.0
Billiards,0.0,0.0,0.0,150.0
BlowDryHair,0.0,0.0,0.0,131.0
BlowingCandles,0.034482758620689655,0.01834862385321101,0.02395209580838323,109.0
BodyWeightSquats,0.0,0.0,0.0,112.0
Bowling,0.7451923076923077,1.0,0.8539944903581267,155.0
BoxingPunchingBag,0.03694581280788178,0.09202453987730061,0.05272407732864675,163.0
BoxingSpeedBag,0.0,0.0,0.0,134.0
BreastStroke,0.0,0.0,0.0,101.0
BrushingTeeth,0.5,0.04580152671755725,0.08391608391608392,131.0
CleanAndJerk,0.0,0.0,0.0,112.0
CliffDiving,0.5443037974683544,0.3115942028985507,0.39631336405529954,138.0
CricketBowling,0.0,0.0,0.0,139.0
CricketShot,0.0,0.0,0.0,167.0
CuttingInKitchen,0.16875,0.24545454545454545,0.2,110.0
Diving,0.0,0.0,0.0,150.0
Drumming,0.07345971563981042,0.38509316770186336,0.12338308457711443,161.0
Fencing,0.024793388429752067,0.02702702702702703,0.025862068965517244,111.0
FieldHockeyPenalty,0.005,0.007936507936507936,0.006134969325153374,126.0
FloorGymnastics,0.02050113895216401,0.144,0.035892323030907274,125.0
FrisbeeCatch,0.0,0.0,0.0,126.0
FrontCrawl,0.0,0.0,0.0,137.0
GolfSwing,0.20473773265651438,0.8705035971223022,0.3315068493150685,139.0
Haircut,0.22008547008547008,0.7923076923076923,0.34448160535117056,130.0
HammerThrow,0.0,0.0,0.0,150.0
Hammering,0.3559322033898305,0.15,0.21105527638190955,140.0
HandstandPushups,0.0,0.0,0.0,128.0
HandstandWalking,0.0,0.0,0.0,111.0
HeadMassage,0.12967581047381546,0.35374149659863946,0.1897810218978102,147.0
HighJump,0.0,0.0,0.0,123.0
HorseRace,0.4204946996466431,0.9596774193548387,0.5847665847665847,124.0
HorseRiding,0.0,0.0,0.0,164.0
HulaHoop,0.0,0.0,0.0,125.0
IceDancing,0.25442834138486314,1.0,0.40564826700898593,158.0
JavelinThrow,0.05333333333333334,0.03418803418803419,0.04166666666666668,117.0
JugglingBalls,0.3076923076923077,0.03305785123966942,0.05970149253731343,121.0
JumpRope,0.0,0.0,0.0,144.0
JumpingJack,0.0,0.0,0.0,123.0
Kayaking,0.14423076923076922,0.10638297872340426,0.12244897959183673,141.0
Knitting,0.0,0.0,0.0,123.0
LongJump,0.0,0.0,0.0,131.0
Lunges,0.0,0.0,0.0,127.0
MilitaryParade,0.4482758620689655,0.104,0.16883116883116883,125.0
Mixing,0.07017543859649122,0.08823529411764706,0.0781758957654723,136.0
MoppingFloor,0.04885057471264368,0.15454545454545454,0.07423580786026202,110.0
Nunchucks,0.0,0.0,0.0,132.0
ParallelBars,0.0,0.0,0.0,114.0
PizzaTossing,0.025,0.017699115044247787,0.02072538860103627,113.0
PlayingCello,0.13253012048192772,0.06707317073170732,0.08906882591093118,164.0
PlayingDaf,0.0,0.0,0.0,151.0
PlayingDhol,0.0,0.0,0.0,164.0
PlayingFlute,0.0,0.0,0.0,155.0
PlayingGuitar,0.0,0.0,0.0,160.0
PlayingPiano,0.03508771929824561,0.20952380952380953,0.060109289617486336,105.0
PlayingSitar,0.0,0.0,0.0,157.0
PlayingTabla,0.05555555555555555,0.05405405405405406,0.0547945205479452,111.0
PlayingViolin,0.0,0.0,0.0,100.0
PoleVault,0.0,0.0,0.0,149.0
PommelHorse,0.0,0.0,0.0,123.0
PullUps,0.07608695652173914,0.07,0.07291666666666667,100.0
Punch,0.0,0.0,0.0,160.0
PushUps,0.0,0.0,0.0,102.0
Rafting,0.3614864864864865,0.963963963963964,0.5257985257985258,111.0
RockClimbingIndoor,0.0058823529411764705,0.020833333333333332,0.009174311926605505,144.0
RopeClimbing,0.03333333333333333,0.008403361344537815,0.013422818791946308,119.0
Rowing,0.10606060606060606,0.051094890510948905,0.06896551724137931,137.0
SalsaSpin,0.0,0.0,0.0,133.0
ShavingBeard,0.0,0.0,0.0,161.0
Shotput,0.2857142857142857,0.013888888888888888,0.026490066225165563,144.0
SkateBoarding,0.2,0.025,0.04444444444444445,120.0
Skiing,0.6870748299319728,0.7481481481481481,0.7163120567375886,135.0
Skijet,0.0,0.0,0.0,100.0
SkyDiving,0.504950495049505,0.4636363636363636,0.4834123222748815,110.0
SoccerJuggling,0.0,0.0,0.0,147.0
SoccerPenalty,0.2424778761061947,1.0,0.3903133903133903,137.0
StillRings,0.0,0.0,0.0,112.0
SumoWrestling,0.027777777777777776,0.017241379310344827,0.02127659574468085,116.0
Surfing,0.4872881355932203,0.9126984126984127,0.6353591160220994,126.0
Swing,0.3515151515151515,0.44274809160305345,0.3918918918918919,131.0
TableTennisShot,0.0,0.0,0.0,140.0
TaiChi,0.08849557522123894,0.1,0.09389671361502347,100.0
TennisSwing,0.05263157894736842,0.006024096385542169,0.010810810810810811,166.0
ThrowDiscus,0.0,0.0,0.0,130.0
TrampolineJumping,0.0,0.0,0.0,119.0
Typing,0.2413793103448276,0.4117647058823529,0.3043478260869565,136.0
UnevenBars,0.0,0.0,0.0,104.0
VolleyballSpiking,0.06153846153846154,0.10344827586206896,0.07717041800643087,116.0
WalkingWithDog,0.03,0.024390243902439025,0.026905829596412557,123.0
WallPushups,0.0,0.0,0.0,130.0
WritingOnBoard,0.5273972602739726,0.506578947368421,0.5167785234899329,152.0
YoYo,0.0,0.0,0.0,128.0
accuracy,0.1545045045045045,0.1545045045045045,0.1545045045045045,0.1545045045045045
macro avg,0.1165536705325548,0.15081042866480548,0.1031989631988063,13320.0
weighted avg,0.11885114497844777,0.1545045045045045,0.10496540504655211,13320.0
