,precision,recall,f1-score,support
diving,0.875,1.0,0.9333333333333333,14.0
kicking,0.6,0.15,0.24,20.0
lifting,1.0,1.0,1.0,6.0
riding-horse,0.39285714285714285,0.9166666666666666,0.55,12.0
running,0.8571428571428571,0.46153846153846156,0.6,13.0
skateboarding,0.4090909090909091,0.75,0.5294117647058824,12.0
swinging,0.0,0.0,0.0,20.0
swinging-bar,0.8666666666666667,1.0,0.9285714285714286,13.0
swinging-golf,0.4,1.0,0.5714285714285715,18.0
walking,0.6666666666666666,0.18181818181818182,0.28571428571428575,22.0
accuracy,0.56,0.56,0.56,0.56
macro avg,0.6067424242424243,0.646002331002331,0.5638459383753501,150.0
weighted avg,0.560997113997114,0.56,0.48841643323996276,150.0
