,precision,recall,f1-score,support
diving,0.9333333333333333,1.0,0.9655172413793104,14.0
kicking,0.0,0.0,0.0,20.0
lifting,1.0,1.0,1.0,6.0
riding-horse,0.39285714285714285,0.9166666666666666,0.55,12.0
running,0.8333333333333334,0.38461538461538464,0.5263157894736842,13.0
skateboarding,0.32142857142857145,0.75,0.45000000000000007,12.0
swinging,0.0,0.0,0.0,20.0
swinging-bar,0.8666666666666667,1.0,0.9285714285714286,13.0
swinging-golf,0.391304347826087,1.0,0.5625,18.0
walking,0.6666666666666666,0.18181818181818182,0.28571428571428575,22.0
accuracy,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333
macro avg,0.5405590062111801,0.6233100233100233,0.5268618745138709,150.0
weighted avg,0.47632160110420985,0.5333333333333333,0.44560992999740734,150.0
