,precision,recall,f1-score,support
diving,0.875,1.0,0.9333333333333333,14.0
kicking,0.8571428571428571,0.6,0.7058823529411764,20.0
lifting,0.8571428571428571,1.0,0.923076923076923,6.0
riding-horse,0.39285714285714285,0.9166666666666666,0.55,12.0
running,1.0,0.46153846153846156,0.631578947368421,13.0
skateboarding,0.5,0.75,0.6,12.0
swinging,0.0,0.0,0.0,20.0
swinging-bar,0.8125,1.0,0.896551724137931,13.0
swinging-golf,0.47368421052631576,1.0,0.6428571428571429,18.0
walking,0.5714285714285714,0.18181818181818182,0.27586206896551724,22.0
accuracy,0.62,0.62,0.62,0.62
macro avg,0.6339755639097745,0.691002331002331,0.6159142492680445,150.0
weighted avg,0.5994016290726817,0.62,0.5601924538813617,150.0
