,precision,recall,f1-score,support
diving,0.875,1.0,0.9333333333333333,14.0
kicking,0.0,0.0,0.0,20.0
lifting,0.0,0.0,0.0,6.0
riding-horse,0.22916666666666666,0.9166666666666666,0.36666666666666664,12.0
running,0.16666666666666666,0.15384615384615385,0.16,13.0
skateboarding,0.47368421052631576,0.75,0.5806451612903226,12.0
swinging,0.0,0.0,0.0,20.0
swinging-bar,0.0,0.0,0.0,13.0
swinging-golf,0.43902439024390244,1.0,0.6101694915254238,18.0
walking,0.5714285714285714,0.18181818181818182,0.27586206896551724,22.0
accuracy,0.38666666666666666,0.38666666666666666,0.38666666666666666,0.38666666666666666
macro avg,0.2754970505532123,0.4002331002331002,0.2926676721781264,150.0
weighted avg,0.2888316319253418,0.38666666666666666,0.2904428331123303,150.0
