,precision,recall,f1-score,support
diving,0.875,1.0,0.9333333333333333,14.0
kicking,0.0,0.0,0.0,20.0
lifting,0.0,0.0,0.0,6.0
riding-horse,0.23529411764705882,1.0,0.38095238095238093,12.0
running,0.23076923076923078,0.23076923076923078,0.23076923076923078,13.0
skateboarding,0.4375,0.5833333333333334,0.5,12.0
swinging,0.0,0.0,0.0,20.0
swinging-bar,0.0,0.0,0.0,13.0
swinging-golf,0.4186046511627907,1.0,0.5901639344262295,18.0
walking,0.5,0.13636363636363635,0.21428571428571427,22.0
accuracy,0.38,0.38,0.38,0.38
macro avg,0.26971679995790804,0.39504662004662,0.28495045937668884,150.0
weighted avg,0.27905608755129957,0.38,0.2798355451470206,150.0
