,precision,recall,f1-score,support
diving,0.7368421052631579,1.0,0.8484848484848484,14.0
kicking,0.9,0.45,0.6,20.0
lifting,1.0,1.0,1.0,6.0
riding-horse,0.375,1.0,0.5454545454545454,12.0
running,0.6666666666666666,0.15384615384615385,0.25,13.0
skateboarding,0.3888888888888889,0.5833333333333334,0.4666666666666666,12.0
swinging,0.0,0.0,0.0,20.0
swinging-bar,0.8666666666666667,1.0,0.9285714285714286,13.0
swinging-golf,0.4722222222222222,0.9444444444444444,0.6296296296296297,18.0
walking,0.5454545454545454,0.2727272727272727,0.3636363636363636,22.0
accuracy,0.5733333333333334,0.5733333333333334,0.5733333333333334,0.5733333333333334
macro avg,0.5951741095162149,0.6404351204351204,0.5632443482443482,150.0
weighted avg,0.5594385964912281,0.5733333333333334,0.5111933621933622,150.0
