,precision,recall,f1-score,support
diving,0.8181818181818182,0.6428571428571429,0.7200000000000001,14.0
kicking,0.5217391304347826,0.6,0.5581395348837209,20.0
lifting,0.0,0.0,0.0,6.0
riding-horse,0.5294117647058824,0.75,0.6206896551724139,12.0
running,0.3333333333333333,0.07692307692307693,0.125,13.0
skateboarding,0.08,0.16666666666666666,0.10810810810810811,12.0
swinging,0.0,0.0,0.0,20.0
swinging-bar,0.0,0.0,0.0,13.0
swinging-golf,0.40476190476190477,0.9444444444444444,0.5666666666666667,18.0
walking,0.2222222222222222,0.18181818181818182,0.19999999999999998,22.0
accuracy,0.36,0.36,0.36,0.36
macro avg,0.2909650173639944,0.3362709512709513,0.289860396483091,150.0
weighted avg,0.3047347049843213,0.36,0.3080890923802712,150.0
