,precision,recall,f1-score,support
diving,0.8235294117647058,1.0,0.9032258064516129,14.0
kicking,0.5714285714285714,0.6,0.5853658536585366,20.0
lifting,0.0,0.0,0.0,6.0
riding-horse,0.6428571428571429,0.75,0.6923076923076924,12.0
running,1.0,0.15384615384615385,0.2666666666666667,13.0
skateboarding,0.06451612903225806,0.16666666666666666,0.09302325581395349,12.0
swinging,0.0,0.0,0.0,20.0
swinging-bar,0.0,0.0,0.0,13.0
swinging-golf,0.38636363636363635,0.9444444444444444,0.5483870967741935,18.0
walking,0.2,0.13636363636363635,0.16216216216216214,22.0
accuracy,0.3933333333333333,0.3933333333333333,0.3933333333333333,0.3933333333333333
macro avg,0.36886948914463147,0.37513209013209015,0.32511385338348175,150.0
weighted avg,0.3720067194033038,0.3933333333333333,0.3378776781141518,150.0
