,precision,recall,f1-score,support
diving,0.7777777777777778,1.0,0.8750000000000001,14.0
kicking,1.0,0.55,0.7096774193548387,20.0
lifting,0.0,0.0,0.0,6.0
riding-horse,0.3870967741935484,1.0,0.5581395348837209,12.0
running,0.7777777777777778,0.5384615384615384,0.6363636363636364,13.0
skateboarding,0.6428571428571429,0.75,0.6923076923076924,12.0
swinging,0.0,0.0,0.0,20.0
swinging-bar,0.5789473684210527,0.8461538461538461,0.6875,13.0
swinging-golf,0.5,1.0,0.6666666666666666,18.0
walking,0.75,0.13636363636363635,0.23076923076923075,22.0
accuracy,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.5666666666666667
macro avg,0.54144568410273,0.582097902097902,0.5056424180345787,150.0
weighted avg,0.5759050852938798,0.5666666666666667,0.5049071030869605,150.0
