,precision,recall,f1-score,support
diving,0.7368421052631579,1.0,0.8484848484848484,14.0
kicking,0.5789473684210527,0.55,0.5641025641025641,20.0
lifting,0.0,0.0,0.0,6.0
riding-horse,0.34285714285714286,1.0,0.5106382978723404,12.0
running,0.5833333333333334,0.5384615384615384,0.5599999999999999,13.0
skateboarding,0.8181818181818182,0.75,0.7826086956521738,12.0
swinging,0.0,0.0,0.0,20.0
swinging-bar,0.0,0.0,0.0,13.0
swinging-golf,0.5294117647058824,1.0,0.6923076923076924,18.0
walking,0.7,0.3181818181818182,0.4375,22.0
accuracy,0.52,0.52,0.52,0.52
macro avg,0.4289573532762388,0.5156643356643357,0.439564209841962,150.0
weighted avg,0.4555996631507467,0.52,0.4536422769644786,150.0
