,precision,recall,f1-score,support
diving,0.9333333333333333,1.0,0.9655172413793104,14.0
kicking,0.6111111111111112,0.55,0.5789473684210527,20.0
lifting,0.0,0.0,0.0,6.0
riding-horse,0.3333333333333333,1.0,0.5,12.0
running,0.8,0.6153846153846154,0.6956521739130435,13.0
skateboarding,0.6,0.75,0.6666666666666665,12.0
swinging,0.0,0.0,0.0,20.0
swinging-bar,0.0,0.0,0.0,13.0
swinging-golf,0.5454545454545454,1.0,0.7058823529411764,18.0
walking,0.6153846153846154,0.36363636363636365,0.4571428571428572,22.0
accuracy,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333
macro avg,0.44386169386169383,0.5279020979020979,0.45698086604641064,150.0
weighted avg,0.4683035483035483,0.5333333333333333,0.47268461479123325,150.0
