,precision,recall,f1-score,support
diving,0.875,1.0,0.9333333333333333,14.0
kicking,0.52,0.65,0.5777777777777778,20.0
lifting,0.0,0.0,0.0,6.0
riding-horse,0.39285714285714285,0.9166666666666666,0.55,12.0
running,0.5454545454545454,0.46153846153846156,0.4999999999999999,13.0
skateboarding,0.75,0.5,0.6,12.0
swinging,0.1111111111111111,0.05,0.06896551724137932,20.0
swinging-bar,0.6,0.23076923076923078,0.33333333333333337,13.0
swinging-golf,0.5862068965517241,0.9444444444444444,0.7234042553191489,18.0
walking,0.5882352941176471,0.45454545454545453,0.5128205128205129,22.0
accuracy,0.54,0.54,0.54,0.54
macro avg,0.496886499009217,0.5207964257964257,0.4799634729825485,150.0
weighted avg,0.513135450906242,0.54,0.4995879585211941,150.0
