,precision,recall,f1-score,support
diving,0.9333333333333333,1.0,0.9655172413793104,14.0
kicking,0.2830188679245283,0.75,0.4109589041095891,20.0
lifting,0.0,0.0,0.0,6.0
riding-horse,0.8333333333333334,0.4166666666666667,0.5555555555555556,12.0
running,0.2222222222222222,0.15384615384615385,0.18181818181818185,13.0
skateboarding,0.6666666666666666,0.16666666666666666,0.26666666666666666,12.0
swinging,0.0,0.0,0.0,20.0
swinging-bar,0.0,0.0,0.0,13.0
swinging-golf,0.6296296296296297,0.9444444444444444,0.7555555555555556,18.0
walking,0.3333333333333333,0.45454545454545453,0.3846153846153846,22.0
accuracy,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.43333333333333335
macro avg,0.3901537386443047,0.38861693861693863,0.3520687489700244,150.0
weighted avg,0.3885506638714187,0.43333333333333335,0.37352173968895747,150.0
