,precision,recall,f1-score,support
diving,0.9285714285714286,0.9285714285714286,0.9285714285714286,14.0
kicking,0.3018867924528302,0.8,0.4383561643835617,20.0
lifting,0.0,0.0,0.0,6.0
riding-horse,0.8333333333333334,0.4166666666666667,0.5555555555555556,12.0
running,0.25,0.23076923076923078,0.24000000000000002,13.0
skateboarding,0.3333333333333333,0.16666666666666666,0.2222222222222222,12.0
swinging,0.0,0.0,0.0,20.0
swinging-bar,0.0,0.0,0.0,13.0
swinging-golf,0.5,0.9444444444444444,0.6538461538461539,18.0
walking,0.391304347826087,0.4090909090909091,0.4,22.0
accuracy,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.43333333333333335
macro avg,0.3538429235517012,0.3896209346209346,0.34385515245789217,150.0
weighted avg,0.35930954334153675,0.43333333333333335,0.36526458260156885,150.0
