,brush_hair,catch,clap,climb_stairs,golf,jump,kick_ball,pick,pour,pullup,push,run,shoot_ball,shoot_bow,shoot_gun,sit,stand,swing_baseball,throw,walk,wave
brush_hair,0.8292682926829268,0.0,0.0,0.0,0.0,0.024390243902439025,0.0,0.0,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04878048780487805,0.024390243902439025
catch,0.25,0.0,0.0,0.0,0.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3125,0.0,0.0,0.0
clap,0.45454545454545453,0.0,0.09090909090909091,0.022727272727272728,0.0,0.022727272727272728,0.06818181818181818,0.0,0.0,0.06818181818181818,0.045454545454545456,0.0,0.045454545454545456,0.0,0.0,0.11363636363636363,0.0,0.022727272727272728,0.0,0.045454545454545456,0.0
climb_stairs,0.0,0.0,0.0,0.625,0.1,0.125,0.0,0.0,0.025,0.05,0.0,0.05,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0
golf,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jump,0.0,0.02564102564102564,0.0,0.23076923076923078,0.3333333333333333,0.05128205128205128,0.0,0.0,0.02564102564102564,0.05128205128205128,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.07692307692307693,0.0,0.02564102564102564,0.1282051282051282,0.02564102564102564
kick_ball,0.19444444444444445,0.0,0.0,0.1388888888888889,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.4722222222222222,0.0,0.05555555555555555,0.0
pick,0.075,0.0,0.0,0.125,0.125,0.05,0.0,0.025,0.025,0.075,0.0,0.025,0.0,0.0,0.0,0.075,0.125,0.05,0.025,0.175,0.025
pour,0.38181818181818183,0.0,0.01818181818181818,0.03636363636363636,0.0,0.0,0.10909090909090909,0.03636363636363636,0.2909090909090909,0.0,0.0,0.0,0.0,0.0,0.01818181818181818,0.03636363636363636,0.07272727272727272,0.0,0.0,0.0,0.0
pullup,0.12727272727272726,0.0,0.0,0.10909090909090909,0.14545454545454545,0.10909090909090909,0.03636363636363636,0.0,0.0,0.05454545454545454,0.01818181818181818,0.14545454545454545,0.0,0.01818181818181818,0.0,0.0,0.16363636363636364,0.05454545454545454,0.0,0.01818181818181818,0.0
push,0.11904761904761904,0.0,0.0,0.09523809523809523,0.19047619047619047,0.047619047619047616,0.023809523809523808,0.047619047619047616,0.0,0.023809523809523808,0.047619047619047616,0.0,0.023809523809523808,0.0,0.07142857142857142,0.14285714285714285,0.047619047619047616,0.0,0.0,0.11904761904761904,0.0
run,0.0,0.025,0.025,0.225,0.15,0.025,0.0,0.0,0.025,0.025,0.025,0.0,0.0,0.0,0.125,0.0,0.025,0.075,0.025,0.2,0.025
shoot_ball,0.0,0.0,0.0,0.375,0.575,0.025,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shoot_bow,0.11320754716981132,0.0,0.0,0.0,0.1320754716981132,0.0,0.03773584905660377,0.0,0.0,0.03773584905660377,0.0,0.0,0.0,0.5283018867924528,0.11320754716981132,0.0,0.0,0.03773584905660377,0.0,0.0,0.0
shoot_gun,0.0,0.0,0.0,0.10909090909090909,0.10909090909090909,0.0,0.01818181818181818,0.0,0.0,0.0,0.01818181818181818,0.0,0.0,0.05454545454545454,0.5636363636363636,0.0,0.0,0.10909090909090909,0.0,0.01818181818181818,0.0
sit,0.07692307692307693,0.0,0.02564102564102564,0.1282051282051282,0.02564102564102564,0.0,0.0,0.05128205128205128,0.05128205128205128,0.07692307692307693,0.0,0.20512820512820512,0.0,0.02564102564102564,0.02564102564102564,0.23076923076923078,0.05128205128205128,0.0,0.0,0.0,0.02564102564102564
stand,0.1111111111111111,0.0,0.0,0.16666666666666666,0.0,0.027777777777777776,0.0,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.16666666666666666,0.0,0.027777777777777776,0.05555555555555555,0.2777777777777778,0.0,0.027777777777777776,0.0,0.0,0.027777777777777776
swing_baseball,0.018518518518518517,0.0,0.0,0.0,0.3148148148148148,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6296296296296297,0.0,0.0,0.0
throw,0.0,0.021739130434782608,0.0,0.17391304347826086,0.021739130434782608,0.0,0.0,0.0,0.0,0.08695652173913043,0.10869565217391304,0.043478260869565216,0.0,0.043478260869565216,0.17391304347826086,0.021739130434782608,0.10869565217391304,0.13043478260869565,0.0,0.06521739130434782,0.0
walk,0.024390243902439025,0.0,0.0,0.1951219512195122,0.07317073170731707,0.04878048780487805,0.0,0.0,0.0,0.12195121951219512,0.0,0.07317073170731707,0.0,0.024390243902439025,0.0,0.14634146341463414,0.14634146341463414,0.04878048780487805,0.0,0.07317073170731707,0.024390243902439025
wave,0.21428571428571427,0.0,0.047619047619047616,0.30952380952380953,0.19047619047619047,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.07142857142857142,0.023809523809523808,0.047619047619047616,0.0,0.023809523809523808,0.023809523809523808
