,brush_hair,catch,clap,climb_stairs,golf,jump,kick_ball,pick,pour,pullup,push,run,shoot_ball,shoot_bow,shoot_gun,sit,stand,swing_baseball,throw,walk,wave
brush_hair,0.4878048780487805,0.0,0.04878048780487805,0.0,0.0,0.0,0.0,0.0975609756097561,0.0,0.04878048780487805,0.04878048780487805,0.0,0.0,0.024390243902439025,0.07317073170731707,0.04878048780487805,0.0975609756097561,0.0,0.0,0.024390243902439025,0.0
catch,0.25,0.0,0.0,0.0,0.4583333333333333,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.020833333333333332,0.041666666666666664,0.020833333333333332,0.0,0.0,0.0,0.125,0.0625,0.0,0.0
clap,0.2727272727272727,0.045454545454545456,0.0,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.36363636363636365,0.0,0.045454545454545456,0.0,0.0
climb_stairs,0.0,0.0,0.0,0.575,0.05,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
golf,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jump,0.02564102564102564,0.0,0.0,0.23076923076923078,0.1282051282051282,0.3333333333333333,0.0,0.0,0.05128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.02564102564102564,0.02564102564102564,0.0,0.07692307692307693,0.02564102564102564
kick_ball,0.19444444444444445,0.027777777777777776,0.0,0.0,0.25,0.16666666666666666,0.027777777777777776,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.08333333333333333,0.1111111111111111,0.0
pick,0.025,0.0,0.0,0.175,0.1,0.175,0.025,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.025,0.225,0.0,0.025,0.0,0.175,0.025
pour,0.03636363636363636,0.21818181818181817,0.05454545454545454,0.0,0.0,0.0,0.0,0.03636363636363636,0.41818181818181815,0.0,0.0,0.0,0.0,0.05454545454545454,0.12727272727272726,0.0,0.05454545454545454,0.0,0.0,0.0,0.0
pullup,0.05454545454545454,0.0,0.0,0.18181818181818182,0.03636363636363636,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01818181818181818,0.0,0.0,0.0,0.10909090909090909,0.0,0.0,0.0
push,0.023809523809523808,0.023809523809523808,0.0,0.19047619047619047,0.047619047619047616,0.14285714285714285,0.0,0.0,0.047619047619047616,0.0,0.047619047619047616,0.023809523809523808,0.023809523809523808,0.07142857142857142,0.07142857142857142,0.09523809523809523,0.14285714285714285,0.0,0.0,0.047619047619047616,0.0
run,0.0,0.0,0.0,0.225,0.125,0.15,0.025,0.0,0.0,0.0,0.075,0.025,0.0,0.025,0.05,0.0,0.0,0.05,0.0,0.125,0.125
shoot_ball,0.0,0.0,0.0,0.125,0.0,0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.025,0.0,0.25,0.0,0.05,0.0,0.0,0.0
shoot_bow,0.0,0.0,0.0,0.0,0.03773584905660377,0.03773584905660377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7169811320754716,0.1509433962264151,0.018867924528301886,0.0,0.0,0.0,0.0,0.03773584905660377
shoot_gun,0.0,0.0,0.0,0.05454545454545454,0.05454545454545454,0.03636363636363636,0.0,0.0,0.0,0.0,0.01818181818181818,0.0,0.0,0.01818181818181818,0.7454545454545455,0.0,0.0,0.03636363636363636,0.0,0.03636363636363636,0.0
sit,0.1794871794871795,0.0,0.07692307692307693,0.1282051282051282,0.02564102564102564,0.05128205128205128,0.0,0.0,0.02564102564102564,0.0,0.05128205128205128,0.0,0.0,0.02564102564102564,0.0,0.1282051282051282,0.2564102564102564,0.02564102564102564,0.0,0.02564102564102564,0.0
stand,0.05555555555555555,0.0,0.0,0.1111111111111111,0.0,0.16666666666666666,0.0,0.027777777777777776,0.027777777777777776,0.0,0.027777777777777776,0.0,0.0,0.0,0.05555555555555555,0.1388888888888889,0.3055555555555556,0.0,0.0,0.05555555555555555,0.027777777777777776
swing_baseball,0.018518518518518517,0.0,0.0,0.0,0.018518518518518517,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.09259259259259259,0.0,0.0,0.0,0.6481481481481481,0.0,0.0,0.0
throw,0.0,0.021739130434782608,0.0,0.13043478260869565,0.15217391304347827,0.0,0.0,0.0,0.30434782608695654,0.0,0.043478260869565216,0.0,0.0,0.0,0.17391304347826086,0.021739130434782608,0.043478260869565216,0.08695652173913043,0.0,0.021739130434782608,0.0
walk,0.04878048780487805,0.0,0.04878048780487805,0.36585365853658536,0.024390243902439025,0.07317073170731707,0.0,0.024390243902439025,0.0,0.0,0.04878048780487805,0.07317073170731707,0.0,0.024390243902439025,0.024390243902439025,0.04878048780487805,0.0975609756097561,0.024390243902439025,0.0,0.04878048780487805,0.024390243902439025
wave,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.16666666666666666,0.09523809523809523,0.023809523809523808,0.0,0.16666666666666666,0.0,0.0,0.023809523809523808,0.0,0.0,0.0,0.07142857142857142,0.0,0.21428571428571427,0.0,0.0,0.0,0.023809523809523808
