,brush_hair,catch,clap,climb_stairs,golf,jump,kick_ball,pick,pour,pullup,push,run,shoot_ball,shoot_bow,shoot_gun,sit,stand,swing_baseball,throw,walk,wave
brush_hair,0.6585365853658537,0.0,0.024390243902439025,0.04878048780487805,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.024390243902439025,0.0,0.0,0.0,0.04878048780487805,0.0975609756097561,0.07317073170731707,0.0,0.0,0.0,0.0
catch,0.25,0.0,0.0,0.0,0.5,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.125,0.0,0.0
clap,0.25,0.0,0.13636363636363635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1590909090909091,0.022727272727272728,0.045454545454545456,0.022727272727272728,0.0,0.13636363636363635,0.11363636363636363,0.045454545454545456,0.06818181818181818,0.0,0.0
climb_stairs,0.0,0.0,0.0,0.8,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.1,0.0
golf,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jump,0.0,0.0,0.0,0.28205128205128205,0.2564102564102564,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.07692307692307693,0.0,0.0,0.1282051282051282,0.02564102564102564
kick_ball,0.19444444444444445,0.0,0.0,0.0,0.2222222222222222,0.08333333333333333,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.05555555555555555,0.1111111111111111,0.16666666666666666,0.0
pick,0.0,0.05,0.0,0.05,0.15,0.0,0.025,0.05,0.0,0.0,0.05,0.025,0.0,0.0,0.025,0.05,0.05,0.0,0.0,0.45,0.025
pour,0.14545454545454545,0.0,0.03636363636363636,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.01818181818181818,0.05454545454545454,0.0,0.0,0.21818181818181817,0.01818181818181818,0.2727272727272727,0.0,0.03636363636363636,0.0,0.0
pullup,0.05454545454545454,0.01818181818181818,0.05454545454545454,0.01818181818181818,0.0,0.23636363636363636,0.0,0.0,0.0,0.0,0.0,0.10909090909090909,0.0,0.10909090909090909,0.16363636363636364,0.0,0.0,0.05454545454545454,0.0,0.12727272727272726,0.05454545454545454
push,0.047619047619047616,0.0,0.047619047619047616,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.0,0.07142857142857142,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.047619047619047616,0.0,0.21428571428571427,0.0,0.0,0.23809523809523808,0.0
run,0.0,0.0,0.0,0.075,0.1,0.0,0.05,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.025,0.025,0.0,0.05,0.0,0.55,0.05
shoot_ball,0.0,0.0,0.0,0.025,0.025,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.025,0.0,0.0,0.0,0.2,0.45,0.0
shoot_bow,0.0,0.0,0.0,0.018867924528301886,0.41509433962264153,0.0,0.018867924528301886,0.0,0.0,0.0,0.0,0.0,0.0,0.32075471698113206,0.20754716981132076,0.0,0.0,0.018867924528301886,0.0,0.0,0.0
shoot_gun,0.0,0.0,0.0,0.0,0.21818181818181817,0.07272727272727272,0.0,0.0,0.01818181818181818,0.01818181818181818,0.0,0.0,0.0,0.0,0.5454545454545454,0.01818181818181818,0.01818181818181818,0.05454545454545454,0.0,0.03636363636363636,0.0
sit,0.0,0.0,0.05128205128205128,0.05128205128205128,0.02564102564102564,0.0,0.0,0.0,0.0,0.02564102564102564,0.05128205128205128,0.02564102564102564,0.0,0.0,0.23076923076923078,0.10256410256410256,0.3076923076923077,0.0,0.0,0.1282051282051282,0.0
stand,0.027777777777777776,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,0.027777777777777776,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.19444444444444445,0.08333333333333333,0.2777777777777778,0.0,0.08333333333333333,0.1111111111111111,0.0
swing_baseball,0.018518518518518517,0.0,0.0,0.0,0.25925925925925924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018518518518518517,0.0,0.0,0.6296296296296297,0.07407407407407407,0.0,0.0
throw,0.0,0.0,0.0,0.021739130434782608,0.10869565217391304,0.021739130434782608,0.06521739130434782,0.043478260869565216,0.0,0.0,0.021739130434782608,0.0,0.0,0.021739130434782608,0.34782608695652173,0.043478260869565216,0.0,0.08695652173913043,0.043478260869565216,0.17391304347826086,0.0
walk,0.0,0.0,0.0,0.024390243902439025,0.04878048780487805,0.0,0.0,0.0,0.0,0.024390243902439025,0.0,0.0,0.0,0.024390243902439025,0.07317073170731707,0.04878048780487805,0.1951219512195122,0.0,0.0,0.5121951219512195,0.04878048780487805
wave,0.023809523809523808,0.047619047619047616,0.0,0.047619047619047616,0.19047619047619047,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.023809523809523808,0.0,0.07142857142857142,0.16666666666666666,0.0,0.16666666666666666,0.023809523809523808,0.0,0.07142857142857142,0.023809523809523808
