,brush_hair,catch,clap,climb_stairs,golf,jump,kick_ball,pick,pour,pullup,push,run,shoot_ball,shoot_bow,shoot_gun,sit,stand,swing_baseball,throw,walk,wave
brush_hair,0.6341463414634146,0.0,0.04878048780487805,0.07317073170731707,0.0,0.0,0.0,0.024390243902439025,0.024390243902439025,0.04878048780487805,0.0,0.0,0.0,0.0,0.024390243902439025,0.04878048780487805,0.024390243902439025,0.0,0.0,0.024390243902439025,0.024390243902439025
catch,0.25,0.0,0.0,0.0,0.2916666666666667,0.0,0.16666666666666666,0.020833333333333332,0.0,0.0,0.0,0.020833333333333332,0.14583333333333334,0.0,0.0,0.0,0.0,0.08333333333333333,0.020833333333333332,0.0,0.0
clap,0.25,0.0,0.09090909090909091,0.11363636363636363,0.022727272727272728,0.045454545454545456,0.022727272727272728,0.045454545454545456,0.022727272727272728,0.0,0.0,0.0,0.022727272727272728,0.0,0.022727272727272728,0.06818181818181818,0.18181818181818182,0.045454545454545456,0.0,0.045454545454545456,0.0
climb_stairs,0.0,0.0,0.0,0.625,0.1,0.025,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.175,0.0
golf,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jump,0.0,0.02564102564102564,0.0,0.28205128205128205,0.20512820512820512,0.2564102564102564,0.0,0.02564102564102564,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.10256410256410256,0.0
kick_ball,0.19444444444444445,0.0,0.0,0.027777777777777776,0.05555555555555555,0.08333333333333333,0.3888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.027777777777777776,0.05555555555555555,0.1111111111111111,0.0
pick,0.05,0.0,0.0,0.075,0.1,0.15,0.025,0.05,0.025,0.025,0.05,0.0,0.0,0.0,0.05,0.225,0.0,0.025,0.0,0.1,0.05
pour,0.05454545454545454,0.03636363636363636,0.07272727272727272,0.05454545454545454,0.0,0.0,0.0,0.07272727272727272,0.4727272727272727,0.0,0.0,0.0,0.0,0.0,0.10909090909090909,0.0,0.10909090909090909,0.0,0.01818181818181818,0.0,0.0
pullup,0.05454545454545454,0.0,0.0,0.2,0.07272727272727272,0.45454545454545453,0.0,0.0,0.0,0.03636363636363636,0.03636363636363636,0.0,0.05454545454545454,0.01818181818181818,0.03636363636363636,0.03636363636363636,0.0,0.0,0.0,0.0,0.0
push,0.023809523809523808,0.0,0.023809523809523808,0.11904761904761904,0.047619047619047616,0.19047619047619047,0.0,0.023809523809523808,0.07142857142857142,0.0,0.023809523809523808,0.023809523809523808,0.047619047619047616,0.07142857142857142,0.09523809523809523,0.09523809523809523,0.07142857142857142,0.0,0.023809523809523808,0.047619047619047616,0.0
run,0.0,0.0,0.05,0.25,0.075,0.05,0.05,0.0,0.05,0.0,0.025,0.025,0.0,0.0,0.025,0.0,0.0,0.025,0.0,0.275,0.1
shoot_ball,0.0,0.0,0.0,0.175,0.025,0.15,0.025,0.0,0.0,0.0,0.0,0.0,0.325,0.0,0.0,0.225,0.0,0.025,0.05,0.0,0.0
shoot_bow,0.0,0.0,0.0,0.0,0.1509433962264151,0.07547169811320754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4339622641509434,0.24528301886792453,0.018867924528301886,0.0,0.018867924528301886,0.0,0.0,0.05660377358490566
shoot_gun,0.0,0.0,0.0,0.09090909090909091,0.10909090909090909,0.01818181818181818,0.0,0.01818181818181818,0.05454545454545454,0.0,0.0,0.0,0.0,0.0,0.5636363636363636,0.03636363636363636,0.0,0.09090909090909091,0.0,0.01818181818181818,0.0
sit,0.10256410256410256,0.0,0.07692307692307693,0.1794871794871795,0.02564102564102564,0.07692307692307693,0.0,0.02564102564102564,0.05128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.2564102564102564,0.20512820512820512,0.0,0.0,0.0,0.0
stand,0.027777777777777776,0.0,0.05555555555555555,0.2777777777777778,0.027777777777777776,0.08333333333333333,0.0,0.027777777777777776,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.25,0.16666666666666666,0.0,0.0,0.027777777777777776,0.0
swing_baseball,0.018518518518518517,0.0,0.0,0.0,0.14814814814814814,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.018518518518518517,0.0,0.0,0.6666666666666666,0.07407407407407407,0.0,0.0
throw,0.0,0.021739130434782608,0.0,0.15217391304347827,0.10869565217391304,0.021739130434782608,0.0,0.0,0.17391304347826086,0.0,0.0,0.0,0.0,0.0,0.15217391304347827,0.0,0.2391304347826087,0.10869565217391304,0.0,0.021739130434782608,0.0
walk,0.04878048780487805,0.024390243902439025,0.024390243902439025,0.4146341463414634,0.07317073170731707,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04878048780487805,0.024390243902439025,0.024390243902439025,0.0975609756097561,0.024390243902439025,0.0,0.0975609756097561,0.07317073170731707
wave,0.07142857142857142,0.09523809523809523,0.07142857142857142,0.30952380952380953,0.14285714285714285,0.023809523809523808,0.0,0.0,0.023809523809523808,0.0,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.14285714285714285,0.023809523809523808,0.0,0.047619047619047616,0.023809523809523808
