,brush_hair,catch,clap,climb_stairs,golf,jump,kick_ball,pick,pour,pullup,push,run,shoot_ball,shoot_bow,shoot_gun,sit,stand,swing_baseball,throw,walk,wave
brush_hair,0.6097560975609756,0.0,0.024390243902439025,0.17073170731707318,0.0,0.0,0.0,0.0,0.04878048780487805,0.0,0.0,0.0,0.0,0.0,0.0,0.04878048780487805,0.024390243902439025,0.0,0.0,0.0,0.07317073170731707
catch,0.0,0.0,0.0,0.0,0.3125,0.0,0.4375,0.0,0.0,0.020833333333333332,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0625,0.020833333333333332,0.0625,0.0
clap,0.022727272727272728,0.0,0.20454545454545456,0.36363636363636365,0.0,0.045454545454545456,0.022727272727272728,0.045454545454545456,0.022727272727272728,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.1590909090909091,0.045454545454545456,0.0,0.0,0.045454545454545456,0.0
climb_stairs,0.0,0.0,0.025,0.6,0.0,0.025,0.0,0.05,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
golf,0.0,0.0,0.023809523809523808,0.0,0.9761904761904762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jump,0.0,0.05128205128205128,0.02564102564102564,0.23076923076923078,0.28205128205128205,0.07692307692307693,0.0,0.02564102564102564,0.05128205128205128,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.02564102564102564,0.0,0.0,0.0,0.15384615384615385,0.0
kick_ball,0.027777777777777776,0.0,0.05555555555555555,0.1111111111111111,0.08333333333333333,0.027777777777777776,0.3611111111111111,0.027777777777777776,0.0,0.0,0.0,0.05555555555555555,0.05555555555555555,0.0,0.027777777777777776,0.0,0.0,0.05555555555555555,0.0,0.1111111111111111,0.0
pick,0.075,0.0,0.0,0.125,0.1,0.0,0.025,0.1,0.0,0.0,0.025,0.0,0.0,0.125,0.0,0.075,0.0,0.025,0.0,0.25,0.075
pour,0.10909090909090909,0.0,0.05454545454545454,0.05454545454545454,0.0,0.0,0.0,0.0,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.07272727272727272,0.10909090909090909,0.0,0.05454545454545454,0.0,0.0
pullup,0.05454545454545454,0.0,0.09090909090909091,0.34545454545454546,0.0,0.10909090909090909,0.0,0.10909090909090909,0.0,0.01818181818181818,0.05454545454545454,0.0,0.07272727272727272,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.05454545454545454,0.0
push,0.0,0.0,0.07142857142857142,0.11904761904761904,0.023809523809523808,0.047619047619047616,0.023809523809523808,0.0,0.023809523809523808,0.0,0.0,0.0,0.047619047619047616,0.0,0.07142857142857142,0.16666666666666666,0.023809523809523808,0.023809523809523808,0.047619047619047616,0.2857142857142857,0.023809523809523808
run,0.0,0.0,0.025,0.125,0.025,0.0,0.05,0.025,0.05,0.0,0.0,0.0,0.0,0.025,0.0,0.05,0.025,0.05,0.0,0.5,0.05
shoot_ball,0.0,0.0,0.2,0.0,0.025,0.075,0.0,0.05,0.0,0.0,0.0,0.0,0.075,0.325,0.0,0.0,0.025,0.025,0.075,0.125,0.0
shoot_bow,0.0,0.0,0.03773584905660377,0.0,0.3584905660377358,0.20754716981132076,0.0,0.1509433962264151,0.0,0.018867924528301886,0.16981132075471697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05660377358490566
shoot_gun,0.01818181818181818,0.0,0.0,0.10909090909090909,0.21818181818181817,0.0,0.0,0.2,0.18181818181818182,0.0,0.0,0.01818181818181818,0.07272727272727272,0.0,0.0,0.03636363636363636,0.0,0.09090909090909091,0.0,0.0,0.05454545454545454
sit,0.07692307692307693,0.0,0.07692307692307693,0.23076923076923078,0.02564102564102564,0.05128205128205128,0.0,0.02564102564102564,0.05128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.358974358974359,0.10256410256410256,0.0,0.0,0.0,0.0
stand,0.027777777777777776,0.0,0.08333333333333333,0.3611111111111111,0.027777777777777776,0.0,0.0,0.05555555555555555,0.027777777777777776,0.0,0.0,0.027777777777777776,0.0,0.027777777777777776,0.0,0.2777777777777778,0.05555555555555555,0.0,0.0,0.027777777777777776,0.0
swing_baseball,0.0,0.0,0.018518518518518517,0.018518518518518517,0.25925925925925924,0.0,0.07407407407407407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5740740740740741,0.05555555555555555,0.0,0.0
throw,0.0,0.021739130434782608,0.021739130434782608,0.08695652173913043,0.08695652173913043,0.021739130434782608,0.021739130434782608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13043478260869565,0.4782608695652174,0.10869565217391304,0.0,0.021739130434782608,0.0
walk,0.07317073170731707,0.07317073170731707,0.024390243902439025,0.36585365853658536,0.0,0.0,0.0,0.0,0.024390243902439025,0.0,0.0,0.0,0.0,0.024390243902439025,0.0,0.0975609756097561,0.04878048780487805,0.024390243902439025,0.0,0.17073170731707318,0.07317073170731707
wave,0.023809523809523808,0.0,0.11904761904761904,0.38095238095238093,0.14285714285714285,0.0,0.0,0.047619047619047616,0.023809523809523808,0.0,0.0,0.023809523809523808,0.0,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.047619047619047616,0.023809523809523808,0.047619047619047616,0.023809523809523808
